TERM	GENE
regulation of cell cycle	BIR1
regulation of cell cycle	CCR4
regulation of cell cycle	CDC25
regulation of cell cycle	CLB3
regulation of cell cycle	CLN3
regulation of cell cycle	GRR1
regulation of cell cycle	HSL1
regulation of cell cycle	KAR3
regulation of cell cycle	MCK1
regulation of cell cycle	MMS4
regulation of cell cycle	RAD17
regulation of cell cycle	RCK2
regulation of cell cycle	RED1
regulation of cell cycle	RHO1
regulation of cell cycle	SET2
regulation of cell cycle	SMC2
regulation of cell cycle	SPC105
regulation of cell cycle	SPO77
regulation of cell cycle	TUS1
regulation of cell cycle	VRP1
regulation of cell cycle	ZDS2
organelle fission	AFT1
organelle fission	APC2
organelle fission	BIR1
organelle fission	CLB3
organelle fission	CSM3
organelle fission	DBF20
organelle fission	MCK1
organelle fission	MLH3
organelle fission	MMS4
organelle fission	MSC6
organelle fission	RAD17
organelle fission	RCK2
organelle fission	REC102
organelle fission	RED1
organelle fission	SET2
organelle fission	SMC2
organelle fission	SPC105
organelle fission	SPO11
organelle fission	TOP1
organelle fission	TOP2
DNA recombination	EBS1
DNA recombination	HO
DNA recombination	IES3
DNA recombination	IRC20
DNA recombination	IRC8
DNA recombination	MCM5
DNA recombination	MLH3
DNA recombination	MMS4
DNA recombination	MSC6
DNA recombination	NSR1
DNA recombination	NUC1
DNA recombination	PDR10
DNA recombination	RAD17
DNA recombination	REC102
DNA recombination	SET2
DNA recombination	TAH11
DNA recombination	TOP1
DNA recombination	TOP2
carbohydrate metabolism	CWH41
carbohydrate metabolism	FYV10
carbohydrate metabolism	GPH1
carbohydrate metabolism	GSC2
carbohydrate metabolism	KRE5
carbohydrate metabolism	LRG1
carbohydrate metabolism	MDH2
carbohydrate metabolism	MLS1
carbohydrate metabolism	PIB1
carbohydrate metabolism	RBK1
carbohydrate metabolism	RHO1
carbohydrate metabolism	SAK1
carbohydrate metabolism	SHP1
carbohydrate metabolism	SKN1
carbohydrate metabolism	SUC2
carbohydrate metabolism	TCO89
regulation of DNA metabolism	CSM3
regulation of DNA metabolism	DOA4
regulation of DNA metabolism	IPI3
regulation of DNA metabolism	MCM5
regulation of DNA metabolism	MMS4
regulation of DNA metabolism	RCO1
regulation of DNA metabolism	RRP6
regulation of DNA metabolism	SAK1
regulation of DNA metabolism	SET2
regulation of DNA metabolism	SUM1
regulation of DNA metabolism	TAH11
regulation of DNA metabolism	TOP1
regulation of DNA metabolism	TOP2
regulation of DNA metabolism	ULS1
nucleobase-containing compound transport	BUL1
nucleobase-containing compound transport	DOA4
nucleobase-containing compound transport	FCY2
nucleobase-containing compound transport	FLC2
nucleobase-containing compound transport	LOS1
nucleobase-containing compound transport	MDM30
nucleobase-containing compound transport	MEX67
nucleobase-containing compound transport	NAB2
nucleobase-containing compound transport	RPS15
nucleobase-containing compound transport	RPS2
nucleobase-containing compound transport	SNF7
nucleobase-containing compound transport	SUB2
nucleobase-containing compound transport	UTP8
nucleobase-containing compound transport	YRA1
vacuole organization	ACT1
vacuole organization	ATG11
vacuole organization	ATG2
vacuole organization	CLN3
vacuole organization	MYO2
vacuole organization	PEP12
vacuole organization	RHO1
vacuole organization	RIM21
vacuole organization	SHP1
vacuole organization	VTC1
vacuole organization	VTC3
vacuole organization	VTC4
vacuole organization	YCF1
cytokinesis	ACT1
cytokinesis	APC2
cytokinesis	BNI1
cytokinesis	BNI4
cytokinesis	CYK3
cytokinesis	DBF20
cytokinesis	MYO2
cytokinesis	PKC1
cytokinesis	RHO1
cytokinesis	TUS1
cytokinesis	VRP1
cell morphogenesis	FIG2
cell morphogenesis	HBT1
cell morphogenesis	RNY1
cell morphogenesis	TAO3
cell morphogenesis	YCK1
