GOID	TERM	NUM_LIST_ANNOTATIONS	LIST_SIZE	CLUSTER_FREQUENCY	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	GENOME_FREQUENCY	ANNOTATED_GENES
GO:0007059	chromosome segregation	12	319	3.76%	160	6486	2.47%	AFT1, APC2, BIR1, CLB3, CSM3, MCK1, RED1, SHP1, SMC2, SPC105, SPO11, TOP1
GO:0006605	protein targeting	12	319	3.76%	239	6486	3.68%	APL5, ATG11, ATG2, BSD2, COG1, COG3, MAS2, MDH2, PEP12, TIM54, VPS13, VPS63
GO:0070647	protein modification by small protein conjugation or removal	12	319	3.76%	142	6486	2.19%	APC2, BUL1, BUL2, GPB1, GRR1, HUL5, MET30, PIB1, TOM1, UBP5, UBR2, USA1
GO:0006354	DNA-templated transcription elongation	11	319	3.45%	104	6486	1.60%	CCR4, HIR2, MCM5, NPL3, RCO1, RSC1, SET2, SPT2, SUB2, TFG1, TOP1
GO:0000910	cytokinesis	11	319	3.45%	94	6486	1.45%	ACT1, APC2, BNI1, BNI4, CYK3, DBF20, MYO2, PKC1, RHO1, TUS1, VRP1
GO:0048193	Golgi vesicle transport	11	319	3.45%	194	6486	2.99%	APL5, CHC1, COG1, COG3, PEP12, SEC8, SFH5, SMY2, VPS13, VPS74, YLR372W
GO:0006897	endocytosis	10	319	3.13%	103	6486	1.59%	ACT1, ALY2, BUL1, CHC1, DNF1, DOA4, OSH2, RHO1, VRP1, YCK1
GO:0006811	monoatomic ion transport	10	319	3.13%	95	6486	1.46%	AFT1, BSD2, FET4, FRE6, PHO84, PMA1, SMF1, VCX1, ZRT1, ZRT3
GO:0006520	amino acid metabolism	9	319	2.82%	158	6486	2.44%	ASN1, BNA6, CPA1, HIS4, IDH1, IDP1, ILV2, UGA3, URA2
GO:0042273	ribosomal large subunit biogenesis	9	319	2.82%	121	6486	1.87%	CIC1, ERB1, IPI3, NUG1, REA1, RPL2A, RRP5, TOM1, URB1
GO:0006873	intracellular monoatomic ion homeostasis	9	319	2.82%	128	6486	1.97%	ISU1, MAM3, PTK2, SMF1, SSQ1, TRK2, VCX1, YHC3, ZRT3
GO:0032200	telomere organization	8	319	2.51%	134	6486	2.07%	DOT6, IES3, ITC1, MCM5, PBP2, RRP6, SUB2, TOP2
GO:0051049	regulation of transport	8	319	2.51%	86	6486	1.33%	AFT1, ALY2, KIN1, MDM30, REA1, RHO1, SFH5, YKL126W
GO:0048284	organelle fusion	8	319	2.51%	99	6486	1.53%	CLN3, KAR3, MDM30, RHO1, VTC1, VTC3, VTC4, YCF1
GO:0006869	lipid transport	7	319	2.19%	71	6486	1.09%	DNF1, KIN82, OSH2, SFH5, VPS13, YHR155W, YKL126W
GO:0070925	organelle assembly	7	319	2.19%	113	6486	1.74%	ATG11, ATG2, BLM10, CLB3, PKC1, PMA1, SHP1
GO:0006997	nucleus organization	7	319	2.19%	98	6486	1.51%	DOT6, KAR3, PHO23, SMC2, TOM1, TOP1, ZDS2
GO:0007124	pseudohyphal growth	6	319	1.88%	73	6486	1.13%	GPB1, GPB2, KSP1, PDA1, SAK1, UME6
GO:0048308	organelle inheritance	6	319	1.88%	55	6486	0.85%	ACT1, BUL1, INP2, MYO2, PEP12, SEC8
GO:0006865	amino acid transport	6	319	1.88%	45	6486	0.69%	AGP1, RTC2, UGA4, VBA1, YCT1, YHC3
GO:0055086	nucleobase-containing small molecule metabolism	6	319	1.88%	156	6486	2.41%	ADE6, BNA6, PDA1, PDX1, URA2, YEF1
GO:0008033	tRNA processing	6	319	1.88%	118	6486	1.82%	ABP140, DUS4, ISU1, MEX67, QRI7, TRL1
GO:0006457	protein folding	6	319	1.88%	98	6486	1.51%	CAJ1, CNE1, FLC2, HSP104, SSE1, SSZ1
GO:0001403	invasive growth in response to glucose limitation	6	319	1.88%	51	6486	0.79%	FIG2, GPB1, GPB2, PHO23, RIM21, STE5
GO:0006468	protein phosphorylation	5	319	1.57%	48	6486	0.74%	CLB3, CLN3, PTK2, STE5, YCR059C
GO:0006887	exocytosis	5	319	1.57%	44	6486	0.68%	KIN1, MYO2, OSH2, SEC8, SFH5
GO:0000902	cell morphogenesis	5	319	1.57%	19	6486	0.29%	FIG2, HBT1, RNY1, TAO3, YCK1
GO:0006970	response to osmotic stress	5	319	1.57%	62	6486	0.96%	FLC2, PBS2, RCK2, SSK2, TCO89
GO:0051604	protein maturation	5	319	1.57%	82	6486	1.26%	FET4, MAS2, PRC1, RCE1, SSQ1
GO:0006360	transcription by RNA polymerase I	5	319	1.57%	70	6486	1.08%	MOT1, PHO23, RPA135, TFB1, UTP8
GO:0031399	regulation of protein modification process	5	319	1.57%	61	6486	0.94%	CLB3, CLN3, STE5, USA1, YCR059C
GO:0009451	RNA modification	4	319	1.25%	179	6486	2.76%	ABP140, DUS4, ISU1, QRI7
GO:0007031	peroxisome organization	4	319	1.25%	55	6486	0.85%	ADR1, INP2, MDH2, MYO2
GO:0009311	oligosaccharide metabolism	4	319	1.25%	43	6486	0.66%	HSP104, IMA1, SUC2, TPS3
GO:0042274	ribosomal small subunit biogenesis	4	319	1.25%	136	6486	2.10%	NSR1, RRP5, TOM1, UTP8
GO:0000054	ribosomal subunit export from nucleus	4	319	1.25%	52	6486	0.80%	MEX67, NUG1, REA1, YRB2
GO:0032543	mitochondrial translation	4	319	1.25%	170	6486	2.62%	MRPL36, MSC6, PET111, SWS2
GO:0007114	cell budding	4	319	1.25%	51	6486	0.79%	BNI1, RHO1, TAO3, VRP1
GO:0042255	ribosome assembly	4	319	1.25%	66	6486	1.02%	IPI3, NSR1, REA1, RRP5
GO:0002181	cytoplasmic translation	4	319	1.25%	170	6486	2.62%	RPL22A, RPL2A, RPS15, SSZ1
GO:0006486	protein glycosylation	4	319	1.25%	64	6486	0.99%	CWH41, KTR3, MNN9, STT3
GO:0006352	DNA-templated transcription initiation	4	319	1.25%	70	6486	1.08%	MED6, MOT1, RPT5, TFG1
GO:0006979	response to oxidative stress	3	319	0.94%	85	6486	1.31%	GRR1, MDL2, RCK2
GO:0043144	sno(s)RNA processing	3	319	0.94%	38	6486	0.59%	MTR4, PRP2, RRP6
GO:0006974	DNA damage response	3	319	0.94%	74	6486	1.14%	MKT1, MMS4, RAD17
GO:0006414	translational elongation	3	319	0.94%	334	6486	5.15%	CUE3, SSZ1, TRT2
GO:0006091	generation of precursor metabolites and energy	3	319	0.94%	79	6486	1.22%	GPH1, SAK1, SHP1
GO:0016050	vesicle organization	3	319	0.94%	85	6486	1.31%	DOA4, SNF7, UBC1
GO:0045333	cellular respiration	2	319	0.63%	85	6486	1.31%	IDH1, KGD1
GO:0006353	DNA-templated transcription termination	2	319	0.63%	42	6486	0.65%	NPL3, SET2
GO:0006413	translational initiation	2	319	0.63%	69	6486	1.06%	GCD2, MSC6
GO:0006383	transcription by RNA polymerase III	2	319	0.63%	46	6486	0.71%	HIR2, NAB2
GO:0018193	peptidyl-amino acid modification	1	319	0.31%	63	6486	0.97%	RKM3
GO:0008213	protein alkylation	1	319	0.31%	20	6486	0.31%	RKM3
GO:0009408	response to heat	1	319	0.31%	42	6486	0.65%	HSP104
GO:0016197	endosomal transport	1	319	0.31%	86	6486	1.33%	YLR372W
GO:0008643	carbohydrate transport	1	319	0.31%	36	6486	0.56%	HXT13
GO:0042594	response to starvation	1	319	0.31%	46	6486	0.71%	VPS13
