metal,conc,strain,machine,plate,well
NI,4,OLY008_3,BIO2,right,Well 237
NI,3,OLY079c,BIO2,right,Well 238
MN,4,OLY010_2,BIO2,right,Well 239
NI,6,OLY010_2,BIO2,right,Well 240
blank,blank,blank,blank,blank,Well 241
blank,blank,blank,blank,blank,Well 242
blank,blank,blank,blank,blank,Well 243
blank,blank,blank,blank,blank,Well 244
blank,blank,blank,blank,blank,Well 245
blank,blank,blank,blank,blank,Well 246
blank,blank,blank,blank,blank,Well 247
blank,blank,blank,blank,blank,Well 248
blank,blank,blank,blank,blank,Well 249
blank,blank,blank,blank,blank,Well 250
blank,blank,blank,blank,blank,Well 251
blank,blank,blank,blank,blank,Well 252
blank,blank,blank,blank,blank,Well 253
blank,blank,blank,blank,blank,Well 254
blank,blank,blank,blank,blank,Well 255
blank,blank,blank,blank,blank,Well 256
blank,blank,blank,blank,blank,Well 257
blank,blank,blank,blank,blank,Well 258
blank,blank,blank,blank,blank,Well 259
blank,blank,blank,blank,blank,Well 260
blank,blank,blank,blank,blank,Well 261
blank,blank,blank,blank,blank,Well 262
blank,blank,blank,blank,blank,Well 263
blank,blank,blank,blank,blank,Well 264
blank,blank,blank,blank,blank,Well 265
blank,blank,blank,blank,blank,Well 266
blank,blank,blank,blank,blank,Well 267
blank,blank,blank,blank,blank,Well 268
blank,blank,blank,blank,blank,Well 269
blank,blank,blank,blank,blank,Well 270
blank,blank,blank,blank,blank,Well 271
blank,blank,blank,blank,blank,Well 272
blank,blank,blank,blank,blank,Well 273
blank,blank,blank,blank,blank,Well 274
blank,blank,blank,blank,blank,Well 275
blank,blank,blank,blank,blank,Well 276
blank,blank,blank,blank,blank,Well 277
blank,blank,blank,blank,blank,Well 278
blank,blank,blank,blank,blank,Well 279
blank,blank,blank,blank,blank,Well 280
blank,blank,blank,blank,blank,Well 281
blank,blank,blank,blank,blank,Well 282
blank,blank,blank,blank,blank,Well 283
blank,blank,blank,blank,blank,Well 284
blank,blank,blank,blank,blank,Well 285
blank,blank,blank,blank,blank,Well 286
blank,blank,blank,blank,blank,Well 287
blank,blank,blank,blank,blank,Well 288
blank,blank,blank,blank,blank,Well 289
blank,blank,blank,blank,blank,Well 290
blank,blank,blank,blank,blank,Well 291
blank,blank,blank,blank,blank,Well 292
blank,blank,blank,blank,blank,Well 293
blank,blank,blank,blank,blank,Well 294
blank,blank,blank,blank,blank,Well 295
blank,blank,blank,blank,blank,Well 296
blank,blank,blank,blank,blank,Well 297
blank,blank,blank,blank,blank,Well 298
blank,blank,blank,blank,blank,Well 299
blank,blank,blank,blank,blank,Well 300
