metal,conc,strain,machine,plate,well
CO,4,OLY008,bio2,right,Well 210
NI,3,OLY008,bio2,right,Well 211
CU,6,OLY010,bio2,right,Well 212
MN,7,blank,bio2,right,Well 213
NI,4,blank,bio2,right,Well 214
FE,1,OLY008,bio2,right,Well 215
FE,7,OLY010,bio2,right,Well 216
MN,3,OLY010,bio2,right,Well 217
ZN,6,OLY008,bio2,right,Well 218
FE,7,OLY010,bio2,right,Well 219
CO,7,OLY010,bio2,right,Well 220
ZN,4,OLY010,bio2,right,Well 221
MN,2,OLY010,bio2,right,Well 222
ZN,2,blank,bio2,right,Well 223
MN,4,OLY008,bio2,right,Well 224
CU,1,blank,bio2,right,Well 225
CD,6,OLY008,bio2,right,Well 226
CU,5,OLY008,bio2,right,Well 227
CD,4,blank,bio2,right,Well 228
MN,7,OLY008,bio2,right,Well 229
CO,2,blank,bio2,right,Well 230
ZN,2,OLY010,bio2,right,Well 231
CU,5,OLY010,bio2,right,Well 232
FE,3,OLY008,bio2,right,Well 233
MN,5,blank,bio2,right,Well 234
CU,5,OLY008,bio2,right,Well 235
NI,5,OLY008,bio2,right,Well 236
MN,3,OLY010,bio2,right,Well 237
NI,5,blank,bio2,right,Well 238
ZN,3,OLY010,bio2,right,Well 239
CU,5,OLY008,bio2,right,Well 240
ZN,7,OLY008,bio2,right,Well 241
CU,2,blank,bio2,right,Well 242
CO,6,OLY008,bio2,right,Well 243
NI,6,OLY008,bio2,right,Well 244
FE,2,OLY010,bio2,right,Well 245
CU,6,OLY008,bio2,right,Well 246
MN,6,blank,bio2,right,Well 247
CU,4,OLY010,bio2,right,Well 248
FE,3,blank,bio2,right,Well 249
CD,3,OLY010,bio2,right,Well 250
CD,6,blank,bio2,right,Well 251
CU,2,OLY008,bio2,right,Well 252
CD,2,blank,bio2,right,Well 253
ZN,3,OLY008,bio2,right,Well 254
ZN,3,OLY008,bio2,right,Well 255
ZN,3,blank,bio2,right,Well 256
ZN,2,OLY008,bio2,right,Well 257
MN,5,OLY010,bio2,right,Well 258
CO,6,OLY010,bio2,right,Well 259
CU,1,OLY008,bio2,right,Well 260
MN,2,OLY008,bio2,right,Well 261
NI,2,OLY010,bio2,right,Well 262
FE,4,OLY010,bio2,right,Well 263
ZN,7,blank,bio2,right,Well 264
CO,1,OLY008,bio2,right,Well 265
CO,3,OLY008,bio2,right,Well 266
CO,5,OLY010,bio2,right,Well 267
CU,1,OLY008,bio2,right,Well 268
CO,3,OLY008,bio2,right,Well 269
ZN,4,OLY010,bio2,right,Well 270
NI,3,blank,bio2,right,Well 271
CD,4,OLY008,bio2,right,Well 272
CO,6,OLY008,bio2,right,Well 273
FE,1,OLY010,bio2,right,Well 274
MN,4,OLY008,bio2,right,Well 275
NI,2,OLY008,bio2,right,Well 276
CU,7,OLY008,bio2,right,Well 277
CU,1,OLY010,bio2,right,Well 278
NI,4,OLY008,bio2,right,Well 279
MN,6,blank,bio2,right,Well 280
FE,4,blank,bio2,right,Well 281
MN,3,OLY008,bio2,right,Well 282
CD,4,OLY010,bio2,right,Well 283
ZN,7,blank,bio2,right,Well 284
CO,7,OLY008,bio2,right,Well 285
CD,4,OLY010,bio2,right,Well 286
CD,6,OLY010,bio2,right,Well 287
CU,7,OLY010,bio2,right,Well 288
CO,7,blank,bio2,right,Well 289
CU,4,OLY008,bio2,right,Well 290
MN,3,OLY010,bio2,right,Well 291
NI,6,OLY010,bio2,right,Well 292
NI,2,OLY008,bio2,right,Well 293
NI,5,OLY010,bio2,right,Well 294
ZN,7,OLY008,bio2,right,Well 295
CD,5,OLY010,bio2,right,Well 296
NI,4,OLY010,bio2,right,Well 297
CD,3,OLY010,bio2,right,Well 298
NI,4,OLY008,bio2,right,Well 299
CO,5,blank,bio2,right,Well 300
