strain,conc,metal,machine,plate,wells,batch
nibm_24,ni,CO,BIO1,left,Well 167,BIO1_5_20220309
OLY077,YPAD,CO,BIO1,left,Well 168,BIO1_5_20220309
cobm_7,co,CO,BIO1,left,Well 169,BIO1_5_20220309
znbm_16,zn,CO,BIO1,left,Well 170,BIO1_5_20220309
mnbm_39,mn,CO,BIO1,left,Well 171,BIO1_5_20220309
mnbm_12,mn,CO,BIO1,left,Well 172,BIO1_5_20220309
znbm_5,zn,CO,BIO1,left,Well 173,BIO1_5_20220309
znbm_41,zn,CO,BIO1,left,Well 174,BIO1_5_20220309
cdbm_39,cd,CO,BIO1,left,Well 175,BIO1_5_20220309
nibm_9,ni,CO,BIO1,left,Well 176,BIO1_5_20220309
cdbm_36,cd,CO,BIO1,left,Well 177,BIO1_5_20220309
znbm_37,zn,CO,BIO1,left,Well 178,BIO1_5_20220309
nibm_29,ni,CO,BIO1,left,Well 179,BIO1_5_20220309
ypadOLY077,YPAD,YPAD,BIO1,left,Well 180,BIO1_5_20220309
cdbm_43,cd,CO,BIO1,left,Well 181,BIO1_5_20220309
cdbm_25,cd,CO,BIO1,left,Well 182,BIO1_5_20220309
ypadOLY077,YPAD,YPAD,BIO1,left,Well 183,BIO1_5_20220309
cubm_13,cu,CO,BIO1,left,Well 184,BIO1_5_20220309
ypadOLY077,YPAD,YPAD,BIO1,left,Well 185,BIO1_5_20220309
znbm_23,zn,CO,BIO1,left,Well 186,BIO1_5_20220309
mnbm_28,mn,CO,BIO1,left,Well 187,BIO1_5_20220309
blank,NA,CO,BIO1,left,Well 188,BIO1_5_20220309
cubm_15,cu,CO,BIO1,left,Well 189,BIO1_5_20220309
cubm_16,cu,CO,BIO1,left,Well 190,BIO1_5_20220309
nibm_29,ni,CO,BIO1,left,Well 191,BIO1_5_20220309
cobm_14,co,CO,BIO1,left,Well 192,BIO1_5_20220309
cobm_15,co,CO,BIO1,left,Well 193,BIO1_5_20220309
mnbm_20,mn,CO,BIO1,left,Well 194,BIO1_5_20220309
cdbm_40,cd,CO,BIO1,left,Well 195,BIO1_5_20220309
mnbm_13,mn,CO,BIO1,left,Well 196,BIO1_5_20220309
znbm_37,zn,CO,BIO1,left,Well 197,BIO1_5_20220309
mnbm_25,mn,CO,BIO1,left,Well 198,BIO1_5_20220309
nibm_8,ni,CO,BIO1,left,Well 199,BIO1_5_20220309
nibm_11,ni,CO,BIO1,left,Well 200,BIO1_5_20220309
cobm_2,co,NI,BIO1,right,Well 201,BIO1_5_20220309
nibm_21,ni,NI,BIO1,right,Well 202,BIO1_5_20220309
cdbm_47,cd,NI,BIO1,right,Well 203,BIO1_5_20220309
cobm_20,co,NI,BIO1,right,Well 204,BIO1_5_20220309
cdbm_45,cd,NI,BIO1,right,Well 205,BIO1_5_20220309
cdbm_44,cd,NI,BIO1,right,Well 206,BIO1_5_20220309
znbm_5,zn,NI,BIO1,right,Well 207,BIO1_5_20220309
nibm_16,ni,NI,BIO1,right,Well 208,BIO1_5_20220309
znbm_17,zn,NI,BIO1,right,Well 209,BIO1_5_20220309
ypadOLY077,YPAD,YPAD,BIO1,right,Well 210,BIO1_5_20220309
cdbm_32,cd,NI,BIO1,right,Well 211,BIO1_5_20220309
cdbm_30,cd,NI,BIO1,right,Well 212,BIO1_5_20220309
nibm_27,ni,NI,BIO1,right,Well 213,BIO1_5_20220309
nibm_25,ni,NI,BIO1,right,Well 214,BIO1_5_20220309
cobm_8,co,NI,BIO1,right,Well 215,BIO1_5_20220309
znbm_47,zn,NI,BIO1,right,Well 216,BIO1_5_20220309
znbm_45,zn,NI,BIO1,right,Well 217,BIO1_5_20220309
cdbm_22,cd,NI,BIO1,right,Well 218,BIO1_5_20220309
znbm_32,zn,NI,BIO1,right,Well 219,BIO1_5_20220309
cubm_15,cu,NI,BIO1,right,Well 220,BIO1_5_20220309
blank,NA,NI,BIO1,right,Well 221,BIO1_5_20220309
znbm_25,zn,NI,BIO1,right,Well 222,BIO1_5_20220309
cobm_12,co,NI,BIO1,right,Well 223,BIO1_5_20220309
nibm_22,ni,NI,BIO1,right,Well 224,BIO1_5_20220309
nibm_8,ni,NI,BIO1,right,Well 225,BIO1_5_20220309
cubm_11,cu,NI,BIO1,right,Well 226,BIO1_5_20220309
nibm_29,ni,NI,BIO1,right,Well 227,BIO1_5_20220309
cubm_7,cu,NI,BIO1,right,Well 228,BIO1_5_20220309
znbm_31,zn,NI,BIO1,right,Well 229,BIO1_5_20220309
cdbm_29,cd,NI,BIO1,right,Well 230,BIO1_5_20220309
cdbm_25,cd,NI,BIO1,right,Well 231,BIO1_5_20220309
cubm_9,cu,NI,BIO1,right,Well 232,BIO1_5_20220309
mnbm_29,mn,NI,BIO1,right,Well 233,BIO1_5_20220309
cobm_15,co,NI,BIO1,right,Well 234,BIO1_5_20220309
cobm_8,co,NI,BIO1,right,Well 235,BIO1_5_20220309
znbm_9,zn,NI,BIO1,right,Well 236,BIO1_5_20220309
znbm_11,zn,NI,BIO1,right,Well 237,BIO1_5_20220309
ypadOLY077,YPAD,YPAD,BIO1,right,Well 238,BIO1_5_20220309
cdbm_40,cd,NI,BIO1,right,Well 239,BIO1_5_20220309
mnbm_18,mn,NI,BIO1,right,Well 240,BIO1_5_20220309
mnbm_31,mn,NI,BIO1,right,Well 241,BIO1_5_20220309
OLY077,YPAD,NI,BIO1,right,Well 242,BIO1_5_20220309
cobm_21,co,NI,BIO1,right,Well 243,BIO1_5_20220309
cubm_16,cu,NI,BIO1,right,Well 244,BIO1_5_20220309
mnbm_38,mn,NI,BIO1,right,Well 245,BIO1_5_20220309
mnbm_32,mn,NI,BIO1,right,Well 246,BIO1_5_20220309
znbm_38,zn,NI,BIO1,right,Well 247,BIO1_5_20220309
mnbm_12,mn,NI,BIO1,right,Well 248,BIO1_5_20220309
cdbm_21,cd,NI,BIO1,right,Well 249,BIO1_5_20220309
znbm_7,zn,NI,BIO1,right,Well 250,BIO1_5_20220309
nibm_21,ni,NI,BIO1,right,Well 251,BIO1_5_20220309
znbm_12,zn,NI,BIO1,right,Well 252,BIO1_5_20220309
znbm_31,zn,NI,BIO1,right,Well 253,BIO1_5_20220309
cobm_12,co,NI,BIO1,right,Well 254,BIO1_5_20220309
znbm_43,zn,NI,BIO1,right,Well 255,BIO1_5_20220309
mnbm_13,mn,NI,BIO1,right,Well 256,BIO1_5_20220309
znbm_34,zn,NI,BIO1,right,Well 257,BIO1_5_20220309
znbm_31,zn,NI,BIO1,right,Well 258,BIO1_5_20220309
cubm_12,cu,NI,BIO1,right,Well 259,BIO1_5_20220309
mnbm_24,mn,NI,BIO1,right,Well 260,BIO1_5_20220309
nibm_24,ni,NI,BIO1,right,Well 261,BIO1_5_20220309
mnbm_21,mn,NI,BIO1,right,Well 262,BIO1_5_20220309
nibm_21,ni,NI,BIO1,right,Well 263,BIO1_5_20220309
cdbm_39,cd,NI,BIO1,right,Well 264,BIO1_5_20220309
cubm_4,cu,NI,BIO1,right,Well 265,BIO1_5_20220309
mnbm_18,mn,NI,BIO1,right,Well 266,BIO1_5_20220309
cdbm_48,cd,NI,BIO1,right,Well 267,BIO1_5_20220309
znbm_22,zn,NI,BIO1,right,Well 268,BIO1_5_20220309
znbm_6,zn,NI,BIO1,right,Well 269,BIO1_5_20220309
znbm_42,zn,NI,BIO1,right,Well 270,BIO1_5_20220309
mnbm_42,mn,NI,BIO1,right,Well 271,BIO1_5_20220309
znbm_29,zn,NI,BIO1,right,Well 272,BIO1_5_20220309
cdbm_47,cd,NI,BIO1,right,Well 273,BIO1_5_20220309
cdbm_36,cd,NI,BIO1,right,Well 274,BIO1_5_20220309
ypadOLY077,YPAD,YPAD,BIO1,right,Well 275,BIO1_5_20220309
mnbm_15,mn,NI,BIO1,right,Well 276,BIO1_5_20220309
cubm_17,cu,NI,BIO1,right,Well 277,BIO1_5_20220309
mnbm_42,mn,NI,BIO1,right,Well 278,BIO1_5_20220309
mnbm_16,mn,NI,BIO1,right,Well 279,BIO1_5_20220309
mnbm_38,mn,NI,BIO1,right,Well 280,BIO1_5_20220309
cdbm_47,cd,NI,BIO1,right,Well 281,BIO1_5_20220309
cubm_3,cu,NI,BIO1,right,Well 282,BIO1_5_20220309
znbm_16,zn,NI,BIO1,right,Well 283,BIO1_5_20220309
blank,NA,NI,BIO1,right,Well 284,BIO1_5_20220309
cobm_4,co,NI,BIO1,right,Well 285,BIO1_5_20220309
mnbm_29,mn,NI,BIO1,right,Well 286,BIO1_5_20220309
cubm_6,cu,NI,BIO1,right,Well 287,BIO1_5_20220309
znbm_37,zn,NI,BIO1,right,Well 288,BIO1_5_20220309
mnbm_20,mn,NI,BIO1,right,Well 289,BIO1_5_20220309
nibm_29,ni,NI,BIO1,right,Well 290,BIO1_5_20220309
cobm_18,co,NI,BIO1,right,Well 291,BIO1_5_20220309
cubm_10,cu,NI,BIO1,right,Well 292,BIO1_5_20220309
nibm_11,ni,NI,BIO1,right,Well 293,BIO1_5_20220309
znbm_46,zn,NI,BIO1,right,Well 294,BIO1_5_20220309
znbm_19,zn,NI,BIO1,right,Well 295,BIO1_5_20220309
nibm_17,ni,NI,BIO1,right,Well 296,BIO1_5_20220309
mnbm_44,mn,NI,BIO1,right,Well 297,BIO1_5_20220309
cobm_14,co,NI,BIO1,right,Well 298,BIO1_5_20220309
cubm_12,cu,NI,BIO1,right,Well 299,BIO1_5_20220309
cobm_16,co,NI,BIO1,right,Well 300,BIO1_5_20220309
