strain,conc,metal,machine,plate,wells,batch
mnbm_39,mn,NI,BIO1,right,Well 221,BIO1_1_20220228
mnbm_31,mn,NI,BIO1,right,Well 222,BIO1_1_20220228
cubm_17,cu,NI,BIO1,right,Well 223,BIO1_1_20220228
znbm_32,zn,NI,BIO1,right,Well 224,BIO1_1_20220228
nibm_30,ni,NI,BIO1,right,Well 225,BIO1_1_20220228
znbm_47,zn,NI,BIO1,right,Well 226,BIO1_1_20220228
znbm_34,zn,NI,BIO1,right,Well 227,BIO1_1_20220228
ypadOLY077,YPAD,YPAD,BIO1,right,Well 228,BIO1_1_20220228
znbm_31,zn,NI,BIO1,right,Well 229,BIO1_1_20220228
nibm_4,ni,NI,BIO1,right,Well 230,BIO1_1_20220228
znbm_8,zn,NI,BIO1,right,Well 231,BIO1_1_20220228
znbm_41,zn,NI,BIO1,right,Well 232,BIO1_1_20220228
cubm_15,cu,NI,BIO1,right,Well 233,BIO1_1_20220228
mnbm_14,mn,NI,BIO1,right,Well 234,BIO1_1_20220228
nibm_30,ni,NI,BIO1,right,Well 235,BIO1_1_20220228
znbm_39,zn,NI,BIO1,right,Well 236,BIO1_1_20220228
mnbm_13,mn,NI,BIO1,right,Well 237,BIO1_1_20220228
cdbm_43,cd,NI,BIO1,right,Well 238,BIO1_1_20220228
znbm_16,zn,NI,BIO1,right,Well 239,BIO1_1_20220228
cobm_12,co,NI,BIO1,right,Well 240,BIO1_1_20220228
nibm_9,ni,NI,BIO1,right,Well 241,BIO1_1_20220228
cobm_5,co,NI,BIO1,right,Well 242,BIO1_1_20220228
cdbm_25,cd,NI,BIO1,right,Well 243,BIO1_1_20220228
mnbm_28,mn,NI,BIO1,right,Well 244,BIO1_1_20220228
cobm_18,co,NI,BIO1,right,Well 245,BIO1_1_20220228
cobm_4,co,NI,BIO1,right,Well 246,BIO1_1_20220228
nibm_28,ni,NI,BIO1,right,Well 247,BIO1_1_20220228
cubm_17,cu,NI,BIO1,right,Well 248,BIO1_1_20220228
cdbm_26,cd,NI,BIO1,right,Well 249,BIO1_1_20220228
znbm_41,zn,NI,BIO1,right,Well 250,BIO1_1_20220228
znbm_9,zn,NI,BIO1,right,Well 251,BIO1_1_20220228
mnbm_21,mn,NI,BIO1,right,Well 252,BIO1_1_20220228
nibm_11,ni,NI,BIO1,right,Well 253,BIO1_1_20220228
cubm_18,cu,NI,BIO1,right,Well 254,BIO1_1_20220228
znbm_42,zn,NI,BIO1,right,Well 255,BIO1_1_20220228
cdbm_31,cd,NI,BIO1,right,Well 256,BIO1_1_20220228
blank,NA,NI,BIO1,right,Well 257,BIO1_1_20220228
cdbm_36,cd,NI,BIO1,right,Well 258,BIO1_1_20220228
cobm_20,co,NI,BIO1,right,Well 259,BIO1_1_20220228
znbm_29,zn,NI,BIO1,right,Well 260,BIO1_1_20220228
cubm_14,cu,NI,BIO1,right,Well 261,BIO1_1_20220228
znbm_37,zn,NI,BIO1,right,Well 262,BIO1_1_20220228
cdbm_32,cd,NI,BIO1,right,Well 263,BIO1_1_20220228
znbm_5,zn,NI,BIO1,right,Well 264,BIO1_1_20220228
cdbm_45,cd,NI,BIO1,right,Well 265,BIO1_1_20220228
cdbm_43,cd,NI,BIO1,right,Well 266,BIO1_1_20220228
ypadOLY077,YPAD,YPAD,BIO1,right,Well 267,BIO1_1_20220228
nibm_29,ni,NI,BIO1,right,Well 268,BIO1_1_20220228
mnbm_25,mn,NI,BIO1,right,Well 269,BIO1_1_20220228
mnbm_28,mn,NI,BIO1,right,Well 270,BIO1_1_20220228
cobm_18,co,NI,BIO1,right,Well 271,BIO1_1_20220228
nibm_22,ni,NI,BIO1,right,Well 272,BIO1_1_20220228
mnbm_38,mn,NI,BIO1,right,Well 273,BIO1_1_20220228
nibm_9,ni,NI,BIO1,right,Well 274,BIO1_1_20220228
znbm_8,zn,NI,BIO1,right,Well 275,BIO1_1_20220228
cobm_4,co,NI,BIO1,right,Well 276,BIO1_1_20220228
cobm_14,co,NI,BIO1,right,Well 277,BIO1_1_20220228
cdbm_40,cd,NI,BIO1,right,Well 278,BIO1_1_20220228
znbm_22,zn,NI,BIO1,right,Well 279,BIO1_1_20220228
cdbm_37,cd,NI,BIO1,right,Well 280,BIO1_1_20220228
nibm_12,ni,NI,BIO1,right,Well 281,BIO1_1_20220228
cubm_18,cu,NI,BIO1,right,Well 282,BIO1_1_20220228
cdbm_21,cd,NI,BIO1,right,Well 283,BIO1_1_20220228
nibm_27,ni,NI,BIO1,right,Well 284,BIO1_1_20220228
nibm_6,ni,NI,BIO1,right,Well 285,BIO1_1_20220228
cdbm_25,cd,NI,BIO1,right,Well 286,BIO1_1_20220228
ypadOLY077,YPAD,YPAD,BIO1,right,Well 287,BIO1_1_20220228
znbm_25,zn,NI,BIO1,right,Well 288,BIO1_1_20220228
cobm_17,co,NI,BIO1,right,Well 289,BIO1_1_20220228
cdbm_28,cd,NI,BIO1,right,Well 290,BIO1_1_20220228
cubm_17,cu,NI,BIO1,right,Well 291,BIO1_1_20220228
znbm_39,zn,NI,BIO1,right,Well 292,BIO1_1_20220228
nibm_4,ni,NI,BIO1,right,Well 293,BIO1_1_20220228
znbm_12,zn,NI,BIO1,right,Well 294,BIO1_1_20220228
mnbm_39,mn,NI,BIO1,right,Well 295,BIO1_1_20220228
cdbm_45,cd,NI,BIO1,right,Well 296,BIO1_1_20220228
nibm_14,ni,NI,BIO1,right,Well 297,BIO1_1_20220228
nibm_16,ni,NI,BIO1,right,Well 298,BIO1_1_20220228
cubm_10,cu,NI,BIO1,right,Well 299,BIO1_1_20220228
cdbm_30,cd,NI,BIO1,right,Well 300,BIO1_1_20220228
