strain,conc,metal,machine,plate,wells,batch
nibm_28,ni,CD,BIO2,left,Well 152,BIO2_3_20220304
cubm_15,cu,CD,BIO2,left,Well 153,BIO2_3_20220304
blank,NA,CD,BIO2,left,Well 154,BIO2_3_20220304
cdbm_36,cd,CD,BIO2,left,Well 155,BIO2_3_20220304
cobm_17,co,CD,BIO2,left,Well 156,BIO2_3_20220304
znbm_12,zn,CD,BIO2,left,Well 157,BIO2_3_20220304
nibm_25,ni,CD,BIO2,left,Well 158,BIO2_3_20220304
cdbm_42,cd,CD,BIO2,left,Well 159,BIO2_3_20220304
cobm_7,co,CD,BIO2,left,Well 160,BIO2_3_20220304
cobm_14,co,CD,BIO2,left,Well 161,BIO2_3_20220304
mnbm_14,mn,CD,BIO2,left,Well 162,BIO2_3_20220304
cobm_16,co,CD,BIO2,left,Well 163,BIO2_3_20220304
znbm_7,zn,CD,BIO2,left,Well 164,BIO2_3_20220304
nibm_25,ni,CD,BIO2,left,Well 165,BIO2_3_20220304
OLY077,YPAD,CD,BIO2,left,Well 166,BIO2_3_20220304
nibm_21,ni,CD,BIO2,left,Well 167,BIO2_3_20220304
znbm_15,zn,CD,BIO2,left,Well 168,BIO2_3_20220304
znbm_34,zn,CD,BIO2,left,Well 169,BIO2_3_20220304
znbm_16,zn,CD,BIO2,left,Well 170,BIO2_3_20220304
znbm_31,zn,CD,BIO2,left,Well 171,BIO2_3_20220304
znbm_6,zn,CD,BIO2,left,Well 172,BIO2_3_20220304
cdbm_39,cd,CD,BIO2,left,Well 173,BIO2_3_20220304
ypadOLY077,YPAD,YPAD,BIO2,left,Well 174,BIO2_3_20220304
cubm_10,cu,CD,BIO2,left,Well 175,BIO2_3_20220304
nibm_17,ni,CD,BIO2,left,Well 176,BIO2_3_20220304
nibm_22,ni,CD,BIO2,left,Well 177,BIO2_3_20220304
cdbm_26,cd,CD,BIO2,left,Well 178,BIO2_3_20220304
ypadOLY077,YPAD,YPAD,BIO2,left,Well 179,BIO2_3_20220304
znbm_22,zn,CD,BIO2,left,Well 180,BIO2_3_20220304
mnbm_24,mn,CD,BIO2,left,Well 181,BIO2_3_20220304
cdbm_21,cd,CD,BIO2,left,Well 182,BIO2_3_20220304
cubm_7,cu,CD,BIO2,left,Well 183,BIO2_3_20220304
cobm_2,co,CD,BIO2,left,Well 184,BIO2_3_20220304
cubm_3,cu,CD,BIO2,left,Well 185,BIO2_3_20220304
cubm_7,cu,CD,BIO2,left,Well 186,BIO2_3_20220304
cubm_9,cu,CD,BIO2,left,Well 187,BIO2_3_20220304
cdbm_40,cd,CD,BIO2,left,Well 188,BIO2_3_20220304
nibm_28,ni,CD,BIO2,left,Well 189,BIO2_3_20220304
cdbm_32,cd,CD,BIO2,left,Well 190,BIO2_3_20220304
znbm_47,zn,CD,BIO2,left,Well 191,BIO2_3_20220304
cobm_15,co,CD,BIO2,left,Well 192,BIO2_3_20220304
mnbm_27,mn,CD,BIO2,left,Well 193,BIO2_3_20220304
znbm_9,zn,CD,BIO2,left,Well 194,BIO2_3_20220304
znbm_31,zn,CD,BIO2,left,Well 195,BIO2_3_20220304
cdbm_39,cd,CD,BIO2,left,Well 196,BIO2_3_20220304
cobm_2,co,CD,BIO2,left,Well 197,BIO2_3_20220304
cdbm_44,cd,CD,BIO2,left,Well 198,BIO2_3_20220304
cubm_16,cu,CD,BIO2,left,Well 199,BIO2_3_20220304
nibm_6,ni,CD,BIO2,left,Well 200,BIO2_3_20220304
cdbm_47,cd,CO,BIO2,right,Well 201,BIO2_3_20220304
znbm_37,zn,CO,BIO2,right,Well 202,BIO2_3_20220304
cdbm_23,cd,CO,BIO2,right,Well 203,BIO2_3_20220304
nibm_22,ni,CO,BIO2,right,Well 204,BIO2_3_20220304
mnbm_14,mn,CO,BIO2,right,Well 205,BIO2_3_20220304
mnbm_16,mn,CO,BIO2,right,Well 206,BIO2_3_20220304
znbm_31,zn,CO,BIO2,right,Well 207,BIO2_3_20220304
cdbm_40,cd,CO,BIO2,right,Well 208,BIO2_3_20220304
cobm_17,co,CO,BIO2,right,Well 209,BIO2_3_20220304
cdbm_22,cd,CO,BIO2,right,Well 210,BIO2_3_20220304
znbm_44,zn,CO,BIO2,right,Well 211,BIO2_3_20220304
mnbm_32,mn,CO,BIO2,right,Well 212,BIO2_3_20220304
nibm_21,ni,CO,BIO2,right,Well 213,BIO2_3_20220304
ypadOLY077,YPAD,YPAD,BIO2,right,Well 214,BIO2_3_20220304
znbm_28,zn,CO,BIO2,right,Well 215,BIO2_3_20220304
znbm_34,zn,CO,BIO2,right,Well 216,BIO2_3_20220304
cdbm_21,cd,CO,BIO2,right,Well 217,BIO2_3_20220304
znbm_19,zn,CO,BIO2,right,Well 218,BIO2_3_20220304
cobm_16,co,CO,BIO2,right,Well 219,BIO2_3_20220304
OLY077,YPAD,CO,BIO2,right,Well 220,BIO2_3_20220304
cubm_4,cu,CO,BIO2,right,Well 221,BIO2_3_20220304
cdbm_46,cd,CO,BIO2,right,Well 222,BIO2_3_20220304
cobm_15,co,CO,BIO2,right,Well 223,BIO2_3_20220304
cubm_8,cu,CO,BIO2,right,Well 224,BIO2_3_20220304
cdbm_48,cd,CO,BIO2,right,Well 225,BIO2_3_20220304
cdbm_43,cd,CO,BIO2,right,Well 226,BIO2_3_20220304
nibm_29,ni,CO,BIO2,right,Well 227,BIO2_3_20220304
cdbm_29,cd,CO,BIO2,right,Well 228,BIO2_3_20220304
cubm_16,cu,CO,BIO2,right,Well 229,BIO2_3_20220304
cobm_16,co,CO,BIO2,right,Well 230,BIO2_3_20220304
mnbm_17,mn,CO,BIO2,right,Well 231,BIO2_3_20220304
cobm_12,co,CO,BIO2,right,Well 232,BIO2_3_20220304
nibm_29,ni,CO,BIO2,right,Well 233,BIO2_3_20220304
znbm_8,zn,CO,BIO2,right,Well 234,BIO2_3_20220304
znbm_29,zn,CO,BIO2,right,Well 235,BIO2_3_20220304
cobm_21,co,CO,BIO2,right,Well 236,BIO2_3_20220304
cobm_8,co,CO,BIO2,right,Well 237,BIO2_3_20220304
mnbm_27,mn,CO,BIO2,right,Well 238,BIO2_3_20220304
mnbm_32,mn,CO,BIO2,right,Well 239,BIO2_3_20220304
cobm_2,co,CO,BIO2,right,Well 240,BIO2_3_20220304
cubm_7,cu,CO,BIO2,right,Well 241,BIO2_3_20220304
mnbm_18,mn,CO,BIO2,right,Well 242,BIO2_3_20220304
znbm_12,zn,CO,BIO2,right,Well 243,BIO2_3_20220304
nibm_25,ni,CO,BIO2,right,Well 244,BIO2_3_20220304
nibm_27,ni,CO,BIO2,right,Well 245,BIO2_3_20220304
cdbm_30,cd,CO,BIO2,right,Well 246,BIO2_3_20220304
cubm_13,cu,CO,BIO2,right,Well 247,BIO2_3_20220304
cobm_17,co,CO,BIO2,right,Well 248,BIO2_3_20220304
blank,NA,CO,BIO2,right,Well 249,BIO2_3_20220304
mnbm_44,mn,CO,BIO2,right,Well 250,BIO2_3_20220304
cdbm_21,cd,CO,BIO2,right,Well 251,BIO2_3_20220304
cubm_16,cu,CO,BIO2,right,Well 252,BIO2_3_20220304
ypadOLY077,YPAD,YPAD,BIO2,right,Well 253,BIO2_3_20220304
ypadOLY077,YPAD,YPAD,BIO2,right,Well 254,BIO2_3_20220304
znbm_22,zn,CO,BIO2,right,Well 255,BIO2_3_20220304
cubm_9,cu,CO,BIO2,right,Well 256,BIO2_3_20220304
cubm_7,cu,CO,BIO2,right,Well 257,BIO2_3_20220304
cubm_8,cu,CO,BIO2,right,Well 258,BIO2_3_20220304
znbm_28,zn,CO,BIO2,right,Well 259,BIO2_3_20220304
znbm_38,zn,CO,BIO2,right,Well 260,BIO2_3_20220304
cubm_6,cu,CO,BIO2,right,Well 261,BIO2_3_20220304
cobm_21,co,CO,BIO2,right,Well 262,BIO2_3_20220304
cdbm_32,cd,CO,BIO2,right,Well 263,BIO2_3_20220304
znbm_29,zn,CO,BIO2,right,Well 264,BIO2_3_20220304
nibm_28,ni,CO,BIO2,right,Well 265,BIO2_3_20220304
znbm_28,zn,CO,BIO2,right,Well 266,BIO2_3_20220304
cdbm_44,cd,CO,BIO2,right,Well 267,BIO2_3_20220304
mnbm_24,mn,CO,BIO2,right,Well 268,BIO2_3_20220304
znbm_16,zn,CO,BIO2,right,Well 269,BIO2_3_20220304
mnbm_15,mn,CO,BIO2,right,Well 270,BIO2_3_20220304
znbm_11,zn,CO,BIO2,right,Well 271,BIO2_3_20220304
cobm_5,co,CO,BIO2,right,Well 272,BIO2_3_20220304
znbm_6,zn,CO,BIO2,right,Well 273,BIO2_3_20220304
znbm_47,zn,CO,BIO2,right,Well 274,BIO2_3_20220304
mnbm_27,mn,CO,BIO2,right,Well 275,BIO2_3_20220304
mnbm_27,mn,CO,BIO2,right,Well 276,BIO2_3_20220304
cubm_3,cu,CO,BIO2,right,Well 277,BIO2_3_20220304
nibm_4,ni,CO,BIO2,right,Well 278,BIO2_3_20220304
znbm_46,zn,CO,BIO2,right,Well 279,BIO2_3_20220304
znbm_45,zn,CO,BIO2,right,Well 280,BIO2_3_20220304
blank,NA,CO,BIO2,right,Well 281,BIO2_3_20220304
cdbm_31,cd,CO,BIO2,right,Well 282,BIO2_3_20220304
znbm_34,zn,CO,BIO2,right,Well 283,BIO2_3_20220304
nibm_8,ni,CO,BIO2,right,Well 284,BIO2_3_20220304
nibm_27,ni,CO,BIO2,right,Well 285,BIO2_3_20220304
znbm_9,zn,CO,BIO2,right,Well 286,BIO2_3_20220304
cubm_15,cu,CO,BIO2,right,Well 287,BIO2_3_20220304
cobm_20,co,CO,BIO2,right,Well 288,BIO2_3_20220304
cdbm_29,cd,CO,BIO2,right,Well 289,BIO2_3_20220304
mnbm_44,mn,CO,BIO2,right,Well 290,BIO2_3_20220304
cobm_16,co,CO,BIO2,right,Well 291,BIO2_3_20220304
cobm_12,co,CO,BIO2,right,Well 292,BIO2_3_20220304
cobm_3,co,CO,BIO2,right,Well 293,BIO2_3_20220304
znbm_45,zn,CO,BIO2,right,Well 294,BIO2_3_20220304
cdbm_31,cd,CO,BIO2,right,Well 295,BIO2_3_20220304
znbm_38,zn,CO,BIO2,right,Well 296,BIO2_3_20220304
cdbm_44,cd,CO,BIO2,right,Well 297,BIO2_3_20220304
cdbm_44,cd,CO,BIO2,right,Well 298,BIO2_3_20220304
cdbm_29,cd,CO,BIO2,right,Well 299,BIO2_3_20220304
nibm_17,ni,CO,BIO2,right,Well 300,BIO2_3_20220304
