strain,conc,metal,machine,plate,wells,batch
cubm_13,cu,MN,BIO2,right,Well 257,BIO2_9_20220318
znbm_41,zn,MN,BIO2,right,Well 258,BIO2_9_20220318
cdbm_47,cd,MN,BIO2,right,Well 259,BIO2_9_20220318
nibm_27,ni,MN,BIO2,right,Well 260,BIO2_9_20220318
blank,NA,MN,BIO2,right,Well 261,BIO2_9_20220318
cdbm_23,cd,MN,BIO2,right,Well 262,BIO2_9_20220318
znbm_43,zn,MN,BIO2,right,Well 263,BIO2_9_20220318
nibm_30,ni,MN,BIO2,right,Well 264,BIO2_9_20220318
nibm_24,ni,MN,BIO2,right,Well 265,BIO2_9_20220318
znbm_22,zn,MN,BIO2,right,Well 266,BIO2_9_20220318
mnbm_44,mn,MN,BIO2,right,Well 267,BIO2_9_20220318
ypadOLY077,YPAD,YPAD,BIO2,right,Well 268,BIO2_9_20220318
znbm_31,zn,MN,BIO2,right,Well 269,BIO2_9_20220318
znbm_32,zn,MN,BIO2,right,Well 270,BIO2_9_20220318
znbm_43,zn,MN,BIO2,right,Well 271,BIO2_9_20220318
mnbm_12,mn,MN,BIO2,right,Well 272,BIO2_9_20220318
cubm_16,cu,MN,BIO2,right,Well 273,BIO2_9_20220318
cobm_12,co,MN,BIO2,right,Well 274,BIO2_9_20220318
cobm_1,co,MN,BIO2,right,Well 275,BIO2_9_20220318
cdbm_29,cd,MN,BIO2,right,Well 276,BIO2_9_20220318
cubm_14,cu,MN,BIO2,right,Well 277,BIO2_9_20220318
znbm_42,zn,MN,BIO2,right,Well 278,BIO2_9_20220318
cdbm_45,cd,MN,BIO2,right,Well 279,BIO2_9_20220318
mnbm_24,mn,MN,BIO2,right,Well 280,BIO2_9_20220318
znbm_34,zn,MN,BIO2,right,Well 281,BIO2_9_20220318
OLY077,YPAD,MN,BIO2,right,Well 282,BIO2_9_20220318
znbm_38,zn,MN,BIO2,right,Well 283,BIO2_9_20220318
znbm_38,zn,MN,BIO2,right,Well 284,BIO2_9_20220318
znbm_45,zn,MN,BIO2,right,Well 285,BIO2_9_20220318
cdbm_45,cd,MN,BIO2,right,Well 286,BIO2_9_20220318
znbm_16,zn,MN,BIO2,right,Well 287,BIO2_9_20220318
cdbm_29,cd,MN,BIO2,right,Well 288,BIO2_9_20220318
cubm_17,cu,MN,BIO2,right,Well 289,BIO2_9_20220318
cubm_9,cu,MN,BIO2,right,Well 290,BIO2_9_20220318
nibm_27,ni,MN,BIO2,right,Well 291,BIO2_9_20220318
znbm_17,zn,MN,BIO2,right,Well 292,BIO2_9_20220318
cobm_6,co,MN,BIO2,right,Well 293,BIO2_9_20220318
cdbm_29,cd,MN,BIO2,right,Well 294,BIO2_9_20220318
mnbm_38,mn,MN,BIO2,right,Well 295,BIO2_9_20220318
mnbm_15,mn,MN,BIO2,right,Well 296,BIO2_9_20220318
mnbm_13,mn,MN,BIO2,right,Well 297,BIO2_9_20220318
cobm_21,co,MN,BIO2,right,Well 298,BIO2_9_20220318
nibm_6,ni,MN,BIO2,right,Well 299,BIO2_9_20220318
nibm_17,ni,MN,BIO2,right,Well 300,BIO2_9_20220318
