strain,conc,metal,machine,plate,wells,batch
cdbm_44,cd,CU,BIO1,left,Well 131,BIO1_4_20220307
cdbm_30,cd,CU,BIO1,left,Well 132,BIO1_4_20220307
cobm_5,co,CU,BIO1,left,Well 133,BIO1_4_20220307
cdbm_47,cd,CU,BIO1,left,Well 134,BIO1_4_20220307
mnbm_39,mn,CU,BIO1,left,Well 135,BIO1_4_20220307
mnbm_14,mn,CU,BIO1,left,Well 136,BIO1_4_20220307
znbm_6,zn,CU,BIO1,left,Well 137,BIO1_4_20220307
cobm_15,co,CU,BIO1,left,Well 138,BIO1_4_20220307
nibm_14,ni,CU,BIO1,left,Well 139,BIO1_4_20220307
znbm_17,zn,CU,BIO1,left,Well 140,BIO1_4_20220307
cdbm_32,cd,CU,BIO1,left,Well 141,BIO1_4_20220307
znbm_9,zn,CU,BIO1,left,Well 142,BIO1_4_20220307
znbm_42,zn,CU,BIO1,left,Well 143,BIO1_4_20220307
blank,NA,CU,BIO1,left,Well 144,BIO1_4_20220307
znbm_39,zn,CU,BIO1,left,Well 145,BIO1_4_20220307
nibm_25,ni,CU,BIO1,left,Well 146,BIO1_4_20220307
mnbm_13,mn,CU,BIO1,left,Well 147,BIO1_4_20220307
cdbm_22,cd,CU,BIO1,left,Well 148,BIO1_4_20220307
cobm_17,co,CU,BIO1,left,Well 149,BIO1_4_20220307
cubm_6,cu,CU,BIO1,left,Well 150,BIO1_4_20220307
cobm_20,co,CU,BIO1,left,Well 151,BIO1_4_20220307
cobm_8,co,CU,BIO1,left,Well 152,BIO1_4_20220307
cubm_12,cu,CU,BIO1,left,Well 153,BIO1_4_20220307
cdbm_22,cd,CU,BIO1,left,Well 154,BIO1_4_20220307
znbm_42,zn,CU,BIO1,left,Well 155,BIO1_4_20220307
cobm_3,co,CU,BIO1,left,Well 156,BIO1_4_20220307
cubm_11,cu,CU,BIO1,left,Well 157,BIO1_4_20220307
cdbm_37,cd,CU,BIO1,left,Well 158,BIO1_4_20220307
znbm_9,zn,CU,BIO1,left,Well 159,BIO1_4_20220307
cubm_15,cu,CU,BIO1,left,Well 160,BIO1_4_20220307
mnbm_27,mn,CU,BIO1,left,Well 161,BIO1_4_20220307
znbm_29,zn,CU,BIO1,left,Well 162,BIO1_4_20220307
mnbm_15,mn,CU,BIO1,left,Well 163,BIO1_4_20220307
mnbm_42,mn,CU,BIO1,left,Well 164,BIO1_4_20220307
nibm_16,ni,CU,BIO1,left,Well 165,BIO1_4_20220307
cobm_12,co,CU,BIO1,left,Well 166,BIO1_4_20220307
znbm_16,zn,CU,BIO1,left,Well 167,BIO1_4_20220307
znbm_5,zn,CU,BIO1,left,Well 168,BIO1_4_20220307
znbm_22,zn,CU,BIO1,left,Well 169,BIO1_4_20220307
ypadOLY077,YPAD,YPAD,BIO1,left,Well 170,BIO1_4_20220307
mnbm_23,mn,CU,BIO1,left,Well 171,BIO1_4_20220307
znbm_17,zn,CU,BIO1,left,Well 172,BIO1_4_20220307
znbm_28,zn,CU,BIO1,left,Well 173,BIO1_4_20220307
znbm_37,zn,CU,BIO1,left,Well 174,BIO1_4_20220307
mnbm_32,mn,CU,BIO1,left,Well 175,BIO1_4_20220307
nibm_21,ni,CU,BIO1,left,Well 176,BIO1_4_20220307
nibm_9,ni,CU,BIO1,left,Well 177,BIO1_4_20220307
znbm_12,zn,CU,BIO1,left,Well 178,BIO1_4_20220307
cdbm_45,cd,CU,BIO1,left,Well 179,BIO1_4_20220307
cdbm_40,cd,CU,BIO1,left,Well 180,BIO1_4_20220307
znbm_7,zn,CU,BIO1,left,Well 181,BIO1_4_20220307
nibm_9,ni,CU,BIO1,left,Well 182,BIO1_4_20220307
cobm_15,co,CU,BIO1,left,Well 183,BIO1_4_20220307
nibm_27,ni,CU,BIO1,left,Well 184,BIO1_4_20220307
znbm_19,zn,CU,BIO1,left,Well 185,BIO1_4_20220307
cdbm_46,cd,CU,BIO1,left,Well 186,BIO1_4_20220307
znbm_19,zn,CU,BIO1,left,Well 187,BIO1_4_20220307
nibm_16,ni,CU,BIO1,left,Well 188,BIO1_4_20220307
cdbm_32,cd,CU,BIO1,left,Well 189,BIO1_4_20220307
cdbm_47,cd,CU,BIO1,left,Well 190,BIO1_4_20220307
mnbm_31,mn,CU,BIO1,left,Well 191,BIO1_4_20220307
cubm_13,cu,CU,BIO1,left,Well 192,BIO1_4_20220307
znbm_42,zn,CU,BIO1,left,Well 193,BIO1_4_20220307
znbm_43,zn,CU,BIO1,left,Well 194,BIO1_4_20220307
nibm_11,ni,CU,BIO1,left,Well 195,BIO1_4_20220307
cobm_4,co,CU,BIO1,left,Well 196,BIO1_4_20220307
mnbm_23,mn,CU,BIO1,left,Well 197,BIO1_4_20220307
nibm_6,ni,CU,BIO1,left,Well 198,BIO1_4_20220307
cdbm_26,cd,CU,BIO1,left,Well 199,BIO1_4_20220307
blank,NA,CU,BIO1,left,Well 200,BIO1_4_20220307
cobm_7,co,ZN,BIO1,right,Well 201,BIO1_4_20220307
znbm_22,zn,ZN,BIO1,right,Well 202,BIO1_4_20220307
cdbm_28,cd,ZN,BIO1,right,Well 203,BIO1_4_20220307
nibm_28,ni,ZN,BIO1,right,Well 204,BIO1_4_20220307
cdbm_26,cd,ZN,BIO1,right,Well 205,BIO1_4_20220307
mnbm_13,mn,ZN,BIO1,right,Well 206,BIO1_4_20220307
mnbm_24,mn,ZN,BIO1,right,Well 207,BIO1_4_20220307
znbm_12,zn,ZN,BIO1,right,Well 208,BIO1_4_20220307
znbm_9,zn,ZN,BIO1,right,Well 209,BIO1_4_20220307
OLY077,YPAD,ZN,BIO1,right,Well 210,BIO1_4_20220307
nibm_17,ni,ZN,BIO1,right,Well 211,BIO1_4_20220307
cdbm_44,cd,ZN,BIO1,right,Well 212,BIO1_4_20220307
cobm_12,co,ZN,BIO1,right,Well 213,BIO1_4_20220307
mnbm_20,mn,ZN,BIO1,right,Well 214,BIO1_4_20220307
nibm_11,ni,ZN,BIO1,right,Well 215,BIO1_4_20220307
nibm_30,ni,ZN,BIO1,right,Well 216,BIO1_4_20220307
nibm_29,ni,ZN,BIO1,right,Well 217,BIO1_4_20220307
mnbm_28,mn,ZN,BIO1,right,Well 218,BIO1_4_20220307
mnbm_14,mn,ZN,BIO1,right,Well 219,BIO1_4_20220307
cobm_20,co,ZN,BIO1,right,Well 220,BIO1_4_20220307
ypadOLY077,YPAD,YPAD,BIO1,right,Well 221,BIO1_4_20220307
mnbm_17,mn,ZN,BIO1,right,Well 222,BIO1_4_20220307
blank,NA,ZN,BIO1,right,Well 223,BIO1_4_20220307
znbm_19,zn,ZN,BIO1,right,Well 224,BIO1_4_20220307
cobm_20,co,ZN,BIO1,right,Well 225,BIO1_4_20220307
cdbm_26,cd,ZN,BIO1,right,Well 226,BIO1_4_20220307
mnbm_29,mn,ZN,BIO1,right,Well 227,BIO1_4_20220307
znbm_42,zn,ZN,BIO1,right,Well 228,BIO1_4_20220307
nibm_12,ni,ZN,BIO1,right,Well 229,BIO1_4_20220307
ypadOLY077,YPAD,YPAD,BIO1,right,Well 230,BIO1_4_20220307
cdbm_46,cd,ZN,BIO1,right,Well 231,BIO1_4_20220307
znbm_9,zn,ZN,BIO1,right,Well 232,BIO1_4_20220307
znbm_46,zn,ZN,BIO1,right,Well 233,BIO1_4_20220307
cdbm_47,cd,ZN,BIO1,right,Well 234,BIO1_4_20220307
mnbm_23,mn,ZN,BIO1,right,Well 235,BIO1_4_20220307
nibm_21,ni,ZN,BIO1,right,Well 236,BIO1_4_20220307
cobm_3,co,ZN,BIO1,right,Well 237,BIO1_4_20220307
mnbm_20,mn,ZN,BIO1,right,Well 238,BIO1_4_20220307
cdbm_39,cd,ZN,BIO1,right,Well 239,BIO1_4_20220307
cubm_8,cu,ZN,BIO1,right,Well 240,BIO1_4_20220307
cobm_1,co,ZN,BIO1,right,Well 241,BIO1_4_20220307
znbm_8,zn,ZN,BIO1,right,Well 242,BIO1_4_20220307
cobm_4,co,ZN,BIO1,right,Well 243,BIO1_4_20220307
mnbm_31,mn,ZN,BIO1,right,Well 244,BIO1_4_20220307
nibm_9,ni,ZN,BIO1,right,Well 245,BIO1_4_20220307
nibm_24,ni,ZN,BIO1,right,Well 246,BIO1_4_20220307
mnbm_17,mn,ZN,BIO1,right,Well 247,BIO1_4_20220307
znbm_6,zn,ZN,BIO1,right,Well 248,BIO1_4_20220307
mnbm_34,mn,ZN,BIO1,right,Well 249,BIO1_4_20220307
cdbm_22,cd,ZN,BIO1,right,Well 250,BIO1_4_20220307
nibm_9,ni,ZN,BIO1,right,Well 251,BIO1_4_20220307
znbm_28,zn,ZN,BIO1,right,Well 252,BIO1_4_20220307
nibm_14,ni,ZN,BIO1,right,Well 253,BIO1_4_20220307
cubm_9,cu,ZN,BIO1,right,Well 254,BIO1_4_20220307
cobm_5,co,ZN,BIO1,right,Well 255,BIO1_4_20220307
cobm_16,co,ZN,BIO1,right,Well 256,BIO1_4_20220307
cobm_12,co,ZN,BIO1,right,Well 257,BIO1_4_20220307
znbm_17,zn,ZN,BIO1,right,Well 258,BIO1_4_20220307
nibm_25,ni,ZN,BIO1,right,Well 259,BIO1_4_20220307
mnbm_15,mn,ZN,BIO1,right,Well 260,BIO1_4_20220307
cubm_15,cu,ZN,BIO1,right,Well 261,BIO1_4_20220307
cdbm_46,cd,ZN,BIO1,right,Well 262,BIO1_4_20220307
cobm_16,co,ZN,BIO1,right,Well 263,BIO1_4_20220307
mnbm_29,mn,ZN,BIO1,right,Well 264,BIO1_4_20220307
cubm_4,cu,ZN,BIO1,right,Well 265,BIO1_4_20220307
nibm_24,ni,ZN,BIO1,right,Well 266,BIO1_4_20220307
cdbm_44,cd,ZN,BIO1,right,Well 267,BIO1_4_20220307
cdbm_47,cd,ZN,BIO1,right,Well 268,BIO1_4_20220307
nibm_28,ni,ZN,BIO1,right,Well 269,BIO1_4_20220307
ypadOLY077,YPAD,YPAD,BIO1,right,Well 270,BIO1_4_20220307
cdbm_32,cd,ZN,BIO1,right,Well 271,BIO1_4_20220307
znbm_15,zn,ZN,BIO1,right,Well 272,BIO1_4_20220307
mnbm_34,mn,ZN,BIO1,right,Well 273,BIO1_4_20220307
nibm_14,ni,ZN,BIO1,right,Well 274,BIO1_4_20220307
cubm_3,cu,ZN,BIO1,right,Well 275,BIO1_4_20220307
mnbm_27,mn,ZN,BIO1,right,Well 276,BIO1_4_20220307
cubm_8,cu,ZN,BIO1,right,Well 277,BIO1_4_20220307
cubm_11,cu,ZN,BIO1,right,Well 278,BIO1_4_20220307
nibm_22,ni,ZN,BIO1,right,Well 279,BIO1_4_20220307
cdbm_36,cd,ZN,BIO1,right,Well 280,BIO1_4_20220307
znbm_5,zn,ZN,BIO1,right,Well 281,BIO1_4_20220307
znbm_43,zn,ZN,BIO1,right,Well 282,BIO1_4_20220307
cdbm_21,cd,ZN,BIO1,right,Well 283,BIO1_4_20220307
cobm_7,co,ZN,BIO1,right,Well 284,BIO1_4_20220307
znbm_39,zn,ZN,BIO1,right,Well 285,BIO1_4_20220307
znbm_19,zn,ZN,BIO1,right,Well 286,BIO1_4_20220307
blank,NA,ZN,BIO1,right,Well 287,BIO1_4_20220307
znbm_12,zn,ZN,BIO1,right,Well 288,BIO1_4_20220307
cubm_16,cu,ZN,BIO1,right,Well 289,BIO1_4_20220307
cdbm_42,cd,ZN,BIO1,right,Well 290,BIO1_4_20220307
cdbm_40,cd,ZN,BIO1,right,Well 291,BIO1_4_20220307
cobm_5,co,ZN,BIO1,right,Well 292,BIO1_4_20220307
cubm_14,cu,ZN,BIO1,right,Well 293,BIO1_4_20220307
znbm_46,zn,ZN,BIO1,right,Well 294,BIO1_4_20220307
znbm_23,zn,ZN,BIO1,right,Well 295,BIO1_4_20220307
cubm_11,cu,ZN,BIO1,right,Well 296,BIO1_4_20220307
nibm_25,ni,ZN,BIO1,right,Well 297,BIO1_4_20220307
cobm_4,co,ZN,BIO1,right,Well 298,BIO1_4_20220307
znbm_29,zn,ZN,BIO1,right,Well 299,BIO1_4_20220307
cdbm_37,cd,ZN,BIO1,right,Well 300,BIO1_4_20220307
