strain,conc,metal,machine,plate,wells,batch
znbm_19,zn,NI,BIO2,left,Well 135,BIO2_9_20220318
nibm_24,ni,NI,BIO2,left,Well 136,BIO2_9_20220318
znbm_15,zn,NI,BIO2,left,Well 137,BIO2_9_20220318
mnbm_12,mn,NI,BIO2,left,Well 138,BIO2_9_20220318
cubm_9,cu,NI,BIO2,left,Well 139,BIO2_9_20220318
cobm_3,co,NI,BIO2,left,Well 140,BIO2_9_20220318
cobm_21,co,NI,BIO2,left,Well 141,BIO2_9_20220318
ypadOLY077,YPAD,YPAD,BIO2,left,Well 142,BIO2_9_20220318
cubm_3,cu,NI,BIO2,left,Well 143,BIO2_9_20220318
mnbm_24,mn,NI,BIO2,left,Well 144,BIO2_9_20220318
mnbm_29,mn,NI,BIO2,left,Well 145,BIO2_9_20220318
cdbm_46,cd,NI,BIO2,left,Well 146,BIO2_9_20220318
cdbm_31,cd,NI,BIO2,left,Well 147,BIO2_9_20220318
znbm_28,zn,NI,BIO2,left,Well 148,BIO2_9_20220318
nibm_4,ni,NI,BIO2,left,Well 149,BIO2_9_20220318
mnbm_21,mn,NI,BIO2,left,Well 150,BIO2_9_20220318
cdbm_48,cd,NI,BIO2,left,Well 151,BIO2_9_20220318
cobm_20,co,NI,BIO2,left,Well 152,BIO2_9_20220318
nibm_8,ni,NI,BIO2,left,Well 153,BIO2_9_20220318
OLY077,YPAD,NI,BIO2,left,Well 154,BIO2_9_20220318
cubm_13,cu,NI,BIO2,left,Well 155,BIO2_9_20220318
cdbm_39,cd,NI,BIO2,left,Well 156,BIO2_9_20220318
znbm_43,zn,NI,BIO2,left,Well 157,BIO2_9_20220318
mnbm_28,mn,NI,BIO2,left,Well 158,BIO2_9_20220318
cdbm_48,cd,NI,BIO2,left,Well 159,BIO2_9_20220318
ypadOLY077,YPAD,YPAD,BIO2,left,Well 160,BIO2_9_20220318
blank,NA,NI,BIO2,left,Well 161,BIO2_9_20220318
nibm_17,ni,NI,BIO2,left,Well 162,BIO2_9_20220318
mnbm_34,mn,NI,BIO2,left,Well 163,BIO2_9_20220318
cubm_13,cu,NI,BIO2,left,Well 164,BIO2_9_20220318
cobm_6,co,NI,BIO2,left,Well 165,BIO2_9_20220318
nibm_9,ni,NI,BIO2,left,Well 166,BIO2_9_20220318
znbm_15,zn,NI,BIO2,left,Well 167,BIO2_9_20220318
blank,NA,NI,BIO2,left,Well 168,BIO2_9_20220318
cubm_4,cu,NI,BIO2,left,Well 169,BIO2_9_20220318
ypadOLY077,YPAD,YPAD,BIO2,left,Well 170,BIO2_9_20220318
mnbm_44,mn,NI,BIO2,left,Well 171,BIO2_9_20220318
cdbm_40,cd,NI,BIO2,left,Well 172,BIO2_9_20220318
mnbm_44,mn,NI,BIO2,left,Well 173,BIO2_9_20220318
cobm_21,co,NI,BIO2,left,Well 174,BIO2_9_20220318
cubm_9,cu,NI,BIO2,left,Well 175,BIO2_9_20220318
znbm_45,zn,NI,BIO2,left,Well 176,BIO2_9_20220318
nibm_12,ni,NI,BIO2,left,Well 177,BIO2_9_20220318
nibm_21,ni,NI,BIO2,left,Well 178,BIO2_9_20220318
nibm_17,ni,NI,BIO2,left,Well 179,BIO2_9_20220318
cdbm_48,cd,NI,BIO2,left,Well 180,BIO2_9_20220318
cubm_12,cu,NI,BIO2,left,Well 181,BIO2_9_20220318
znbm_37,zn,NI,BIO2,left,Well 182,BIO2_9_20220318
mnbm_31,mn,NI,BIO2,left,Well 183,BIO2_9_20220318
znbm_44,zn,NI,BIO2,left,Well 184,BIO2_9_20220318
znbm_41,zn,NI,BIO2,left,Well 185,BIO2_9_20220318
OLY077,YPAD,NI,BIO2,left,Well 186,BIO2_9_20220318
nibm_22,ni,NI,BIO2,left,Well 187,BIO2_9_20220318
znbm_15,zn,NI,BIO2,left,Well 188,BIO2_9_20220318
nibm_14,ni,NI,BIO2,left,Well 189,BIO2_9_20220318
znbm_19,zn,NI,BIO2,left,Well 190,BIO2_9_20220318
nibm_12,ni,NI,BIO2,left,Well 191,BIO2_9_20220318
mnbm_23,mn,NI,BIO2,left,Well 192,BIO2_9_20220318
znbm_22,zn,NI,BIO2,left,Well 193,BIO2_9_20220318
mnbm_17,mn,NI,BIO2,left,Well 194,BIO2_9_20220318
znbm_25,zn,NI,BIO2,left,Well 195,BIO2_9_20220318
znbm_6,zn,NI,BIO2,left,Well 196,BIO2_9_20220318
znbm_23,zn,NI,BIO2,left,Well 197,BIO2_9_20220318
znbm_6,zn,NI,BIO2,left,Well 198,BIO2_9_20220318
cobm_15,co,NI,BIO2,left,Well 199,BIO2_9_20220318
nibm_11,ni,NI,BIO2,left,Well 200,BIO2_9_20220318
blank,NA,blank,BIO1,right,Well 201,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 202,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 203,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 204,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 205,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 206,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 207,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 208,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 209,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 210,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 211,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 212,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 213,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 214,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 215,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 216,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 217,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 218,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 219,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 220,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 221,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 222,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 223,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 224,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 225,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 226,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 227,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 228,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 229,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 230,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 231,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 232,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 233,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 234,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 235,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 236,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 237,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 238,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 239,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 240,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 241,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 242,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 243,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 244,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 245,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 246,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 247,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 248,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 249,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 250,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 251,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 252,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 253,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 254,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 255,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 256,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 257,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 258,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 259,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 260,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 261,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 262,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 263,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 264,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 265,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 266,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 267,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 268,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 269,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 270,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 271,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 272,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 273,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 274,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 275,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 276,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 277,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 278,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 279,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 280,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 281,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 282,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 283,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 284,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 285,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 286,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 287,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 288,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 289,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 290,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 291,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 292,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 293,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 294,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 295,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 296,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 297,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 298,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 299,BIO1_9_202203018
blank,NA,blank,BIO1,right,Well 300,BIO1_9_202203018
