strain,conc,metal,machine,plate,wells,batch
cobm_18,co,ZN,BIO1,left,Well 155,BIO1_3_20220304
cubm_13,cu,ZN,BIO1,left,Well 156,BIO1_3_20220304
cubm_9,cu,ZN,BIO1,left,Well 157,BIO1_3_20220304
znbm_42,zn,ZN,BIO1,left,Well 158,BIO1_3_20220304
znbm_41,zn,ZN,BIO1,left,Well 159,BIO1_3_20220304
znbm_38,zn,ZN,BIO1,left,Well 160,BIO1_3_20220304
mnbm_20,mn,ZN,BIO1,left,Well 161,BIO1_3_20220304
cdbm_21,cd,ZN,BIO1,left,Well 162,BIO1_3_20220304
cubm_16,cu,ZN,BIO1,left,Well 163,BIO1_3_20220304
cdbm_23,cd,ZN,BIO1,left,Well 164,BIO1_3_20220304
mnbm_16,mn,ZN,BIO1,left,Well 165,BIO1_3_20220304
mnbm_44,mn,ZN,BIO1,left,Well 166,BIO1_3_20220304
cdbm_45,cd,ZN,BIO1,left,Well 167,BIO1_3_20220304
cdbm_23,cd,ZN,BIO1,left,Well 168,BIO1_3_20220304
cdbm_22,cd,ZN,BIO1,left,Well 169,BIO1_3_20220304
cubm_7,cu,ZN,BIO1,left,Well 170,BIO1_3_20220304
znbm_31,zn,ZN,BIO1,left,Well 171,BIO1_3_20220304
mnbm_18,mn,ZN,BIO1,left,Well 172,BIO1_3_20220304
mnbm_12,mn,ZN,BIO1,left,Well 173,BIO1_3_20220304
nibm_12,ni,ZN,BIO1,left,Well 174,BIO1_3_20220304
cubm_13,cu,ZN,BIO1,left,Well 175,BIO1_3_20220304
znbm_31,zn,ZN,BIO1,left,Well 176,BIO1_3_20220304
mnbm_39,mn,ZN,BIO1,left,Well 177,BIO1_3_20220304
mnbm_39,mn,ZN,BIO1,left,Well 178,BIO1_3_20220304
cubm_6,cu,ZN,BIO1,left,Well 179,BIO1_3_20220304
cobm_21,co,ZN,BIO1,left,Well 180,BIO1_3_20220304
mnbm_32,mn,ZN,BIO1,left,Well 181,BIO1_3_20220304
mnbm_18,mn,ZN,BIO1,left,Well 182,BIO1_3_20220304
znbm_22,zn,ZN,BIO1,left,Well 183,BIO1_3_20220304
znbm_34,zn,ZN,BIO1,left,Well 184,BIO1_3_20220304
cdbm_21,cd,ZN,BIO1,left,Well 185,BIO1_3_20220304
znbm_39,zn,ZN,BIO1,left,Well 186,BIO1_3_20220304
mnbm_27,mn,ZN,BIO1,left,Well 187,BIO1_3_20220304
znbm_5,zn,ZN,BIO1,left,Well 188,BIO1_3_20220304
znbm_15,zn,ZN,BIO1,left,Well 189,BIO1_3_20220304
znbm_29,zn,ZN,BIO1,left,Well 190,BIO1_3_20220304
znbm_15,zn,ZN,BIO1,left,Well 191,BIO1_3_20220304
nibm_22,ni,ZN,BIO1,left,Well 192,BIO1_3_20220304
cubm_17,cu,ZN,BIO1,left,Well 193,BIO1_3_20220304
znbm_37,zn,ZN,BIO1,left,Well 194,BIO1_3_20220304
cdbm_44,cd,ZN,BIO1,left,Well 195,BIO1_3_20220304
mnbm_24,mn,ZN,BIO1,left,Well 196,BIO1_3_20220304
cdbm_48,cd,ZN,BIO1,left,Well 197,BIO1_3_20220304
znbm_29,zn,ZN,BIO1,left,Well 198,BIO1_3_20220304
mnbm_38,mn,ZN,BIO1,left,Well 199,BIO1_3_20220304
cdbm_47,cd,ZN,BIO1,left,Well 200,BIO1_3_20220304
cdbm_29,cd,YPAD,BIO1,right,Well 201,BIO1_3_20220304
znbm_31,zn,YPAD,BIO1,right,Well 202,BIO1_3_20220304
znbm_25,zn,YPAD,BIO1,right,Well 203,BIO1_3_20220304
znbm_23,zn,YPAD,BIO1,right,Well 204,BIO1_3_20220304
cobm_17,co,YPAD,BIO1,right,Well 205,BIO1_3_20220304
znbm_39,zn,YPAD,BIO1,right,Well 206,BIO1_3_20220304
blank,NA,YPAD,BIO1,right,Well 207,BIO1_3_20220304
cubm_13,cu,YPAD,BIO1,right,Well 208,BIO1_3_20220304
cdbm_21,cd,YPAD,BIO1,right,Well 209,BIO1_3_20220304
ypadOLY077,YPAD,YPAD,BIO1,right,Well 210,BIO1_3_20220304
blank,NA,YPAD,BIO1,right,Well 211,BIO1_3_20220304
cubm_9,cu,YPAD,BIO1,right,Well 212,BIO1_3_20220304
cobm_14,co,YPAD,BIO1,right,Well 213,BIO1_3_20220304
mnbm_14,mn,YPAD,BIO1,right,Well 214,BIO1_3_20220304
nibm_17,ni,YPAD,BIO1,right,Well 215,BIO1_3_20220304
mnbm_21,mn,YPAD,BIO1,right,Well 216,BIO1_3_20220304
mnbm_23,mn,YPAD,BIO1,right,Well 217,BIO1_3_20220304
znbm_47,zn,YPAD,BIO1,right,Well 218,BIO1_3_20220304
znbm_31,zn,YPAD,BIO1,right,Well 219,BIO1_3_20220304
mnbm_39,mn,YPAD,BIO1,right,Well 220,BIO1_3_20220304
cdbm_32,cd,YPAD,BIO1,right,Well 221,BIO1_3_20220304
cubm_11,cu,YPAD,BIO1,right,Well 222,BIO1_3_20220304
znbm_38,zn,YPAD,BIO1,right,Well 223,BIO1_3_20220304
nibm_12,ni,YPAD,BIO1,right,Well 224,BIO1_3_20220304
cdbm_43,cd,YPAD,BIO1,right,Well 225,BIO1_3_20220304
nibm_22,ni,YPAD,BIO1,right,Well 226,BIO1_3_20220304
znbm_31,zn,YPAD,BIO1,right,Well 227,BIO1_3_20220304
nibm_28,ni,YPAD,BIO1,right,Well 228,BIO1_3_20220304
mnbm_15,mn,YPAD,BIO1,right,Well 229,BIO1_3_20220304
cdbm_40,cd,YPAD,BIO1,right,Well 230,BIO1_3_20220304
cdbm_47,cd,YPAD,BIO1,right,Well 231,BIO1_3_20220304
znbm_12,zn,YPAD,BIO1,right,Well 232,BIO1_3_20220304
cdbm_29,cd,YPAD,BIO1,right,Well 233,BIO1_3_20220304
znbm_7,zn,YPAD,BIO1,right,Well 234,BIO1_3_20220304
mnbm_17,mn,YPAD,BIO1,right,Well 235,BIO1_3_20220304
znbm_38,zn,YPAD,BIO1,right,Well 236,BIO1_3_20220304
znbm_47,zn,YPAD,BIO1,right,Well 237,BIO1_3_20220304
znbm_28,zn,YPAD,BIO1,right,Well 238,BIO1_3_20220304
cubm_15,cu,YPAD,BIO1,right,Well 239,BIO1_3_20220304
cdbm_37,cd,YPAD,BIO1,right,Well 240,BIO1_3_20220304
mnbm_38,mn,YPAD,BIO1,right,Well 241,BIO1_3_20220304
mnbm_32,mn,YPAD,BIO1,right,Well 242,BIO1_3_20220304
cubm_9,cu,YPAD,BIO1,right,Well 243,BIO1_3_20220304
nibm_8,ni,YPAD,BIO1,right,Well 244,BIO1_3_20220304
nibm_11,ni,YPAD,BIO1,right,Well 245,BIO1_3_20220304
ypadOLY077,YPAD,YPAD,BIO1,right,Well 246,BIO1_3_20220304
nibm_8,ni,YPAD,BIO1,right,Well 247,BIO1_3_20220304
cubm_4,cu,YPAD,BIO1,right,Well 248,BIO1_3_20220304
cobm_17,co,YPAD,BIO1,right,Well 249,BIO1_3_20220304
mnbm_24,mn,YPAD,BIO1,right,Well 250,BIO1_3_20220304
znbm_8,zn,YPAD,BIO1,right,Well 251,BIO1_3_20220304
cdbm_23,cd,YPAD,BIO1,right,Well 252,BIO1_3_20220304
mnbm_16,mn,YPAD,BIO1,right,Well 253,BIO1_3_20220304
cobm_2,co,YPAD,BIO1,right,Well 254,BIO1_3_20220304
nibm_24,ni,YPAD,BIO1,right,Well 255,BIO1_3_20220304
cobm_14,co,YPAD,BIO1,right,Well 256,BIO1_3_20220304
mnbm_21,mn,YPAD,BIO1,right,Well 257,BIO1_3_20220304
znbm_11,zn,YPAD,BIO1,right,Well 258,BIO1_3_20220304
mnbm_31,mn,YPAD,BIO1,right,Well 259,BIO1_3_20220304
cobm_15,co,YPAD,BIO1,right,Well 260,BIO1_3_20220304
znbm_43,zn,YPAD,BIO1,right,Well 261,BIO1_3_20220304
znbm_46,zn,YPAD,BIO1,right,Well 262,BIO1_3_20220304
cobm_8,co,YPAD,BIO1,right,Well 263,BIO1_3_20220304
nibm_27,ni,YPAD,BIO1,right,Well 264,BIO1_3_20220304
mnbm_28,mn,YPAD,BIO1,right,Well 265,BIO1_3_20220304
mnbm_18,mn,YPAD,BIO1,right,Well 266,BIO1_3_20220304
nibm_4,ni,YPAD,BIO1,right,Well 267,BIO1_3_20220304
mnbm_25,mn,YPAD,BIO1,right,Well 268,BIO1_3_20220304
cobm_17,co,YPAD,BIO1,right,Well 269,BIO1_3_20220304
mnbm_14,mn,YPAD,BIO1,right,Well 270,BIO1_3_20220304
nibm_17,ni,YPAD,BIO1,right,Well 271,BIO1_3_20220304
mnbm_18,mn,YPAD,BIO1,right,Well 272,BIO1_3_20220304
mnbm_38,mn,YPAD,BIO1,right,Well 273,BIO1_3_20220304
ypadOLY077,YPAD,YPAD,BIO1,right,Well 274,BIO1_3_20220304
mnbm_12,mn,YPAD,BIO1,right,Well 275,BIO1_3_20220304
mnbm_25,mn,YPAD,BIO1,right,Well 276,BIO1_3_20220304
mnbm_39,mn,YPAD,BIO1,right,Well 277,BIO1_3_20220304
cdbm_28,cd,YPAD,BIO1,right,Well 278,BIO1_3_20220304
mnbm_38,mn,YPAD,BIO1,right,Well 279,BIO1_3_20220304
cubm_18,cu,YPAD,BIO1,right,Well 280,BIO1_3_20220304
znbm_41,zn,YPAD,BIO1,right,Well 281,BIO1_3_20220304
cobm_7,co,YPAD,BIO1,right,Well 282,BIO1_3_20220304
znbm_34,zn,YPAD,BIO1,right,Well 283,BIO1_3_20220304
cdbm_30,cd,YPAD,BIO1,right,Well 284,BIO1_3_20220304
cubm_8,cu,YPAD,BIO1,right,Well 285,BIO1_3_20220304
mnbm_38,mn,YPAD,BIO1,right,Well 286,BIO1_3_20220304
znbm_9,zn,YPAD,BIO1,right,Well 287,BIO1_3_20220304
cobm_6,co,YPAD,BIO1,right,Well 288,BIO1_3_20220304
znbm_15,zn,YPAD,BIO1,right,Well 289,BIO1_3_20220304
nibm_14,ni,YPAD,BIO1,right,Well 290,BIO1_3_20220304
nibm_27,ni,YPAD,BIO1,right,Well 291,BIO1_3_20220304
cdbm_37,cd,YPAD,BIO1,right,Well 292,BIO1_3_20220304
nibm_22,ni,YPAD,BIO1,right,Well 293,BIO1_3_20220304
mnbm_44,mn,YPAD,BIO1,right,Well 294,BIO1_3_20220304
cobm_3,co,YPAD,BIO1,right,Well 295,BIO1_3_20220304
cobm_6,co,YPAD,BIO1,right,Well 296,BIO1_3_20220304
cdbm_39,cd,YPAD,BIO1,right,Well 297,BIO1_3_20220304
cdbm_26,cd,YPAD,BIO1,right,Well 298,BIO1_3_20220304
mnbm_15,mn,YPAD,BIO1,right,Well 299,BIO1_3_20220304
cdbm_45,cd,YPAD,BIO1,right,Well 300,BIO1_3_20220304
