PROCESS	Ref_num	List_num	expected	upload_1 (over/under)	upload_1 (fold Enrichment)	pval	FDR
ESCRT complex assembly (GO:1904895)	2	1	0.07	+	14.43	6.81E-02	8.56E-01
positive regulation of phosphatidylserine biosynthetic process (GO:1900470)	2	1	0.07	+	14.43	6.81E-02	8.53E-01
regulation of phosphatidylserine biosynthetic process (GO:1900468)	2	1	0.07	+	14.43	6.81E-02	8.51E-01
L-asparagine metabolic process (GO:0070982)	2	1	0.07	+	14.43	6.81E-02	8.49E-01
L-asparagine biosynthetic process (GO:0070981)	2	1	0.07	+	14.43	6.81E-02	8.47E-01
DNA replication proofreading (GO:0045004)	2	1	0.07	+	14.43	6.81E-02	8.44E-01
"base-excision repair, gap-filling (GO:0006287)"	2	1	0.07	+	14.43	6.81E-02	8.42E-01
oligopeptide export from mitochondrion (GO:0090374)	2	1	0.07	+	14.43	6.81E-02	8.40E-01
positive regulation of endoplasmic reticulum unfolded protein response (GO:1900103)	2	1	0.07	+	14.43	6.81E-02	8.38E-01
protein localization to actin cortical patch (GO:0044379)	2	1	0.07	+	14.43	6.81E-02	8.36E-01
positive regulation of ubiquitin-dependent endocytosis (GO:2000397)	2	1	0.07	+	14.43	6.81E-02	8.33E-01
regulation of ubiquitin-dependent endocytosis (GO:2000395)	2	1	0.07	+	14.43	6.81E-02	8.31E-01
nuclear polyadenylation-dependent antisense transcript catabolic process (GO:0071040)	2	1	0.07	+	14.43	6.81E-02	8.29E-01
negative regulation of inositol biosynthetic process (GO:1900089)	2	1	0.07	+	14.43	6.81E-02	8.27E-01
ethanol catabolic process (GO:0006068)	2	1	0.07	+	14.43	6.81E-02	8.25E-01
D-ribose metabolic process (GO:0006014)	2	1	0.07	+	14.43	6.81E-02	8.23E-01
vesicle transport along actin filament (GO:0030050)	2	1	0.07	+	14.43	6.81E-02	8.21E-01
negative regulation of protein kinase C signaling (GO:0090038)	2	1	0.07	+	14.43	6.81E-02	8.19E-01
positive regulation of IRE1-mediated unfolded protein response (GO:1903896)	2	1	0.07	+	14.43	6.81E-02	8.16E-01
regulation of establishment of cell polarity (GO:2000114)	2	1	0.07	+	14.43	6.81E-02	8.14E-01
serine import across plasma membrane (GO:0098718)	2	1	0.07	+	14.43	6.81E-02	8.12E-01
CAAX-box protein maturation (GO:0080120)	2	1	0.07	+	14.43	6.81E-02	8.10E-01
positive regulation of response to endoplasmic reticulum stress (GO:1905898)	2	1	0.07	+	14.43	6.81E-02	8.08E-01
beta-alanine biosynthetic process (GO:0019483)	2	1	0.07	+	14.43	6.81E-02	8.06E-01
beta-alanine metabolic process (GO:0019482)	2	1	0.07	+	14.43	6.81E-02	8.04E-01
ceramide translocation (GO:0099040)	2	1	0.07	+	14.43	6.81E-02	8.02E-01
sphingolipid translocation (GO:0099039)	2	1	0.07	+	14.43	6.81E-02	8.00E-01
cellular response to L-arginine (GO:1903577)	2	1	0.07	+	14.43	6.81E-02	7.98E-01
response to L-arginine (GO:1903576)	2	1	0.07	+	14.43	6.81E-02	7.96E-01
transcription elongation-coupled chromatin remodeling (GO:0140673)	5	2	0.17	+	11.54	1.12E-02	5.20E-01
polyphosphate biosynthetic process (GO:0006799)	5	2	0.17	+	11.54	1.12E-02	5.15E-01
regulation of beta-glucan biosynthetic process (GO:0032951)	5	2	0.17	+	11.54	1.12E-02	5.10E-01
regulation of beta-glucan metabolic process (GO:0032950)	5	2	0.17	+	11.54	1.12E-02	5.05E-01
putrescine transport (GO:0015847)	5	2	0.17	+	11.54	1.12E-02	5.00E-01
negative regulation of Ras protein signal transduction (GO:0046580)	5	2	0.17	+	11.54	1.12E-02	4.96E-01
trehalose metabolism in response to stress (GO:0070413)	5	2	0.17	+	11.54	1.12E-02	4.91E-01
cyanamide metabolic process (GO:0018890)	3	1	0.1	+	9.62	1.00E-01	9.60E-01
response to anoxia (GO:0034059)	3	1	0.1	+	9.62	1.00E-01	9.58E-01
export from the mitochondrion (GO:0170037)	3	1	0.1	+	9.62	1.00E-01	9.56E-01
positive regulation of mitotic actomyosin contractile ring contraction (GO:1903473)	3	1	0.1	+	9.62	1.00E-01	9.54E-01
negative regulation of signal transduction involved in conjugation with cellular fusion (GO:0060240)	3	1	0.1	+	9.62	1.00E-01	9.52E-01
protein-tetrapyrrole linkage (GO:0017006)	3	1	0.1	+	9.62	1.00E-01	9.50E-01
protein-heme linkage (GO:0017003)	3	1	0.1	+	9.62	1.00E-01	9.48E-01
NADP biosynthetic process (GO:0006741)	3	1	0.1	+	9.62	1.00E-01	9.46E-01
positive regulation of monoatomic ion transport (GO:0043270)	3	1	0.1	+	9.62	1.00E-01	9.44E-01
regulation of antisense RNA transcription (GO:0060194)	6	2	0.21	+	9.62	1.64E-02	5.93E-01
amine catabolic process (GO:0009310)	3	1	0.1	+	9.62	1.00E-01	9.42E-01
metaphase/anaphase transition of mitotic cell cycle (GO:0007091)	3	1	0.1	+	9.62	1.00E-01	9.40E-01
ubiquitin-dependent protein catabolic process via the N-end rule pathway (GO:0071596)	3	1	0.1	+	9.62	1.00E-01	9.39E-01
polyamine catabolic process (GO:0006598)	3	1	0.1	+	9.62	1.00E-01	9.37E-01
asparagine biosynthetic process (GO:0006529)	3	1	0.1	+	9.62	1.00E-01	9.35E-01
cytosine transport (GO:0015856)	3	1	0.1	+	9.62	1.00E-01	9.33E-01
phenylalanine transport (GO:0015823)	3	1	0.1	+	9.62	1.00E-01	9.31E-01
metaphase/anaphase transition of cell cycle (GO:0044784)	3	1	0.1	+	9.62	1.00E-01	9.29E-01
protein localization to actin cytoskeleton (GO:1903119)	3	1	0.1	+	9.62	1.00E-01	9.28E-01
p38MAPK cascade (GO:0038066)	6	2	0.21	+	9.62	1.64E-02	5.88E-01
free ubiquitin chain depolymerization (GO:0010995)	3	1	0.1	+	9.62	1.00E-01	9.26E-01
cellular response to anoxia (GO:0071454)	3	1	0.1	+	9.62	1.00E-01	9.24E-01
negative regulation of reciprocal meiotic recombination (GO:0045128)	3	1	0.1	+	9.62	1.00E-01	9.22E-01
positive regulation of RNA binding (GO:1905216)	3	1	0.1	+	9.62	1.00E-01	9.20E-01
regulation of RNA binding (GO:1905214)	3	1	0.1	+	9.62	1.00E-01	9.19E-01
cellular biogenic amine catabolic process (GO:0042402)	3	1	0.1	+	9.62	1.00E-01	9.17E-01
positive regulation of cellular response to drug (GO:2001040)	3	1	0.1	+	9.62	1.00E-01	9.15E-01
regulation of cellular response to drug (GO:2001038)	3	1	0.1	+	9.62	1.00E-01	9.13E-01
positive regulation of response to drug (GO:2001025)	3	1	0.1	+	9.62	1.00E-01	9.11E-01
regulation of response to drug (GO:2001023)	3	1	0.1	+	9.62	1.00E-01	9.10E-01
"nucleotide-excision repair, DNA gap filling (GO:0006297)"	3	1	0.1	+	9.62	1.00E-01	9.08E-01
"DNA replication, synthesis of primer (GO:0006269)"	3	1	0.1	+	9.62	1.00E-01	9.06E-01
vesicle cytoskeletal trafficking (GO:0099518)	3	1	0.1	+	9.62	1.00E-01	9.05E-01
actin filament-based transport (GO:0099515)	3	1	0.1	+	9.62	1.00E-01	9.03E-01
"fatty acid elongation, polyunsaturated fatty acid (GO:0034626)"	3	1	0.1	+	9.62	1.00E-01	9.01E-01
"fatty acid elongation, monounsaturated fatty acid (GO:0034625)"	3	1	0.1	+	9.62	1.00E-01	8.99E-01
"positive regulation of cytokinesis, actomyosin contractile ring assembly (GO:2000433)"	6	2	0.21	+	9.62	1.64E-02	5.84E-01
nitrogen catabolite repression of transcription (GO:0090295)	3	1	0.1	+	9.62	1.00E-01	8.98E-01
histone mRNA metabolic process (GO:0008334)	3	1	0.1	+	9.62	1.00E-01	8.96E-01
regulation of fatty acid beta-oxidation (GO:0031998)	3	1	0.1	+	9.62	1.00E-01	8.94E-01
"negative regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900152)"	3	1	0.1	+	9.62	1.00E-01	8.93E-01
isocitrate metabolic process (GO:0006102)	6	2	0.21	+	9.62	1.64E-02	5.79E-01
serine transport (GO:0032329)	6	2	0.21	+	9.62	1.64E-02	5.75E-01
cytochrome c-heme linkage (GO:0018063)	3	1	0.1	+	9.62	1.00E-01	8.91E-01
histone mRNA catabolic process (GO:0071044)	3	1	0.1	+	9.62	1.00E-01	8.89E-01
regulation of inositol biosynthetic process (GO:1900088)	3	1	0.1	+	9.62	1.00E-01	8.88E-01
mitotic cell cycle G1 arrest in response to pheromone (GO:0000751)	3	1	0.1	+	9.62	1.00E-01	8.86E-01
"nucleotide-excision repair, DNA damage recognition (GO:0000715)"	3	1	0.1	+	9.62	1.00E-01	8.84E-01
basic amino acid transmembrane export from vacuole (GO:0034488)	3	1	0.1	+	9.62	1.00E-01	8.83E-01
vacuolar amino acid transmembrane transport (GO:0034487)	3	1	0.1	+	9.62	1.00E-01	8.81E-01
actin filament-based movement (GO:0030048)	3	1	0.1	+	9.62	1.00E-01	8.79E-01
regulation of ribosomal subunit export from nucleus (GO:2000200)	3	1	0.1	+	9.62	1.00E-01	8.78E-01
positive regulation of transcription by RNA polymerase III (GO:0045945)	3	1	0.1	+	9.62	1.00E-01	8.76E-01
regulation of IRE1-mediated unfolded protein response (GO:1903894)	3	1	0.1	+	9.62	1.00E-01	8.74E-01
negative regulation of pheromone-dependent signal transduction involved in conjugation with cellular fusion (GO:0090029)	3	1	0.1	+	9.62	1.00E-01	8.73E-01
nitrile metabolic process (GO:0050898)	3	1	0.1	+	9.62	1.00E-01	8.71E-01
plasma membrane selenite transport (GO:0097080)	3	1	0.1	+	9.62	1.00E-01	8.70E-01
positive regulation of fatty acid oxidation (GO:0046321)	3	1	0.1	+	9.62	1.00E-01	8.68E-01
regulation of fatty acid oxidation (GO:0046320)	3	1	0.1	+	9.62	1.00E-01	8.66E-01
primary alcohol catabolic process (GO:0034310)	3	1	0.1	+	9.62	1.00E-01	8.65E-01
potassium ion import across plasma membrane (GO:1990573)	3	1	0.1	+	9.62	1.00E-01	8.63E-01
proton export across plasma membrane (GO:0120029)	3	1	0.1	+	9.62	1.00E-01	8.62E-01
positive regulation of fatty acid beta-oxidation (GO:0032000)	3	1	0.1	+	9.62	1.00E-01	8.60E-01
positive regulation of mRNA processing (GO:0050685)	3	1	0.1	+	9.62	1.00E-01	8.59E-01
protein-RNA complex remodeling (GO:0110136)	3	1	0.1	+	9.62	1.00E-01	8.57E-01
mRNA 5'-splice site recognition (GO:0000395)	6	2	0.21	+	9.62	1.64E-02	5.71E-01
mRNA 3'-splice site recognition (GO:0000389)	3	1	0.1	+	9.62	1.00E-01	8.55E-01
secondary cell septum biogenesis (GO:1990344)	3	1	0.1	+	9.62	1.00E-01	8.54E-01
"fatty acid elongation, unsaturated fatty acid (GO:0019368)"	3	1	0.1	+	9.62	1.00E-01	8.52E-01
"fatty acid elongation, saturated fatty acid (GO:0019367)"	3	1	0.1	+	9.62	1.00E-01	8.51E-01
positive regulation of mitotic actomyosin contractile ring assembly (GO:1903501)	6	2	0.21	+	9.62	1.64E-02	5.66E-01
positive regulation of mitotic cytokinesis (GO:1903490)	10	3	0.35	+	8.66	4.11E-03	3.34E-01
positive regulation of mitotic cytokinetic process (GO:1903438)	10	3	0.35	+	8.66	4.11E-03	3.28E-01
regulation of actomyosin structure organization (GO:0110020)	7	2	0.24	+	8.24	2.24E-02	6.71E-01
regulation of mitotic actomyosin contractile ring assembly (GO:1903499)	7	2	0.24	+	8.24	2.24E-02	6.67E-01
cell septum assembly (GO:0090529)	14	4	0.49	+	8.24	1.07E-03	1.52E-01
peroxisome inheritance (GO:0045033)	7	2	0.24	+	8.24	2.24E-02	6.63E-01
cadmium ion transport (GO:0015691)	7	2	0.24	+	8.24	2.24E-02	6.59E-01
peptidyl-threonine modification (GO:0018210)	7	2	0.24	+	8.24	2.24E-02	6.55E-01
division septum assembly (GO:0000917)	14	4	0.49	+	8.24	1.07E-03	1.48E-01
"regulation of cytokinesis, actomyosin contractile ring assembly (GO:2000431)"	7	2	0.24	+	8.24	2.24E-02	6.51E-01
peptidyl-threonine phosphorylation (GO:0018107)	7	2	0.24	+	8.24	2.24E-02	6.47E-01
intralumenal vesicle formation (GO:0070676)	7	2	0.24	+	8.24	2.24E-02	6.43E-01
regulation of Ras protein signal transduction (GO:0046578)	7	2	0.24	+	8.24	2.24E-02	6.39E-01
polyadenylation-dependent mRNA catabolic process (GO:0071047)	7	2	0.24	+	8.24	2.24E-02	6.35E-01
nuclear polyadenylation-dependent mRNA catabolic process (GO:0071042)	7	2	0.24	+	8.24	2.24E-02	6.31E-01
cadmium ion transmembrane transport (GO:0070574)	7	2	0.24	+	8.24	2.24E-02	6.27E-01
regulation of exocytosis (GO:0017157)	7	2	0.24	+	8.24	2.24E-02	6.24E-01
regulation of phosphatidylinositol dephosphorylation (GO:0060304)	7	2	0.24	+	8.24	2.24E-02	6.20E-01
positive regulation of cell division (GO:0051781)	11	3	0.38	+	7.87	5.51E-03	3.87E-01
mRNA splice site recognition (GO:0006376)	11	3	0.38	+	7.87	5.51E-03	3.82E-01
positive regulation of cytokinesis (GO:0032467)	11	3	0.38	+	7.87	5.51E-03	3.76E-01
cytokinetic process (GO:0032506)	37	10	1.28	+	7.8	3.10E-07	7.30E-04
response to glucose (GO:0009749)	12	3	0.42	+	7.21	7.16E-03	4.22E-01
response to hexose (GO:0009746)	12	3	0.42	+	7.21	7.16E-03	4.16E-01
response to monosaccharide (GO:0034284)	12	3	0.42	+	7.21	7.16E-03	4.11E-01
chorismate biosynthetic process (GO:0009423)	4	1	0.14	+	7.21	1.32E-01	9.89E-01
regulation of signal transduction involved in conjugation with cellular fusion (GO:0060238)	4	1	0.14	+	7.21	1.32E-01	9.87E-01
osmosensory signaling via phosphorelay pathway (GO:0007234)	4	1	0.14	+	7.21	1.32E-01	9.86E-01
negative regulation of actin filament depolymerization (GO:0030835)	8	2	0.28	+	7.21	2.92E-02	7.38E-01
negative regulation of alcohol biosynthetic process (GO:1902931)	4	1	0.14	+	7.21	1.32E-01	9.84E-01
stress granule disassembly (GO:0035617)	4	1	0.14	+	7.21	1.32E-01	9.83E-01
L-histidine biosynthetic process (GO:0000105)	8	2	0.28	+	7.21	2.92E-02	7.35E-01
sulfur amino acid transport (GO:0000101)	4	1	0.14	+	7.21	1.32E-01	9.81E-01
negative regulation of meiotic DNA double-strand break formation (GO:1903342)	4	1	0.14	+	7.21	1.32E-01	9.79E-01
long-chain fatty acid biosynthetic process (GO:0042759)	4	1	0.14	+	7.21	1.32E-01	9.78E-01
acyl-CoA biosynthetic process (GO:0071616)	8	2	0.28	+	7.21	2.92E-02	7.31E-01
proline transmembrane transport (GO:0035524)	4	1	0.14	+	7.21	1.32E-01	9.76E-01
L-histidine metabolic process (GO:0006547)	8	2	0.28	+	7.21	2.92E-02	7.27E-01
glutamate biosynthetic process (GO:0006537)	8	2	0.28	+	7.21	2.92E-02	7.23E-01
nucleoside transport (GO:0015858)	4	1	0.14	+	7.21	1.32E-01	9.75E-01
pyrimidine nucleobase transport (GO:0015855)	4	1	0.14	+	7.21	1.32E-01	9.73E-01
L-serine transport (GO:0015825)	4	1	0.14	+	7.21	1.32E-01	9.72E-01
regulation of pheromone-dependent signal transduction involved in conjugation with cellular fusion (GO:0010969)	4	1	0.14	+	7.21	1.32E-01	9.70E-01
intracellular magnesium ion homeostasis (GO:0010961)	4	1	0.14	+	7.21	1.32E-01	9.69E-01
magnesium ion homeostasis (GO:0010960)	4	1	0.14	+	7.21	1.32E-01	9.67E-01
regulation of metal ion transport (GO:0010959)	4	1	0.14	+	7.21	1.32E-01	9.66E-01
manganese ion transmembrane transport (GO:0071421)	8	2	0.28	+	7.21	2.92E-02	7.19E-01
cellular response to methylmercury (GO:0071406)	4	1	0.14	+	7.21	1.32E-01	9.64E-01
thioester biosynthetic process (GO:0035384)	8	2	0.28	+	7.21	2.92E-02	7.15E-01
mannitol transmembrane transport (GO:0015797)	4	1	0.14	+	7.21	1.32E-01	9.63E-01
sorbitol transmembrane transport (GO:0015795)	4	1	0.14	+	7.21	1.32E-01	9.61E-01
positive regulation of RNA splicing (GO:0033120)	4	1	0.14	+	7.21	1.32E-01	9.60E-01
quinolinate metabolic process (GO:0046874)	4	1	0.14	+	7.21	1.32E-01	9.58E-01
positive regulation of ascospore-type prospore membrane formation (GO:1903024)	4	1	0.14	+	7.21	1.32E-01	9.57E-01
regulation of ascospore-type prospore membrane formation (GO:1903023)	4	1	0.14	+	7.21	1.32E-01	9.55E-01
positive regulation of Arp2/3 complex-mediated actin nucleation (GO:2000601)	8	2	0.28	+	7.21	2.92E-02	7.12E-01
protein maturation by copper ion transfer (GO:0015680)	4	1	0.14	+	7.21	1.32E-01	9.54E-01
actin filament capping (GO:0051693)	8	2	0.28	+	7.21	2.92E-02	7.08E-01
chloride transmembrane transport (GO:1902476)	4	1	0.14	+	7.21	1.32E-01	9.52E-01
cellular response to phosphate starvation (GO:0016036)	8	2	0.28	+	7.21	2.92E-02	7.04E-01
positive regulation of transcription from RNA polymerase II promoter by oleic acid (GO:0061429)	4	1	0.14	+	7.21	1.32E-01	9.51E-01
cell-cell adhesion in response to extracellular stimulus (GO:0140039)	4	1	0.14	+	7.21	1.32E-01	9.49E-01
amino acid import across plasma membrane (GO:0089718)	4	1	0.14	+	7.21	1.32E-01	9.48E-01
response to methylmercury (GO:0051597)	4	1	0.14	+	7.21	1.32E-01	9.47E-01
positive regulation of sexual sporulation resulting in formation of a cellular spore (GO:0043941)	4	1	0.14	+	7.21	1.32E-01	9.45E-01
positive regulation of sporulation (GO:0043938)	4	1	0.14	+	7.21	1.32E-01	9.44E-01
positive regulation of cytoplasmic mRNA processing body assembly (GO:0010606)	4	1	0.14	+	7.21	1.32E-01	9.42E-01
protein maturation by [2Fe-2S] cluster transfer (GO:0106034)	4	1	0.14	+	7.21	1.32E-01	9.41E-01
glyoxylate cycle (GO:0006097)	8	2	0.28	+	7.21	2.92E-02	7.01E-01
acetyl-CoA biosynthetic process from pyruvate (GO:0006086)	4	1	0.14	+	7.21	1.32E-01	9.39E-01
tRNA dihydrouridine synthesis (GO:0002943)	4	1	0.14	+	7.21	1.32E-01	9.38E-01
regulation of peroxisome organization (GO:1900063)	4	1	0.14	+	7.21	1.32E-01	9.37E-01
agglutination involved in conjugation with cellular fusion (GO:0000752)	4	1	0.14	+	7.21	1.32E-01	9.35E-01
"fructose 2,6-bisphosphate metabolic process (GO:0006003)"	4	1	0.14	+	7.21	1.32E-01	9.34E-01
positive regulation of lipid catabolic process (GO:0050996)	4	1	0.14	+	7.21	1.32E-01	9.32E-01
regulation of lipid catabolic process (GO:0050994)	4	1	0.14	+	7.21	1.32E-01	9.31E-01
positive regulation of exocytosis (GO:0045921)	4	1	0.14	+	7.21	1.32E-01	9.30E-01
positive regulation of ascospore formation (GO:0075296)	4	1	0.14	+	7.21	1.32E-01	9.28E-01
positive regulation of sporulation resulting in formation of a cellular spore (GO:0045881)	4	1	0.14	+	7.21	1.32E-01	9.27E-01
hexose mediated signaling (GO:0009757)	8	2	0.28	+	7.21	2.92E-02	6.97E-01
carbohydrate mediated signaling (GO:0009756)	8	2	0.28	+	7.21	2.92E-02	6.94E-01
snoRNA splicing (GO:0034247)	4	1	0.14	+	7.21	1.32E-01	9.25E-01
glucose mediated signaling pathway (GO:0010255)	8	2	0.28	+	7.21	2.92E-02	6.90E-01
"endonucleolytic cleavage in ITS1 upstream of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000464)"	4	1	0.14	+	7.21	1.32E-01	9.24E-01
acetate biosynthetic process (GO:0019413)	4	1	0.14	+	7.21	1.32E-01	9.23E-01
imidazole-containing compound metabolic process (GO:0052803)	8	2	0.28	+	7.21	2.92E-02	6.87E-01
Golgi inheritance (GO:0048313)	4	1	0.14	+	7.21	1.32E-01	9.21E-01
sugar mediated signaling pathway (GO:0010182)	8	2	0.28	+	7.21	2.92E-02	6.83E-01
positive regulation of secretion (GO:0051047)	4	1	0.14	+	7.21	1.32E-01	9.20E-01
regulation of secretion (GO:0051046)	8	2	0.28	+	7.21	2.92E-02	6.80E-01
barbed-end actin filament capping (GO:0051016)	8	2	0.28	+	7.21	2.92E-02	6.77E-01
positive regulation of secretion by cell (GO:1903532)	4	1	0.14	+	7.21	1.32E-01	9.19E-01
regulation of secretion by cell (GO:1903530)	8	2	0.28	+	7.21	2.92E-02	6.73E-01
protein polyubiquitination (GO:0000209)	41	10	1.42	+	7.04	8.83E-07	1.39E-03
regulation of mitotic cytokinetic process (GO:1903436)	13	3	0.45	+	6.66	9.07E-03	4.65E-01
response to carbohydrate (GO:0009743)	13	3	0.45	+	6.66	9.07E-03	4.60E-01
manganese ion transport (GO:0006828)	9	2	0.31	+	6.41	3.66E-02	6.47E-01
regulation of actin filament depolymerization (GO:0030834)	9	2	0.31	+	6.41	3.66E-02	6.44E-01
"cytokinesis, division site positioning (GO:0007105)"	9	2	0.31	+	6.41	3.66E-02	6.42E-01
glyoxylate metabolic process (GO:0046487)	9	2	0.31	+	6.41	3.66E-02	6.39E-01
exit from mitosis (GO:0010458)	9	2	0.31	+	6.41	3.66E-02	6.37E-01
cellular bud neck septin ring organization (GO:0032186)	9	2	0.31	+	6.41	3.66E-02	6.35E-01
