"","GENE","COMPONENT_DESC"
"198","SNT2","cytoplasm"
"199","SNT2","protein-DNA complex"
"200","SNT2","Lid2 complex"
"201","SNT2","Snt2C complex"
"202","DOA4","proteasome complex"
"203","DOA4","cytoplasm"
"204","DOA4","mitochondrion"
"205","DOA4","endosome"
"206","DOA4","cytosol"
"207","DOA4","membrane"
"208","DOA4","late endosome membrane"
"209","YOR1","plasma membrane"
"210","YOR1","membrane"
"211","YOR1","cell periphery"
"212","ERG1","endoplasmic reticulum"
"213","ERG1","endoplasmic reticulum membrane"
"214","ERG1","lipid droplet"
"215","ERG1","membrane"
"216","POL3","nucleus"
"217","POL3","replication fork"
"218","POL3","cytosol"
"219","POL3","intracellular membrane-bounded organelle"
"220","POL3","delta DNA polymerase complex"
"221","MYO2","incipient cellular bud site"
"222","MYO2","fungal-type vacuole membrane"
"223","MYO2","cytoplasm"
"224","MYO2","cellular bud tip"
"225","MYO2","cellular bud neck"
"226","MYO2","actin cytoskeleton"
"227","MYO2","membrane"
"228","MYO2","myosin complex"
"229","MYO2","transport vesicle"
"230","MYO2","filamentous actin"
"231","MYO2","vesicle"
"232","MYO2","actin filament bundle"
"233","MYO2","meiotic nuclear membrane microtubule tethering complex"
"234","MYO2","mating projection tip"
"235","MYO2","Myo2p-Vac17p-Vac8p transport complex"
"236","TFG1","nucleus"
"237","TFG1","transcription factor TFIIF complex"
"238","COG1","Golgi membrane"
"239","COG1","Golgi apparatus"
"240","COG1","membrane"
"241","COG1","Golgi transport complex"
"242","HXT13","endoplasmic reticulum"
"243","HXT13","plasma membrane"
"244","HXT13","membrane"
"245","VTC1","fungal-type vacuole membrane"
"246","VTC1","autophagosome membrane"
"247","VTC1","cytoplasm"
"248","VTC1","vacuole"
"249","VTC1","vacuolar membrane"
"250","VTC1","endoplasmic reticulum"
"251","VTC1","endoplasmic reticulum membrane"
"252","VTC1","cell cortex"
"253","VTC1","membrane"
"254","VTC1","cytoplasmic vesicle"
"255","VTC1","nuclear membrane"
"256","VTC1","vacuolar transporter chaperone complex"
"257","HUL5","proteasome complex"
"258","HUL5","nucleus"
"259","HUL5","cytoplasm"
"260","HUL5","cytosol"
"261","PHO23","histone deacetylase complex"
"262","PHO23","chromatin"
"263","PHO23","nucleus"
"264","PHO23","Rpd3L complex"
"265","PHO23","Rpd3L-Expanded complex"
"266","BIR1","kinetochore"
"267","BIR1","nucleus"
"268","BIR1","cytoplasm"
"269","BIR1","mitochondrion"
"270","BIR1","spindle"
"271","BIR1","microtubule"
"272","BIR1","chromosome passenger complex"
"273","BIR1","spindle midzone"
"274","PBS2","cytoplasm"
"275","PBS2","cellular bud tip"
"276","PBS2","cellular bud neck"
"277","PBS2","cytoplasmic stress granule"
"278","SMF1","fungal-type vacuole"
"279","SMF1","plasma membrane"
"280","SMF1","membrane"
"281","RPT5","proteasome complex"
"282","RPT5","nucleus"
"283","RPT5","cytoplasm"
"284","RPT5","proteasome regulatory particle, base subcomplex"
"285","CLN3","cyclin-dependent protein kinase holoenzyme complex"
"286","CLN3","nucleus"
"287","CLN3","cytoplasm"
"288","CLN3","spindle pole body"
"289","SUB2","transcription export complex"
"290","SUB2","chromosome, telomeric region"
"291","SUB2","nucleus"
"292","SUB2","spliceosomal complex"
"293","SUB2","cytoplasm"
"294","FRE6","fungal-type vacuole"
"295","FRE6","fungal-type vacuole membrane"
"296","FRE6","vacuole"
"297","FRE6","vacuolar membrane"
"298","FRE6","plasma membrane"
"299","FRE6","membrane"
"300","VCX1","fungal-type vacuole"
"301","VCX1","fungal-type vacuole membrane"
"302","VCX1","vacuole"
"303","VCX1","vacuolar membrane"
"304","VCX1","membrane"
"305","BLM10","nucleus"
"306","BLM10","cytoplasm"
"307","BLM10","cytosol"
"308","BLM10","proteasome storage granule"
"309","YML018C","fungal-type vacuole membrane"
"310","YML018C","vacuole"
"311","YML018C","vacuolar membrane"
"312","YML018C","membrane"
"313","NFT1","fungal-type vacuole membrane"
"314","NFT1","membrane"
"315","RCO1","histone deacetylase complex"
"316","RCO1","nucleus"
"317","RCO1","Rpd3S complex"
"318","YAP6","nucleus"
"319","SWT1","nucleus"
"320","SWT1","cytoplasm"
"321","SYG1","fungal-type vacuole membrane"
"322","SYG1","cytoplasm"
"323","SYG1","mitochondrion"
"324","SYG1","Golgi apparatus"
"325","SYG1","plasma membrane"
"326","SYG1","membrane"
"327","INP2","cytoplasm"
"328","INP2","peroxisome"
"329","INP2","peroxisomal membrane"
"330","INP2","membrane"
"331","HBT1","cytoplasm"
"332","HBT1","plasma membrane"
"333","HBT1","mating projection"
"334","LRG1","incipient cellular bud site"
"335","LRG1","cytoplasm"
"336","LRG1","mitochondrion"
"337","LRG1","cellular bud"
"338","LRG1","cellular bud tip"
"339","LRG1","cellular bud neck"
"340","LRG1","site of polarized growth"
"341","LRG1","mating projection tip"
"342","CDC25","nucleus"
"343","CDC25","cytoplasm"
"344","CDC25","endoplasmic reticulum membrane"
"345","CDC25","cytosol"
"346","CDC25","plasma membrane"
"347","CDC25","membrane"
"348","ALY2","cytoplasm"
"349","ALY2","early endosome"
"350","ALY2","late endosome"
"351","ALY2","cytosol"
"352","EBS1","chromosome, telomeric region"
"353","EBS1","P-body"
"354","EBS1","nucleus"
"355","EBS1","chromosome"
"356","EBS1","telomerase holoenzyme complex"
"357","EBS1","cytoplasm"
"358","MAM3","fungal-type vacuole membrane"
"359","MAM3","cytoplasm"
"360","MAM3","vacuole"
"361","MAM3","vacuolar membrane"
"362","MAM3","endoplasmic reticulum"
"363","MAM3","membrane"
"364","FIG4","fungal-type vacuole membrane"
"365","FIG4","vacuole"
"366","FIG4","vacuolar membrane"
"367","FIG4","membrane"
"368","FIG4","nuclear periphery"
"369","FIG4","intracellular membrane-bounded organelle"
"370","FIG4","PAS complex"
"371","PHO81","nucleus"
"372","PHO81","cytoplasm"
"373","PHO81","cytosol"
"374","CYK3","cellular bud neck contractile ring"
"375","CYK3","nucleus"
"376","CYK3","cytoplasm"
"377","CYK3","cellular bud neck"
"378","CYK3","HICS complex"
"379","CYK3","mitotic actomyosin contractile ring"
"380","HIS4","nucleus"
"381","HIS4","cytoplasm"
"382","PHR1","nucleus"
"383","PHR1","cytoplasm"
"384","PHR1","mitochondrion"
"385","SAK1","cytoplasm"
"386","SAK1","cytosol"
"387","PMA1","mitochondrion"
"388","PMA1","cytosol"
"389","PMA1","plasma membrane"
"390","PMA1","membrane"
"391","PMA1","eisosome"
"392","PMA1","membrane raft"
"393","BNI1","incipient cellular bud site"
"394","BNI1","polarisome"
"395","BNI1","prospore membrane"
"396","BNI1","cytoplasm"
"397","BNI1","cytosol"
"398","BNI1","cytoskeleton"
"399","BNI1","actin filament"
"400","BNI1","plasma membrane"
"401","BNI1","cellular bud tip"
"402","BNI1","cellular bud neck"
"403","BNI1","cell cortex"
"404","BNI1","actin cytoskeleton"
"405","BNI1","cell division site"
"406","BNI1","cell projection"
"407","BNI1","mating projection tip"
"408","RKM3","nucleus"
"409","RKM3","cytosol"
"410","TRL1","nucleus"
"411","TRL1","nuclear inner membrane"
"412","TRL1","cytoplasm"
"413","VPS74","Golgi membrane"
"414","VPS74","nucleus"
"415","VPS74","cytoplasm"
"416","VPS74","Golgi apparatus"
"417","VPS74","Golgi medial cisterna"
"418","VPS74","trans-Golgi network"
"419","VPS74","cytosol"
"420","VPS74","membrane"
"421","VPS74","Golgi cisterna"
"422","VPS74","Golgi cisterna membrane"
"423","STP3","nucleus"
"424","MSS2","mitochondrion"
"425","MSS2","mitochondrial inner membrane"
"426","MSS2","mitochondrial matrix"
"427","PRP2","intracellular anatomical structure"
"428","PRP2","nucleus"
"429","PRP2","U2-type catalytic step 1 spliceosome"
"430","PRP2","ribonucleoprotein complex"
"431","SSK2","incipient cellular bud site"
"432","SSK2","cytoplasm"
"433","SSK2","cytosol"
"434","SSK2","cellular bud tip"
"435","SSK2","cellular bud neck"
"436","SSK2","cell cortex"
"437","ECM14","fungal-type vacuole"
"438","ECM14","extracellular region"
"439","ECM14","extracellular space"
"440","ECM14","vacuole"
"441","HMF1","nucleus"
"442","HMF1","cytoplasm"
"443","HMF1","mitochondrion"
"444","HMF1","mitochondrial intermembrane space"
"445","HMF1","cytosol"
"446","VPS63","cellular_component"
"447","STE5","nucleus"
"448","STE5","cytoplasm"
"449","STE5","plasma membrane"
"450","STE5","mating projection tip"
"451","STE5","mating projection tip membrane"
"452","PDR1","nucleus"
"453","PDR1","cytosol"
"454","YCT1","endoplasmic reticulum"
"455","YCT1","endoplasmic reticulum membrane"
"456","YCT1","plasma membrane"
"457","YCT1","membrane"
"458","YCT1","cell periphery"
"459","NAM8","commitment complex"
"460","NAM8","nucleus"
"461","NAM8","spliceosomal complex"
"462","NAM8","U1 snRNP"
"463","NAM8","cytoplasm"
"464","NAM8","cytosol"
"465","NAM8","intracellular organelle"
"466","NAM8","U2-type prespliceosome"
"467","PHM7","fungal-type vacuole"
"468","PHM7","endoplasmic reticulum"
"469","PHM7","plasma membrane"
"470","PHM7","membrane"
"471","PYK2","cytoplasm"
"472","PYK2","mitochondrion"
"473","ASN1","cytoplasm"
"474","ASN1","cytosol"
"475","HIR2","HIR complex"
"476","HIR2","chromatin"
"477","HIR2","nucleus"
"478","HIR2","chromosome"
"479","HIR2","cytosol"
"480","GCD2","cytoplasm"
"481","GCD2","cytosol"
"482","GCD2","eukaryotic translation initiation factor 2B complex"
"483","GCD2","guanyl-nucleotide exchange factor complex"
"484","MED6","nucleus"
"485","MED6","mediator complex"
"486","MED6","core mediator complex"
"487","UBP5","incipient cellular bud site"
"488","UBP5","cellular bud neck"
"489","BUL1","ubiquitin ligase complex"
"490","BUL1","cytoplasm"
"491","PRI2","nucleus"
"492","PRI2","nuclear envelope"
"493","PRI2","alpha DNA polymerase:primase complex"
"494","PRI2","primosome complex"
"495","PTK2","nucleus"
"496","PTK2","cytoplasm"
"497","PTK2","plasma membrane"
"498","CYT2","mitochondrion"
"499","CYT2","mitochondrial inner membrane"
"500","CYT2","mitochondrial intermembrane space"
"501","IDH1","mitochondrion"
"502","IDH1","mitochondrial intermembrane space"
"503","IDH1","mitochondrial matrix"
"504","IDH1","cytosol"
"505","IDH1","mitochondrial nucleoid"
"506","IDH1","isocitrate dehydrogenase complex (NAD+)"
"507","PEP12","fungal-type vacuole membrane"
"508","PEP12","cytoplasm"
"509","PEP12","endosome"
"510","PEP12","Golgi apparatus"
"511","PEP12","cytosol"
"512","PEP12","endomembrane system"
"513","PEP12","membrane"
"514","PEP12","SNARE complex"
"515","IDP1","mitochondrion"
"516","IDP1","mitochondrial nucleoid"
"517","KSP1","nucleus"
"518","KSP1","cytoplasm"
"519","KSP1","cytoplasmic stress granule"
"520","ULS1","kinetochore"
"521","ULS1","nucleus"
"522","ULS1","nucleolus"
"523","ULS1","cytoplasm"
"524","ULS1","mitochondrion"
"525","MLS1","cytoplasm"
"526","MLS1","peroxisome"
"527","MLS1","peroxisomal matrix"
"528","MLS1","cytosol"
"529","RCK2","cytoplasm"
"530","PRP8","nucleus"
"531","PRP8","spliceosomal complex"
"532","PRP8","U5 snRNP"
"533","PRP8","U4/U6 x U5 tri-snRNP complex"
"534","PRP8","catalytic step 2 spliceosome"
"535","UBR2","ubiquitin ligase complex"
"536","UBR2","cytoplasm"
"537","UBR2","MUB1-RAD6-UBR2 ubiquitin ligase complex"
"538","SMY2","nucleus"
"539","SMY2","cytoplasm"
"540","SMY2","endoplasmic reticulum membrane"
"541","SMY2","cytosol"
"542","FET4","fungal-type vacuole"
"543","FET4","plasma membrane"
"544","FET4","membrane"
"545","FET4","cell periphery"
"546","TUS1","incipient cellular bud site"
"547","TUS1","cellular bud neck"
"548","ERG9","mitochondrion"
"549","ERG9","mitochondrial outer membrane"
"550","ERG9","endoplasmic reticulum"
"551","ERG9","endoplasmic reticulum membrane"
"552","ERG9","membrane"
"553","FZF1","nucleus"
"554","BUL2","ubiquitin ligase complex"
"555","BUL2","cytoplasm"
"556","SPO20","prospore membrane"
"557","SPO20","nucleus"
"558","SPO20","cytoplasm"
"559","SPO20","plasma membrane"
"560","SPO20","SNARE complex"
"561","IOC4","nucleus"
"562","IOC4","Isw1b complex"
"563","ISU1","cytoplasm"
"564","ISU1","mitochondrion"
"565","ISU1","mitochondrial matrix"
"566","MET30","nucleus"
"567","MET30","cytoplasm"
"568","MET30","SCF ubiquitin ligase complex"
"569","MET30","nuclear SCF ubiquitin ligase complex"
"570","NPL3","nucleus"
"571","NPL3","cytoplasm"
"572","NPL3","cytoplasmic stress granule"
"573","NPL3","ribonucleoprotein complex"
"574","GPB1","cytoplasm"
"575","GPB1","plasma membrane"
"576","ABP140","cytoplasm"
"577","ABP140","cytoskeleton"
"578","ABP140","actin filament"
"579","ABP140","actin filament bundle"
"580","ABP140","mating projection tip"
"581","RPS15","cytoplasm"
"582","RPS15","cytosol"
"583","RPS15","ribosome"
"584","RPS15","small ribosomal subunit"
"585","RPS15","cytosolic small ribosomal subunit"
"586","RPS15","ribonucleoprotein complex"
"587","PDX1","mitochondrion"
"588","PDX1","mitochondrial matrix"
"589","PDX1","pyruvate dehydrogenase complex"
"590","RRP46","nuclear exosome (RNase complex)"
"591","RRP46","cytoplasmic exosome (RNase complex)"
"592","RRP46","exosome (RNase complex)"
"593","RRP46","nucleus"
"594","RRP46","nucleolus"
"595","RRP46","cytoplasm"
"596","SPO11","nuclear chromosome"
"597","SPO11","condensed nuclear chromosome"
"598","SPO11","nucleus"
"599","SPO11","nucleoplasm"
"600","SPO11","chromosome"
"601","SPO11","site of double-strand break"
"602","FKS3","1,3-beta-D-glucan synthase complex"
"603","FKS3","mitochondrion"
"604","FKS3","endoplasmic reticulum"
"605","FKS3","plasma membrane"
"606","FKS3","membrane"
"607","KRE5","endoplasmic reticulum"
"608","KRE5","endoplasmic reticulum lumen"
"609","MET10","cytosol"
"610","MET10","sulfite reductase complex (NADPH)"
"611","RCE1","endoplasmic reticulum"
"612","RCE1","endoplasmic reticulum membrane"
"613","RCE1","membrane"
"614","VTC4","fungal-type vacuole membrane"
"615","VTC4","autophagosome membrane"
"616","VTC4","cytoplasm"
"617","VTC4","vacuole"
"618","VTC4","vacuolar membrane"
"619","VTC4","endoplasmic reticulum"
"620","VTC4","endoplasmic reticulum membrane"
"621","VTC4","cell cortex"
"622","VTC4","membrane"
"623","VTC4","cytoplasmic vesicle"
"624","VTC4","vacuolar transporter chaperone complex"
"625","VTC4","cell periphery"
"626","PLB2","extracellular region"
"627","PLB2","endoplasmic reticulum"
"628","PLB2","cytosol"
"629","PLB2","plasma membrane"
"630","PLB2","fungal-type cell wall"
"631","PLB2","membrane"
"632","PLB2","cell periphery"
"633","PLB2","side of membrane"
"634","ATG2","phagophore assembly site"
"635","ATG2","cytoplasm"
"636","ATG2","endoplasmic reticulum"
"637","ATG2","endoplasmic reticulum membrane"
"638","ATG2","cytosol"
"639","ATG2","membrane"
"640","ATG2","phagophore assembly site membrane"
"641","ATG2","phagophore"
"642","ERG27","mitochondrial outer membrane"
"643","ERG27","endoplasmic reticulum"
"644","ERG27","endoplasmic reticulum membrane"
"645","ERG27","lipid droplet"
"646","ERG27","membrane"
"647","TAF8","nucleus"
"648","TAF8","transcription factor TFIID complex"
"649","RTC2","fungal-type vacuole membrane"
"650","RTC2","mitochondrion"
"651","RTC2","vacuole"
"652","RTC2","vacuolar membrane"
"653","RTC2","membrane"
"654","RTC2","mitochondrial membrane"
"655","CCW12","fungal-type vacuole"
"656","CCW12","extracellular region"
"657","CCW12","cellular bud tip"
"658","CCW12","fungal-type cell wall"
"659","CCW12","membrane"
"660","CCW12","mating projection tip"
"661","CCW12","cell periphery"
"662","CCW12","side of membrane"
"663","DSE4","extracellular region"
"664","DSE4","cellular bud scar"
"665","DSE4","cellular bud neck"
"666","DSE4","fungal-type cell wall"
"667","DSE4","cell surface"
"668","DSE4","cell septum"
"669","DDR48","cytoplasm"
"670","DDR48","cytosol"
"671","ARO3","nucleus"
"672","ARO3","cytoplasm"
"673","ARO3","mitochondrion"
"674","GPB2","cytoplasm"
"675","GPB2","mitochondrion"
"676","GPB2","plasma membrane"
"677","KIN82","cellular_component"
"678","KIN82","nucleus"
"679","KIN82","cytoplasm"
"680","KIN82","plasma membrane"
"681","ROG1","nucleus"
"682","ROG1","cytoplasm"
"683","ABP1","cytoplasm"
"684","ABP1","cytoskeleton"
"685","ABP1","actin filament"
"686","ABP1","cell cortex"
"687","ABP1","site of polarized growth"
"688","ABP1","actin cortical patch"
"689","ABP1","cortical actin cytoskeleton"
"690","ABP1","mating projection tip"
"691","ABP1","cell periphery"
"692","ERB1","nucleus"
"693","ERB1","nucleoplasm"
"694","ERB1","nucleolus"
"695","ERB1","preribosome, large subunit precursor"
"696","ERB1","PeBoW complex"
"697","YLR372W","endoplasmic reticulum"
"698","YLR372W","endoplasmic reticulum membrane"
"699","YLR372W","membrane"
"700","CHC1","cytosol"
"701","CHC1","clathrin-coated pit"
"702","CHC1","clathrin vesicle coat"
"703","CHC1","clathrin coat of trans-Golgi network vesicle"
"704","CHC1","clathrin coat of coated pit"
"705","CHC1","actin cortical patch"
"706","CHC1","cytoplasmic vesicle membrane"
"707","CHC1","cytoplasmic vesicle"
"708","CHC1","clathrin complex"
"709","CHC1","bounding membrane of organelle"
"710","PKP1","mitochondrion"
"711","PKP1","mitochondrial matrix"
"712","TCO89","fungal-type vacuole membrane"
"713","TCO89","vacuole"
"714","TCO89","vacuolar membrane"
"715","TCO89","plasma membrane"
"716","TCO89","TORC1 complex"
"717","ACC1","cytoplasm"
"718","ACC1","mitochondrion"
"719","ACC1","endoplasmic reticulum"
"720","ACC1","endoplasmic reticulum membrane"
"721","ACC1","cytosol"
"722","ACC1","membrane"
"723","SHP1","nucleus"
"724","SHP1","cytoplasm"
"725","SHP1","cytosol"
"726","NUG1","nucleus"
"727","NUG1","nucleolus"
"728","NUG1","preribosome, large subunit precursor"
"729","EFR3","mitochondrion"
"730","EFR3","plasma membrane"
"731","EFR3","cell periphery"
"732","SSQ1","cytoplasm"
"733","SSQ1","mitochondrion"
"734","SSQ1","mitochondrial matrix"
"735","ILV2","mitochondrion"
"736","ILV2","acetolactate synthase complex"
"737","TOM1","nucleus"
"738","TOM1","nucleolus"
"739","TOM1","cytoplasm"
"740","KIN1","cytoplasm"
"741","KIN1","plasma membrane"
"742","KIN1","cytoplasmic side of plasma membrane"
"743","PPQ1","nucleus"
"744","PPQ1","cytoplasm"
"745","IST2","plasma membrane"
"746","IST2","cortical endoplasmic reticulum"
"747","IST2","cellular bud membrane"
"748","IST2","cell periphery"
"749","KTR3","fungal-type vacuole"
"750","KTR3","fungal-type vacuole membrane"
"751","KTR3","nucleus"
"752","KTR3","cytoplasm"
"753","KTR3","Golgi apparatus"
"754","KTR3","membrane"
"755","RRP5","nucleus"
"756","RRP5","nucleoplasm"
"757","RRP5","nucleolus"
"758","RRP5","90S preribosome"
"759","RRP5","small-subunit processome"
"760","RRP5","ribonucleoprotein complex"
"761","CSM3","nucleus"
"762","CSM3","cytoplasm"
"763","CSM3","replication fork protection complex"
"764","ALD5","cytoplasm"
"765","MPA43","cytoplasm"
"766","MPA43","mitochondrion"
"767","TGL5","lipid droplet"
"768","RHO1","incipient cellular bud site"
"769","RHO1","1,3-beta-D-glucan synthase complex"
"770","RHO1","fungal-type vacuole membrane"
"771","RHO1","mitochondrion"
"772","RHO1","mitochondrial outer membrane"
"773","RHO1","endosome"
"774","RHO1","peroxisome"
"775","RHO1","peroxisomal membrane"
"776","RHO1","endoplasmic reticulum"
"777","RHO1","Golgi apparatus"
"778","RHO1","cytosol"
"779","RHO1","plasma membrane"
"780","RHO1","cellular bud"
"781","RHO1","cellular bud tip"
"782","RHO1","cellular bud neck"
"783","RHO1","endosome membrane"
"784","RHO1","mating projection tip"
"785","RHO1","cell periphery"
"786","SET2","chromatin"
"787","SET2","nucleus"
"788","SET2","chromosome"
"789","SET2","cytosol"
"790","SMC2","chromatin"
"791","SMC2","condensed chromosome"
"792","SMC2","condensin complex"
"793","SMC2","nucleus"
"794","SMC2","chromosome"
"795","SMC2","cytoplasm"
"796","SMC2","mitochondrion"
"797","FYV10","nucleus"
"798","FYV10","cytoplasm"
"799","FYV10","GID complex"
"800","DBF20","cytoplasm"
"801","DBF20","microtubule organizing center"
"802","DBF20","spindle pole body"
"803","DBF20","cellular bud neck"
"804","HSP104","nucleus"
"805","HSP104","cytoplasm"
"806","HSP104","cytosol"
"807","HSP104","nuclear periphery"
"808","HSP104","TRC complex"
"809","PET127","mitochondrion"
"810","PET127","mitochondrial envelope"
"811","KAR3","spindle pole"
"812","KAR3","nucleus"
"813","KAR3","chromosome"
"814","KAR3","cytoplasm"
"815","KAR3","spindle pole body"
"816","KAR3","spindle"
"817","KAR3","cytoskeleton"
"818","KAR3","microtubule"
"819","KAR3","cytoplasmic microtubule"
"820","PBP2","nucleus"
"821","PBP2","cytoplasm"
"822","PBP2","ribonucleoprotein complex"
"823","YHC1","commitment complex"
"824","YHC1","nucleus"
"825","YHC1","U1 snRNP"
"826","YHC1","U2-type prespliceosome"
"827","YHC1","ribonucleoprotein complex"
