FUNCTION	Ref_num	List_num	expected	over under	foldEnrichment	pval	FDR
phosphoribosyl-AMP cyclohydrolase activity (GO:0004635)	1	1	.03	+	28.72	3.48E-02	9.99E-01
3-keto sterol reductase activity (GO:0000253)	1	1	.03	+	28.72	3.48E-02	9.88E-01
gamma-aminobutyric acid:proton symporter activity (GO:0015495)	1	1	.03	+	28.72	3.48E-02	9.77E-01
polyphosphate kinase activity (GO:0008976)	1	1	.03	+	28.72	3.48E-02	9.66E-01
histone H3K36 trimethyltransferase activity (GO:0140955)	1	1	.03	+	28.72	3.48E-02	9.56E-01
box C/D sno(s)RNA binding (GO:0034512)	1	1	.03	+	28.72	3.48E-02	9.46E-01
nicotinate-nucleotide diphosphorylase (carboxylating) activity (GO:0004514)	1	1	.03	+	28.72	3.48E-02	9.36E-01
squalene monooxygenase activity (GO:0004506)	1	1	.03	+	28.72	3.48E-02	9.26E-01
heptaprenyl diphosphate synthase activity (GO:0000010)	1	1	.03	+	28.72	3.48E-02	9.17E-01
UDP-glucose:glycoprotein glucosyltransferase activity (GO:0003980)	1	1	.03	+	28.72	3.48E-02	9.08E-01
telomeric repeat-containing RNA binding (GO:0061752)	1	1	.03	+	28.72	3.48E-02	8.99E-01
RNA ligase (ATP) activity (GO:0003972)	1	1	.03	+	28.72	3.48E-02	8.90E-01
squalene synthase activity (GO:0051996)	1	1	.03	+	28.72	3.48E-02	8.81E-01
1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity (GO:0003949)	1	1	.03	+	28.72	3.48E-02	8.72E-01
DNA photolyase activity (GO:0003913)	1	1	.03	+	28.72	3.48E-02	8.64E-01
deoxyribodipyrimidine photo-lyase activity (GO:0003904)	1	1	.03	+	28.72	3.48E-02	8.56E-01
histidinol dehydrogenase activity (GO:0004399)	1	1	.03	+	28.72	3.48E-02	8.48E-01
cytidine transmembrane transporter activity (GO:0015212)	1	1	.03	+	28.72	3.48E-02	8.40E-01
cAMP-dependent protein kinase regulator activity (GO:0008603)	3	2	.10	+	19.15	3.54E-03	2.54E-01
cAMP-dependent protein kinase inhibitor activity (GO:0004862)	3	2	.10	+	19.15	3.54E-03	2.47E-01
TFIIB-class transcription factor binding (GO:0001093)	2	1	.07	+	14.36	6.84E-02	1.00E00
[acyl-carrier-protein] S-malonyltransferase activity (GO:0004314)	2	1	.07	+	14.36	6.84E-02	1.00E00
farnesyltranstransferase activity (GO:0004311)	2	1	.07	+	14.36	6.84E-02	1.00E00
G-protein beta-subunit binding (GO:0031681)	4	2	.14	+	14.36	6.91E-03	4.46E-01
3-deoxy-7-phosphoheptulonate synthase activity (GO:0003849)	2	1	.07	+	14.36	6.84E-02	1.00E00
clathrin light chain binding (GO:0032051)	2	1	.07	+	14.36	6.84E-02	1.00E00
glucan endo-1,4-beta-glucanase activity, C-3 substituted reducing group (GO:0052862)	2	1	.07	+	14.36	6.84E-02	1.00E00
glucan endo-1,3-beta-glucanase activity, C-3 substituted reducing group (GO:0052861)	2	1	.07	+	14.36	6.84E-02	1.00E00
inositol-5-diphosphate-1,2,3,4,6-pentakisphosphate diphosphatase activity (GO:0052845)	2	1	.07	+	14.36	6.84E-02	1.00E00
inositol diphosphate pentakisphosphate diphosphatase activity (GO:0052842)	2	1	.07	+	14.36	6.84E-02	1.00E00
inositol diphosphate tetrakisphosphate diphosphatase activity (GO:0052840)	2	1	.07	+	14.36	6.84E-02	1.00E00
P-type proton-exporting transporter activity (GO:0008553)	2	1	.07	+	14.36	6.84E-02	1.00E00
2',3'-cyclic-nucleotide 3'-phosphodiesterase activity (GO:0004113)	2	1	.07	+	14.36	6.84E-02	1.00E00
sulfite reductase (NADPH) activity (GO:0004783)	2	1	.07	+	14.36	6.84E-02	1.00E00
pyruvate kinase activity (GO:0004743)	2	1	.07	+	14.36	6.84E-02	1.00E00
dihydrolipoyllysine-residue acetyltransferase activity (GO:0004742)	2	1	.07	+	14.36	6.84E-02	1.00E00
pyruvate dehydrogenase (acetyl-transferring) kinase activity (GO:0004740)	2	1	.07	+	14.36	6.84E-02	1.00E00
alkali metal ion binding (GO:0031420)	2	1	.07	+	14.36	6.84E-02	1.00E00
beta-glucanase activity (GO:0052736)	2	1	.07	+	14.36	6.84E-02	1.00E00
potassium ion binding (GO:0030955)	2	1	.07	+	14.36	6.84E-02	1.00E00
sulfite reductase activity (GO:0016002)	2	1	.07	+	14.36	6.84E-02	1.00E00
biotin carboxylase activity (GO:0004075)	2	1	.07	+	14.36	6.84E-02	1.00E00
sphingolipid transporter activity (GO:0046624)	2	1	.07	+	14.36	6.84E-02	1.00E00
glycosylceramide flippase activity (GO:0140351)	2	1	.07	+	14.36	6.84E-02	1.00E00
inositol hexakisphosphate binding (GO:0000822)	4	2	.14	+	14.36	6.91E-03	4.35E-01
ABC-type cadmium transporter activity (GO:0015434)	2	1	.07	+	14.36	6.84E-02	1.00E00
ABC-type glutathione S-conjugate transporter activity (GO:0015431)	2	1	.07	+	14.36	6.84E-02	1.00E00
D-ribulokinase activity (GO:0019150)	2	1	.07	+	14.36	6.84E-02	1.00E00
calcium:proton antiporter activity (GO:0015369)	2	1	.07	+	14.36	6.84E-02	1.00E00
calcium:monoatomic cation antiporter activity (GO:0015368)	2	1	.07	+	14.36	6.84E-02	1.00E00
secondary active monocarboxylate transmembrane transporter activity (GO:0015355)	2	1	.07	+	14.36	6.84E-02	1.00E00
malonyltransferase activity (GO:0016420)	2	1	.07	+	14.36	6.84E-02	1.00E00
S-malonyltransferase activity (GO:0016419)	2	1	.07	+	14.36	6.84E-02	1.00E00
ubiquitin-ubiquitin ligase activity (GO:0034450)	6	3	.21	+	14.36	7.70E-04	7.95E-02
malate synthase activity (GO:0004474)	2	1	.07	+	14.36	6.84E-02	1.00E00
profilin binding (GO:0005522)	2	1	.07	+	14.36	6.84E-02	1.00E00
holocytochrome-c synthase activity (GO:0004408)	2	1	.07	+	14.36	6.84E-02	1.00E00
selenite:proton symporter activity (GO:0097079)	2	1	.07	+	14.36	6.84E-02	1.00E00
acetyl-CoA carboxylase activity (GO:0003989)	2	1	.07	+	14.36	6.84E-02	1.00E00
acetolactate synthase activity (GO:0003984)	2	1	.07	+	14.36	6.84E-02	1.00E00
DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity (GO:0003918)	2	1	.07	+	14.36	6.84E-02	1.00E00
high-affinity potassium ion transmembrane transporter activity (GO:0140107)	2	1	.07	+	14.36	6.84E-02	1.00E00
pyrimidine nucleoside transmembrane transporter activity (GO:0015214)	2	1	.07	+	14.36	6.84E-02	1.00E00
ribonuclease P RNA binding (GO:0033204)	3	1	.10	+	9.57	1.01E-01	1.00E00
RNA polymerase II sequence-specific DNA-binding transcription factor recruiting activity (GO:0001010)	3	1	.10	+	9.57	1.01E-01	1.00E00
DNA primase activity (GO:0003896)	3	1	.10	+	9.57	1.01E-01	1.00E00
phosphatidylcholine floppase activity (GO:0090554)	3	1	.10	+	9.57	1.01E-01	1.00E00
1,3-beta-D-glucan synthase activity (GO:0003843)	3	1	.10	+	9.57	1.01E-01	1.00E00
ligase activity, forming phosphoric ester bonds (GO:0016886)	3	1	.10	+	9.57	1.01E-01	1.00E00
ADP binding (GO:0043531)	3	1	.10	+	9.57	1.01E-01	1.00E00
polynucleotide 5'-hydroxyl-kinase activity (GO:0051731)	3	1	.10	+	9.57	1.01E-01	1.00E00
DNA end binding (GO:0045027)	3	1	.10	+	9.57	1.01E-01	1.00E00
chloride channel activity (GO:0005254)	3	1	.10	+	9.57	1.01E-01	1.00E00
minor groove of adenine-thymine-rich DNA binding (GO:0003680)	3	1	.10	+	9.57	1.01E-01	1.00E00
asparagine synthase (glutamine-hydrolyzing) activity (GO:0004066)	3	1	.10	+	9.57	1.01E-01	1.00E00
MAP-kinase scaffold activity (GO:0005078)	6	2	.21	+	9.57	1.65E-02	8.03E-01
putrescine transmembrane transporter activity (GO:0015489)	3	1	.10	+	9.57	1.01E-01	1.00E00
ABC-type oligopeptide transporter activity (GO:0015421)	3	1	.10	+	9.57	1.01E-01	1.00E00
box H/ACA snoRNA binding (GO:0034513)	3	1	.10	+	9.57	1.01E-01	1.00E00
glyceraldehyde-3-phosphate dehydrogenase (NAD+) (non-phosphorylating) activity (GO:0043878)	3	1	.10	+	9.57	1.01E-01	1.00E00
pre-mRNA intronic binding (GO:0097157)	3	1	.10	+	9.57	1.01E-01	1.00E00
NADH kinase activity (GO:0042736)	3	1	.10	+	9.57	1.01E-01	1.00E00
alcohol binding (GO:0043178)	6	2	.21	+	9.57	1.65E-02	7.89E-01
tRNA (cytidine) methyltransferase activity (GO:0016427)	3	1	.10	+	9.57	1.01E-01	1.00E00
CoA carboxylase activity (GO:0016421)	3	1	.10	+	9.57	1.01E-01	1.00E00
S-acetyltransferase activity (GO:0016418)	3	1	.10	+	9.57	1.01E-01	1.00E00
fatty acid elongase activity (GO:0009922)	3	1	.10	+	9.57	1.01E-01	1.00E00
isocitrate dehydrogenase (NADP+) activity (GO:0004450)	3	1	.10	+	9.57	1.01E-01	1.00E00
isocitrate dehydrogenase (NAD+) activity (GO:0004449)	3	1	.10	+	9.57	1.01E-01	1.00E00
isocitrate dehydrogenase [NAD(P)+] activity (GO:0004448)	6	2	.21	+	9.57	1.65E-02	7.74E-01
NAD+ kinase activity (GO:0003951)	3	1	.10	+	9.57	1.01E-01	1.00E00
cadmium ion transmembrane transporter activity (GO:0015086)	7	2	.24	+	8.21	2.26E-02	9.40E-01
U1 snRNA binding (GO:0030619)	7	2	.24	+	8.21	2.26E-02	9.25E-01
protein serine/threonine/tyrosine kinase activity (GO:0004712)	11	3	.38	+	7.83	5.58E-03	3.69E-01
phosphatidylserine floppase activity (GO:0090556)	4	1	.14	+	7.18	1.32E-01	1.00E00
6-phosphofructo-2-kinase activity (GO:0003873)	4	1	.14	+	7.18	1.32E-01	1.00E00
alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity (GO:0003825)	4	1	.14	+	7.18	1.32E-01	1.00E00
L-proline transmembrane transporter activity (GO:0015193)	4	1	.14	+	7.18	1.32E-01	1.00E00
manganese ion transmembrane transporter activity (GO:0005384)	8	2	.28	+	7.18	2.94E-02	1.00E00
chloride transmembrane transporter activity (GO:0015108)	4	1	.14	+	7.18	1.32E-01	1.00E00
nucleoside transmembrane transporter activity (GO:0005337)	4	1	.14	+	7.18	1.32E-01	1.00E00
phosphate transmembrane transporter activity (GO:0005315)	8	2	.28	+	7.18	2.94E-02	1.00E00
trehalose-phosphatase activity (GO:0004805)	4	1	.14	+	7.18	1.32E-01	1.00E00
solute:potassium antiporter activity (GO:0022821)	4	1	.14	+	7.18	1.32E-01	1.00E00
minus-end-directed microtubule motor activity (GO:0008569)	4	1	.14	+	7.18	1.32E-01	1.00E00
cyclic-nucleotide phosphodiesterase activity (GO:0004112)	4	1	.14	+	7.18	1.32E-01	1.00E00
MAP kinase kinase kinase activity (GO:0004709)	4	1	.14	+	7.18	1.32E-01	1.00E00
tRNA dihydrouridine synthase activity (GO:0017150)	4	1	.14	+	7.18	1.32E-01	1.00E00
diphosphoinositol-polyphosphate diphosphatase activity (GO:0008486)	4	1	.14	+	7.18	1.32E-01	1.00E00
protein serine/threonine kinase inhibitor activity (GO:0030291)	12	3	.42	+	7.18	7.25E-03	4.46E-01
phosphatidylcholine flippase activity (GO:0140345)	4	1	.14	+	7.18	1.32E-01	1.00E00
peptidase activator activity (GO:0016504)	4	1	.14	+	7.18	1.32E-01	1.00E00
peptide transmembrane transporter activity (GO:1904680)	4	1	.14	+	7.18	1.32E-01	1.00E00
mRNA dihydrouridine synthase activity (GO:0106414)	4	1	.14	+	7.18	1.32E-01	1.00E00
RNA dihydrouridine synthase activity (GO:0106413)	4	1	.14	+	7.18	1.32E-01	1.00E00
phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity (GO:0043813)	4	1	.14	+	7.18	1.32E-01	1.00E00
potassium:proton antiporter activity (GO:0015386)	4	1	.14	+	7.18	1.32E-01	1.00E00
sulfur amino acid transmembrane transporter activity (GO:0000099)	4	1	.14	+	7.18	1.32E-01	1.00E00
DNA topoisomerase activity (GO:0003916)	4	1	.14	+	7.18	1.32E-01	1.00E00
U2 snRNA binding (GO:0030620)	8	2	.28	+	7.18	2.94E-02	1.00E00
poly-purine tract binding (GO:0070717)	9	2	.31	+	6.38	3.70E-02	8.83E-01
signaling adaptor activity (GO:0035591)	9	2	.31	+	6.38	3.70E-02	8.75E-01
poly(A) binding (GO:0008143)	9	2	.31	+	6.38	3.70E-02	8.67E-01
UDP-glucosyltransferase activity (GO:0035251)	14	3	.49	+	6.15	1.14E-02	6.01E-01
rRNA primary transcript binding (GO:0042134)	14	3	.49	+	6.15	1.14E-02	5.89E-01
TFIID-class transcription factor complex binding (GO:0001094)	5	1	.17	+	5.74	1.62E-01	1.00E00
5S rRNA binding (GO:0008097)	5	1	.17	+	5.74	1.62E-01	1.00E00
phosphatidylethanolamine flippase activity (GO:0090555)	5	1	.17	+	5.74	1.62E-01	1.00E00
DNA endonuclease activity, producing 3'-phosphomonoesters (GO:0016889)	5	1	.17	+	5.74	1.62E-01	1.00E00
ligase activity, forming carbon-carbon bonds (GO:0016885)	5	1	.17	+	5.74	1.62E-01	1.00E00
metal cation:proton antiporter activity (GO:0051139)	5	1	.17	+	5.74	1.62E-01	1.00E00
kinetochore binding (GO:0043515)	5	1	.17	+	5.74	1.62E-01	1.00E00
monoatomic ion-gated channel activity (GO:0022839)	5	1	.17	+	5.74	1.62E-01	1.00E00
ABC-type xenobiotic transporter activity (GO:0008559)	5	1	.17	+	5.74	1.62E-01	1.00E00
phosphatidylinositol transfer activity (GO:0008526)	5	1	.17	+	5.74	1.62E-01	1.00E00
monoatomic anion channel activity (GO:0005253)	5	1	.17	+	5.74	1.62E-01	1.00E00
calcium-activated cation channel activity (GO:0005227)	5	1	.17	+	5.74	1.62E-01	1.00E00
phosphatidylinositol-3,5-bisphosphate phosphatase activity (GO:0106018)	5	1	.17	+	5.74	1.62E-01	1.00E00
double-stranded telomeric DNA binding (GO:0003691)	5	1	.17	+	5.74	1.62E-01	1.00E00
MAP kinase kinase activity (GO:0004708)	5	1	.17	+	5.74	1.62E-01	1.00E00
eukaryotic initiation factor 4G binding (GO:0031370)	5	1	.17	+	5.74	1.62E-01	1.00E00
phosphatidylserine flippase activity (GO:0140346)	5	1	.17	+	5.74	1.62E-01	1.00E00
phosphatidylinositol phosphate 5-phosphatase activity (GO:0034595)	5	1	.17	+	5.74	1.62E-01	1.00E00
microfilament motor activity (GO:0000146)	5	1	.17	+	5.74	1.62E-01	1.00E00
metal cation:monoatomic cation antiporter activity (GO:0140828)	5	1	.17	+	5.74	1.62E-01	1.00E00
crossover junction DNA endonuclease activity (GO:0008821)	5	1	.17	+	5.74	1.62E-01	1.00E00
pre-mRNA 5'-splice site binding (GO:0030627)	5	1	.17	+	5.74	1.62E-01	1.00E00
U5 snRNA binding (GO:0030623)	5	1	.17	+	5.74	1.62E-01	1.00E00
protein kinase inhibitor activity (GO:0004860)	15	3	.52	+	5.74	1.39E-02	6.89E-01
kinase inhibitor activity (GO:0019210)	16	3	.56	+	5.39	1.67E-02	7.68E-01
RNA polymerase II general transcription initiation factor binding (GO:0001091)	11	2	.38	+	5.22	5.40E-02	1.00E00
carbohydrate kinase activity (GO:0019200)	17	3	.59	+	5.07	1.97E-02	8.78E-01
glucosyltransferase activity (GO:0046527)	17	3	.59	+	5.07	1.97E-02	8.63E-01
protein phosphatase activator activity (GO:0072542)	6	1	.21	+	4.79	1.92E-01	1.00E00
copper ion transmembrane transporter activity (GO:0005375)	6	1	.21	+	4.79	1.92E-01	1.00E00
proteasome-activating activity (GO:0036402)	6	1	.21	+	4.79	1.92E-01	1.00E00
ligand-gated monoatomic cation channel activity (GO:0099094)	6	1	.21	+	4.79	1.92E-01	1.00E00
cyclin-dependent protein serine/threonine kinase inhibitor activity (GO:0004861)	6	1	.21	+	4.79	1.92E-01	1.00E00
single-stranded RNA binding (GO:0003727)	24	4	.84	+	4.79	8.78E-03	5.03E-01
ligand-gated channel activity (GO:0022834)	6	1	.21	+	4.79	1.92E-01	1.00E00
phosphatidylcholine transporter activity (GO:0008525)	6	1	.21	+	4.79	1.92E-01	1.00E00
transketolase or transaldolase activity (GO:0016744)	6	1	.21	+	4.79	1.92E-01	1.00E00
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen (GO:0016709)	6	1	.21	+	4.79	1.92E-01	1.00E00
protein tyrosine kinase activity (GO:0004713)	12	2	.42	+	4.79	6.33E-02	1.00E00
glucan endo-1,3-beta-D-glucosidase activity (GO:0042973)	6	1	.21	+	4.79	1.92E-01	1.00E00
phosphofructokinase activity (GO:0008443)	6	1	.21	+	4.79	1.92E-01	1.00E00
aldehyde dehydrogenase (NAD+) activity (GO:0004029)	12	2	.42	+	4.79	6.33E-02	1.00E00
lysophospholipase activity (GO:0004622)	6	1	.21	+	4.79	1.92E-01	1.00E00
glycerophospholipid flippase activity (GO:0140333)	6	1	.21	+	4.79	1.92E-01	1.00E00
floppase activity (GO:0140328)	6	1	.21	+	4.79	1.92E-01	1.00E00
phosphatidylinositol bisphosphate phosphatase activity (GO:0034593)	6	1	.21	+	4.79	1.92E-01	1.00E00
S-acyltransferase activity (GO:0016417)	12	2	.42	+	4.79	6.33E-02	1.00E00
ligand-gated monoatomic ion channel activity (GO:0015276)	6	1	.21	+	4.79	1.92E-01	1.00E00
SUMO binding (GO:0032183)	6	1	.21	+	4.79	1.92E-01	1.00E00
ABC-type transporter activity (GO:0140359)	25	4	.87	+	4.60	1.02E-02	5.58E-01
aldehyde dehydrogenase [NAD(P)+] activity (GO:0004030)	13	2	.45	+	4.42	7.31E-02	1.00E00
snRNA binding (GO:0017069)	20	3	.70	+	4.31	3.06E-02	1.00E00
acetylation-dependent protein binding (GO:0140033)	7	1	.24	+	4.10	2.20E-01	1.00E00
neutral L-amino acid transmembrane transporter activity (GO:0015175)	14	2	.49	+	4.10	8.34E-02	1.00E00
iron ion transmembrane transporter activity (GO:0005381)	7	1	.24	+	4.10	2.20E-01	1.00E00
carbon-nitrogen ligase activity, with glutamine as amido-N-donor (GO:0016884)	14	2	.49	+	4.10	8.34E-02	1.00E00
intramolecular oxidoreductase activity, interconverting aldoses and ketoses (GO:0016861)	7	1	.24	+	4.10	2.20E-01	1.00E00
ferric-chelate reductase (NADPH) activity (GO:0052851)	7	1	.24	+	4.10	2.20E-01	1.00E00
cyclohydrolase activity (GO:0019238)	7	1	.24	+	4.10	2.20E-01	1.00E00
proteasome binding (GO:0070628)	14	2	.49	+	4.10	8.34E-02	1.00E00
flippase activity (GO:0140327)	7	1	.24	+	4.10	2.20E-01	1.00E00
7S RNA binding (GO:0008312)	7	1	.24	+	4.10	2.20E-01	1.00E00
lysine-acetylated histone binding (GO:0070577)	7	1	.24	+	4.10	2.20E-01	1.00E00
poly(U) RNA binding (GO:0008266)	7	1	.24	+	4.10	2.20E-01	1.00E00
pre-mRNA binding (GO:0036002)	14	2	.49	+	4.10	8.34E-02	1.00E00
aminophospholipid flippase activity (GO:0015247)	7	1	.24	+	4.10	2.20E-01	1.00E00
flavin adenine dinucleotide binding (GO:0050660)	36	5	1.25	+	3.99	7.63E-03	4.48E-01
calmodulin binding (GO:0005516)	22	3	.77	+	3.92	3.94E-02	8.83E-01
ubiquitin protein ligase activity (GO:0061630)	60	8	2.09	+	3.83	1.02E-03	1.01E-01
potassium ion transmembrane transporter activity (GO:0015079)	15	2	.52	+	3.83	9.41E-02	1.00E00
transition metal ion transmembrane transporter activity (GO:0046915)	31	4	1.08	+	3.71	2.15E-02	9.10E-01
carbon-sulfur lyase activity (GO:0016846)	8	1	.28	+	3.59	2.47E-01	1.00E00
actin binding (GO:0003779)	56	7	1.95	+	3.59	3.05E-03	2.32E-01
cytoskeletal motor activity (GO:0003774)	16	2	.56	+	3.59	1.05E-01	1.00E00
phosphatidylinositol phosphate phosphatase activity (GO:0052866)	8	1	.28	+	3.59	2.47E-01	1.00E00
monoatomic anion transmembrane transporter activity (GO:0008509)	8	1	.28	+	3.59	2.47E-01	1.00E00
thiamine pyrophosphate binding (GO:0030976)	8	1	.28	+	3.59	2.47E-01	1.00E00
telomerase RNA binding (GO:0070034)	8	1	.28	+	3.59	2.47E-01	1.00E00
phosphatase activator activity (GO:0019211)	8	1	.28	+	3.59	2.47E-01	1.00E00
ATPase-coupled intramembrane lipid transporter activity (GO:0140326)	8	1	.28	+	3.59	2.47E-01	1.00E00
phosphatidylinositol-4,5-bisphosphate binding (GO:0005546)	16	2	.56	+	3.59	1.05E-01	1.00E00
ferrous iron binding (GO:0008198)	8	1	.28	+	3.59	2.47E-01	1.00E00
poly-pyrimidine tract binding (GO:0008187)	8	1	.28	+	3.59	2.47E-01	1.00E00
UDP-glycosyltransferase activity (GO:0008194)	25	3	.87	+	3.45	5.45E-02	1.00E00
ubiquitin-protein transferase activity (GO:0004842)	92	11	3.20	+	3.43	3.17E-04	5.11E-02
protein-membrane adaptor activity (GO:0043495)	17	2	.59	+	3.38	1.17E-01	1.00E00
prenyltransferase activity (GO:0004659)	17	2	.59	+	3.38	1.17E-01	1.00E00
solute:proton symporter activity (GO:0015295)	34	4	1.18	+	3.38	2.93E-02	1.00E00
ubiquitin-like protein ligase activity (GO:0061659)	69	8	2.40	+	3.33	2.54E-03	2.12E-01
inorganic anion transmembrane transporter activity (GO:0015103)	26	3	.91	+	3.31	6.01E-02	1.00E00
melatonin binding (GO:1904408)	9	1	.31	+	3.19	2.73E-01	1.00E00
acylglycerol lipase activity (GO:0047372)	9	1	.31	+	3.19	2.73E-01	1.00E00
K48-linked polyubiquitin modification-dependent protein binding (GO:0036435)	9	1	.31	+	3.19	2.73E-01	1.00E00
endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters (GO:0016894)	9	1	.31	+	3.19	2.73E-01	1.00E00
metalloendopeptidase activity (GO:0004222)	18	2	.63	+	3.19	1.28E-01	1.00E00
calcium ion transmembrane transporter activity (GO:0015085)	9	1	.31	+	3.19	2.73E-01	1.00E00
small ribosomal subunit rRNA binding (GO:0070181)	9	1	.31	+	3.19	2.73E-01	1.00E00
oxidoreductase activity, acting on metal ions, NAD or NADP as acceptor (GO:0016723)	9	1	.31	+	3.19	2.73E-01	1.00E00
cyclin binding (GO:0030332)	9	1	.31	+	3.19	2.73E-01	1.00E00
ferric-chelate reductase activity (GO:0000293)	9	1	.31	+	3.19	2.73E-01	1.00E00
phospholipase A2 activity (GO:0004623)	9	1	.31	+	3.19	2.73E-01	1.00E00
U6 snRNA binding (GO:0017070)	9	1	.31	+	3.19	2.73E-01	1.00E00
lysophosphatidic acid acyltransferase activity (GO:0042171)	9	1	.31	+	3.19	2.73E-01	1.00E00
oligopeptide transmembrane transporter activity (GO:0035673)	9	1	.31	+	3.19	2.73E-01	1.00E00
protein serine kinase activity (GO:0106310)	120	13	4.18	+	3.11	2.49E-04	4.28E-02
solute:monoatomic cation symporter activity (GO:0015294)	37	4	1.29	+	3.10	3.85E-02	8.94E-01
NAD binding (GO:0051287)	28	3	.97	+	3.08	7.20E-02	1.00E00
phosphoric diester hydrolase activity (GO:0008081)	19	2	.66	+	3.02	1.40E-01	1.00E00
metal ion transmembrane transporter activity (GO:0046873)	57	6	1.98	+	3.02	1.37E-02	6.94E-01
protein serine/threonine kinase activity (GO:0004674)	126	13	4.39	+	2.96	4.03E-04	5.48E-02
protein kinase activity (GO:0004672)	136	14	4.74	+	2.96	2.48E-04	4.56E-02
phosphotransferase activity, alcohol group as acceptor (GO:0016773)	198	20	6.89	+	2.90	1.52E-05	9.83E-03
nucleobase transmembrane transporter activity (GO:0015205)	10	1	.35	+	2.87	2.99E-01	1.00E00
acyltransferase activity, acyl groups converted into alkyl on transfer (GO:0046912)	10	1	.35	+	2.87	2.99E-01	1.00E00
phosphatidylinositol-5-phosphate binding (GO:0010314)	10	1	.35	+	2.87	2.99E-01	1.00E00
structural constituent of chromatin (GO:0030527)	10	1	.35	+	2.87	2.99E-01	1.00E00
RNA polymerase II general transcription initiation factor activity (GO:0016251)	20	2	.70	+	2.87	1.52E-01	1.00E00
microtubule motor activity (GO:0003777)	10	1	.35	+	2.87	2.99E-01	1.00E00
second spliceosomal transesterification activity (GO:0000386)	10	1	.35	+	2.87	2.99E-01	1.00E00
oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor (GO:0016668)	10	1	.35	+	2.87	2.99E-01	1.00E00
histone H3 methyltransferase activity (GO:0140938)	10	1	.35	+	2.87	2.99E-01	1.00E00
3'-5'-DNA exonuclease activity (GO:0008296)	10	1	.35	+	2.87	2.99E-01	1.00E00
lysophospholipid acyltransferase activity (GO:0071617)	10	1	.35	+	2.87	2.99E-01	1.00E00
phospholipid transfer activity (GO:0120014)	10	1	.35	+	2.87	2.99E-01	1.00E00
sequence-specific single stranded DNA binding (GO:0098847)	10	1	.35	+	2.87	2.99E-01	1.00E00
phospholipid transporter activity (GO:0005548)	20	2	.70	+	2.87	1.52E-01	1.00E00
