"","GENE","FUNCTION_DESC"
"124","AFT1","cis-regulatory region sequence-specific DNA binding"
"125","AFT1","zinc ion binding"
"126","AFT1","kinetochore binding"
"127","AFT1","metal ion binding"
"128","FCY2","nucleobase transmembrane transporter activity"
"129","FCY2","cytidine transmembrane transporter activity"
"130","FCY2","transmembrane transporter activity"
"131","MAS2","metalloendopeptidase activity"
"132","MAS2","metal ion binding"
"133","RBK1","ribokinase activity"
"134","RBK1","ATP binding"
"135","RBK1","kinase activity"
"136","RBK1","metal ion binding"
"137","ACT1","structural constituent of cytoskeleton"
"138","ACT1","ATP binding"
"139","ACT1","hydrolase activity"
"140","ACT1","ATP hydrolysis activity"
"141","MMS4","DNA binding"
"142","MMS4","nuclease activity"
"143","MMS4","endonuclease activity"
"144","MMS4","DNA endonuclease activity"
"145","MMS4","crossover junction DNA endonuclease activity"
"146","MMS4","metal ion binding"
"147","BSD2","protein binding"
"148","FSF1","molecular_function"
"149","FSF1","monoatomic ion transmembrane transporter activity"
"150","FSF1","transmembrane transporter activity"
"151","HO","DNA binding"
"152","HO","endonuclease activity"
"153","HO","zinc ion binding"
"154","HO","metal ion binding"
"155","TPS3","catalytic activity"
"156","TPS3","alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity"
"157","TPS3","trehalose-phosphatase activity"
"158","TPS3","enzyme regulator activity"
"159","UGA4","putrescine transmembrane transporter activity"
"160","UGA4","gamma-aminobutyric acid:proton symporter activity"
"161","UGA4","transmembrane transporter activity"
"162","APC2","ubiquitin protein ligase binding"
"163","APC2","ubiquitin protein ligase activity"
"164","RRP6","nucleotide binding"
"165","RRP6","3'-5'-RNA exonuclease activity"
"166","RRP6","nucleic acid binding"
"167","RRP6","RNA binding"
"168","RRP6","single-stranded RNA binding"
"169","RRP6","exonuclease activity"
"170","RRP6","zinc ion binding"
"171","RRP6","rRNA primary transcript binding"
"172","LOS1","tRNA binding"
"173","LOS1","small GTPase binding"
"174","SPS100","molecular_function"
"175","DUS4","oxidoreductase activity"
"176","DUS4","tRNA dihydrouridine synthase activity"
"177","DUS4","flavin adenine dinucleotide binding"
"178","DUS4","tRNA-dihydrouridine20a synthase activity"
"179","DUS4","tRNA-dihydrouridine20b synthase activity"
"180","DUS4","mRNA dihydrouridine synthase activity"
"181","MSC6","mRNA binding"
"182","APL5","protein binding"
"183","RED1","structural molecule activity"
"184","RED1","chromatin DNA binding"
"185","MCT1","[acyl-carrier-protein] S-malonyltransferase activity"
"186","MCT1","transferase activity"
"187","MCT1","acyltransferase activity"
"188","ADE6","phosphoribosylformylglycinamidine synthase activity"
"189","ADE6","ATP binding"
"190","ADE6","ligase activity"
"191","ADE6","metal ion binding"
"192","YRB2","molecular_function"
"193","YRB2","GTPase activator activity"
"194","OCA4","molecular_function"
"195","OCA4","phosphatase activity"
"196","PDR10","ATP binding"
"197","PDR10","ATP hydrolysis activity"
"198","PDR10","ATPase-coupled transmembrane transporter activity"
"199","PDR10","ABC-type transporter activity"
"200","SNT2","chromatin binding"
"201","SNT2","ubiquitin-protein transferase activity"
"202","SNT2","zinc ion binding"
"203","SNT2","transferase activity"
"204","SNT2","metal ion binding"
"205","SNT2","ubiquitin protein ligase activity"
"206","DOA4","cysteine-type deubiquitinase activity"
"207","DOA4","cysteine-type peptidase activity"
"208","DOA4","zinc ion binding"
"209","YOR1","ATP binding"
"210","YOR1","ABC-type xenobiotic transporter activity"
"211","YOR1","ABC-type glutathione S-conjugate transporter activity"
"212","YOR1","ABC-type cadmium transporter activity"
"213","YOR1","ATP hydrolysis activity"
"214","YOR1","ABC-type transporter activity"
"215","ERG1","squalene monooxygenase activity"
"216","ERG1","oxidoreductase activity"
"217","ERG1","flavin adenine dinucleotide binding"
"218","POL3","nucleotide binding"
"219","POL3","DNA binding"
"220","POL3","DNA-directed DNA polymerase activity"
"221","POL3","exonuclease activity"
"222","POL3","zinc ion binding"
"223","POL3","3'-5'-DNA exonuclease activity"
"224","POL3","metal ion binding"
"225","POL3","4 iron, 4 sulfur cluster binding"
"226","MYO2","microfilament motor activity"
"227","MYO2","cytoskeletal motor activity"
"228","MYO2","actin binding"
"229","MYO2","protein binding"
"230","MYO2","calmodulin binding"
"231","MYO2","ATP binding"
"232","MYO2","small GTPase binding"
"233","MYO2","actin filament binding"
"234","TFG1","TFIIF-class transcription factor complex binding"
"235","TFG1","DNA binding"
"236","TFG1","RNA polymerase II general transcription initiation factor activity"
"237","TFG1","protein phosphatase activator activity"
"238","COG1","protein-macromolecule adaptor activity"
"239","HXT13","carbohydrate:proton symporter activity"
"240","HXT13","fructose transmembrane transporter activity"
"241","HXT13","glucose transmembrane transporter activity"
"242","HXT13","mannose transmembrane transporter activity"
"243","HXT13","transmembrane transporter activity"
"244","VTC1","mRNA binding"
"245","HUL5","transferase activity"
"246","HUL5","ubiquitin-ubiquitin ligase activity"
"247","HUL5","ubiquitin protein ligase activity"
"248","PHO23","zinc ion binding"
"249","PHO23","methylated histone binding"
"250","PHO23","metal ion binding"
"251","BIR1","zinc ion binding"
"252","BIR1","metal ion binding"
"253","PBS2","protein kinase activity"
"254","PBS2","protein serine/threonine kinase activity"
"255","PBS2","MAP kinase kinase activity"
"256","PBS2","protein tyrosine kinase activity"
"257","PBS2","MAP-kinase scaffold activity"
"258","PBS2","protein binding"
"259","PBS2","ATP binding"
"260","PBS2","protein serine kinase activity"
"261","SMF1","manganese ion transmembrane transporter activity"
"262","SMF1","cadmium ion transmembrane transporter activity"
"263","SMF1","solute:proton symporter activity"
"264","SMF1","inorganic cation transmembrane transporter activity"
"265","SMF1","metal ion binding"
"266","SMF1","metal ion transmembrane transporter activity"
"267","RPT5","ATP binding"
"268","RPT5","ATP hydrolysis activity"
"269","RPT5","proteasome-activating activity"
"270","CLN3","cyclin-dependent protein serine/threonine kinase regulator activity"
"271","SUB2","nucleic acid binding"
"272","SUB2","RNA binding"
"273","SUB2","RNA helicase activity"
"274","SUB2","mRNA binding"
"275","SUB2","helicase activity"
"276","SUB2","ATP binding"
"277","SUB2","hydrolase activity"
"278","SUB2","ATP hydrolysis activity"
"279","FRE6","ferric-chelate reductase activity"
"280","FRE6","oxidoreductase activity"
"281","FRE6","metal ion binding"
"282","FRE6","ferric-chelate reductase (NADPH) activity"
"283","VCX1","calcium:proton antiporter activity"
"284","VCX1","potassium:proton antiporter activity"
"285","VCX1","metal ion binding"
"286","BLM10","peptidase activator activity"
"287","BLM10","lysine-acetylated histone binding"
"288","BLM10","proteasome binding"
"289","YML018C","molecular_function"
"290","NFT1","molecular_function"
"291","NFT1","ATP binding"
"292","NFT1","ATP hydrolysis activity"
"293","NFT1","ATPase-coupled transmembrane transporter activity"
"294","NFT1","ABC-type transporter activity"
"295","RCO1","zinc ion binding"
"296","RCO1","metal ion binding"
"297","YAP6","DNA-binding transcription factor activity, RNA polymerase II-specific"
"298","YAP6","RNA polymerase II sequence-specific DNA-binding transcription factor recruiting activity"
"299","YAP6","DNA binding"
"300","YAP6","DNA-binding transcription factor activity"
"301","YAP6","sequence-specific DNA binding"
"302","SWT1","RNA endonuclease activity"
"303","SWT1","RNA nuclease activity"
"304","SYG1","inositol hexakisphosphate binding"
"305","SYG1","molecular_function"
"306","SYG1","phosphate transmembrane transporter activity"
"307","INP2","protein-membrane adaptor activity"
"308","HBT1","molecular_function"
"309","LRG1","GTPase activator activity"
"310","LRG1","zinc ion binding"
"311","LRG1","metal ion binding"
"312","CDC25","guanyl-nucleotide exchange factor activity"
"313","ALY2","protein-macromolecule adaptor activity"
"314","ALY2","ubiquitin protein ligase binding"
"315","EBS1","molecular_function"
"316","EBS1","telomeric DNA binding"
"317","EBS1","telomerase RNA binding"
"318","MAM3","molecular_function"
"319","FIG4","hydrolase activity"
"320","FIG4","phosphatidylinositol bisphosphate phosphatase activity"
"321","FIG4","phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity"
"322","PHO81","cyclin-dependent protein serine/threonine kinase inhibitor activity"
"323","PHO81","phosphoric diester hydrolase activity"
"324","CYK3","enzyme regulator activity"
"325","HIS4","1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity"
"326","HIS4","isomerase activity"
"327","PHR1","nucleotide binding"
"328","PHR1","DNA binding"
"329","PHR1","mRNA binding"
"330","PHR1","deoxyribodipyrimidine photo-lyase activity"
"331","PHR1","lyase activity"
"332","PHR1","FAD binding"
"333","PHR1","organic cyclic compound binding"
"334","SAK1","protein kinase activity"
"335","SAK1","protein serine/threonine kinase activity"
"336","SAK1","ATP binding"
"337","SAK1","protein serine kinase activity"
"338","PMA1","ATP binding"
"339","PMA1","P-type proton-exporting transporter activity"
"340","PMA1","P-type ion transporter activity"
"341","PMA1","ATP hydrolysis activity"
"342","PMA1","ATPase-coupled monoatomic cation transmembrane transporter activity"
"343","PMA1","inorganic cation transmembrane transporter activity"
"344","PMA1","metal ion binding"
"345","BNI1","actin binding"
"346","BNI1","profilin binding"
"347","BNI1","small GTPase binding"
"348","RKM3","methyltransferase activity"
"349","RKM3","protein-lysine N-methyltransferase activity"
"350","TRL1","RNA ligase (ATP) activity"
"351","TRL1","2',3'-cyclic-nucleotide 3'-phosphodiesterase activity"
"352","TRL1","endonuclease activity"
"353","TRL1","ATP binding"
"354","TRL1","phosphoric diester hydrolase activity"
"355","TRL1","kinase activity"
"356","TRL1","ligase activity"
"357","TRL1","GTP-dependent polyribonucleotide 5'-hydroxyl-kinase activity"
"358","VPS74","lipid binding"
"359","VPS74","enzyme binding"
"360","VPS74","phosphatidylinositol-4-phosphate binding"
"361","STP3","RNA polymerase II cis-regulatory region sequence-specific DNA binding"
"362","STP3","DNA-binding transcription factor activity, RNA polymerase II-specific"
"363","STP3","zinc ion binding"
"364","STP3","sequence-specific DNA binding"
"365","STP3","metal ion binding"
"366","MSS2","molecular_function"
"367","PRP2","nucleic acid binding"
"368","PRP2","RNA binding"
"369","PRP2","RNA helicase activity"
"370","PRP2","helicase activity"
"371","PRP2","ATP binding"
"372","PRP2","ATP-dependent activity, acting on RNA"
"373","PRP2","hydrolase activity"
"374","PRP2","ATP hydrolysis activity"
"375","SSK2","actin binding"
"376","SSK2","protein serine/threonine kinase activity"
"377","SSK2","MAP kinase kinase kinase activity"
"378","SSK2","ATP binding"
"379","SSK2","protein serine kinase activity"
"380","ECM14","zinc ion binding"
"381","ECM14","metal ion binding"
"382","HMF1","molecular_function"
"383","HMF1","deaminase activity"
"384","VPS63","molecular_function"
"385","STE5","MAP-kinase scaffold activity"
"386","STE5","phosphatidylinositol-4,5-bisphosphate binding"
"387","STE5","kinase binding"
"388","STE5","G-protein beta-subunit binding"
"389","PDR1","DNA-binding transcription factor activity, RNA polymerase II-specific"
"390","PDR1","DNA-binding transcription activator activity, RNA polymerase II-specific"
"391","PDR1","DNA binding"
"392","PDR1","zinc ion binding"
"393","PDR1","metal ion binding"
"394","YCT1","transmembrane transporter activity"
"395","YCT1","cysteine transmembrane transporter activity"
"396","NAM8","RNA binding"
"397","NAM8","mRNA binding"
"398","PHM7","molecular_function"
"399","PHM7","calcium-activated cation channel activity"
"400","PYK2","magnesium ion binding"
"401","PYK2","pyruvate kinase activity"
"402","PYK2","ATP binding"
"403","PYK2","kinase activity"
"404","PYK2","potassium ion binding"
"405","PYK2","metal ion binding"
"406","PYK2","melatonin binding"
"407","ASN1","asparagine synthase (glutamine-hydrolyzing) activity"
"408","ASN1","ATP binding"
"409","ASN1","ligase activity"
"410","HIR2","DNA binding"
"411","HIR2","transcription corepressor activity"
"412","HIR2","nucleosome binding"
"413","GCD2","translation initiation factor activity"
"414","GCD2","guanyl-nucleotide exchange factor activity"
"415","GCD2","enzyme regulator activity"
"416","MED6","transcription coregulator activity"
"417","MED6","transcription coactivator activity"
"418","UBP5","cysteine-type deubiquitinase activity"
"419","UBP5","cysteine-type peptidase activity"
"420","UBP5","zinc ion binding"
"421","BUL1","ubiquitin-ubiquitin ligase activity"
"422","PRI2","DNA binding"
"423","PRI2","single-stranded DNA binding"
"424","PRI2","DNA primase activity"
"425","PRI2","metal ion binding"
"426","PRI2","4 iron, 4 sulfur cluster binding"
"427","PTK2","protein kinase activity"
"428","PTK2","protein serine/threonine kinase activity"
"429","PTK2","ATP binding"
"430","PTK2","protein serine kinase activity"
"431","CYT2","holocytochrome-c synthase activity"
"432","CYT2","lyase activity"
"433","CYT2","metal ion binding"
"434","IDH1","magnesium ion binding"
"435","IDH1","RNA binding"
"436","IDH1","isocitrate dehydrogenase (NAD+) activity"
"437","IDH1","oxidoreductase activity"
"438","IDH1","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
"439","IDH1","metal ion binding"
"440","IDH1","NAD binding"
"441","PEP12","SNARE binding"
"442","PEP12","SNAP receptor activity"
"443","IDP1","magnesium ion binding"
"444","IDP1","isocitrate dehydrogenase (NADP+) activity"
"445","IDP1","oxidoreductase activity"
"446","IDP1","metal ion binding"
"447","IDP1","NAD binding"
"448","KSP1","mRNA binding"
"449","KSP1","protein kinase activity"
"450","KSP1","protein serine/threonine kinase activity"
"451","KSP1","ATP binding"
"452","KSP1","protein serine kinase activity"
"453","ULS1","helicase activity"
"454","ULS1","ATP binding"
"455","ULS1","ATP-dependent activity, acting on DNA"
"456","ULS1","zinc ion binding"
"457","ULS1","hydrolase activity"
"458","ULS1","SUMO binding"
"459","ULS1","metal ion binding"
"460","ULS1","ATP-dependent chromatin remodeler activity"
"461","MLS1","malate synthase activity"
"462","MLS1","transferase activity"
"463","RCK2","protein kinase activity"
"464","RCK2","protein serine/threonine kinase activity"
"465","RCK2","calmodulin binding"
"466","RCK2","ATP binding"
"467","RCK2","protein serine kinase activity"
"468","PRP8","second spliceosomal transesterification activity"
"469","PRP8","RNA binding"
"470","PRP8","mRNA binding"
"471","PRP8","metallopeptidase activity"
"472","PRP8","U6 snRNA binding"
"473","PRP8","U1 snRNA binding"
"474","PRP8","U2 snRNA binding"
"475","PRP8","U5 snRNA binding"
"476","PRP8","pre-mRNA intronic binding"
"477","UBR2","ubiquitin-protein transferase activity"
"478","UBR2","zinc ion binding"
"479","UBR2","transferase activity"
"480","UBR2","metal ion binding"
"481","UBR2","ubiquitin protein ligase activity"
"482","SMY2","protein binding"
"483","FET4","copper ion transmembrane transporter activity"
"484","FET4","iron ion transmembrane transporter activity"
"485","FET4","zinc ion binding"
"486","TUS1","guanyl-nucleotide exchange factor activity"
"487","ERG9","farnesyl-diphosphate farnesyltransferase activity"
"488","ERG9","farnesyltranstransferase activity"
"489","ERG9","transferase activity"
"490","ERG9","squalene synthase activity"
"491","FZF1","RNA polymerase II cis-regulatory region sequence-specific DNA binding"
"492","FZF1","DNA-binding transcription activator activity, RNA polymerase II-specific"
"493","FZF1","DNA binding"
"494","FZF1","zinc ion binding"
"495","FZF1","sequence-specific DNA binding"
"496","FZF1","metal ion binding"
"497","BUL2","ubiquitin-ubiquitin ligase activity"
"498","SPO20","SNAP receptor activity"
"499","SPO20","phosphatidylinositol-4,5-bisphosphate binding"
"500","SPO20","syntaxin binding"
"501","SPO20","phosphatidic acid binding"
"502","IOC4","DNA binding"
"503","IOC4","ATP hydrolysis activity"
"504","ISU1","ATPase activator activity"
"505","ISU1","iron ion binding"
"506","ISU1","ferrous iron binding"
"507","ISU1","zinc ion binding"
"508","ISU1","metal ion binding"
"509","ISU1","iron-sulfur cluster binding"
"510","ISU1","2 iron, 2 sulfur cluster binding"
"511","MET30","ubiquitin binding"
"512","NPL3","RNA polymerase II complex binding"
"513","NPL3","double-stranded telomeric DNA binding"
"514","NPL3","RNA binding"
"515","NPL3","mRNA binding"
"516","NPL3","poly(A) binding"
"517","NPL3","eukaryotic initiation factor 4G binding"
"518","NPL3","telomeric repeat-containing RNA binding"
"519","GPB1","cAMP-dependent protein kinase inhibitor activity"
"520","GPB1","GTPase activating protein binding"
"521","ABP140","actin binding"
"522","ABP140","methyltransferase activity"
"523","ABP140","RNA methyltransferase activity"
"524","ABP140","S-adenosylmethionine-dependent methyltransferase activity"
"525","ABP140","protein-macromolecule adaptor activity"
"526","ABP140","actin filament binding"
"527","ABP140","tRNA (cytidine-3-)-methyltransferase activity"
"528","RPS15","RNA binding"
"529","RPS15","structural constituent of ribosome"
"530","PDX1","dihydrolipoyllysine-residue acetyltransferase activity"
"531","PDX1","structural molecule activity"
"532","PDX1","acyltransferase activity"
"533","RRP46","molecular_function"
"534","RRP46","RNA binding"
"535","SPO11","DNA binding"
"536","SPO11","chromatin binding"
"537","SPO11","DNA topoisomerase activity"
"538","SPO11","DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity"
"539","SPO11","ATP binding"
"540","SPO11","DNA end binding"
"541","SPO11","metal ion binding"
"542","FKS3","1,3-beta-D-glucan synthase activity"
"543","FKS3","glycosyltransferase activity"
"544","KRE5","UDP-glucose:glycoprotein glucosyltransferase activity"
"545","KRE5","unfolded protein binding"
"546","MET10","sulfite reductase (NADPH) activity"
"547","MET10","FMN binding"
"548","MET10","oxidoreductase activity"
"549","MET10","flavin adenine dinucleotide binding"
"550","RCE1","endopeptidase activity"
"551","RCE1","metalloendopeptidase activity"
"552","RCE1","peptidase activity"
"553","VTC4","inositol hexakisphosphate binding"
"554","VTC4","calmodulin binding"
"555","VTC4","polyphosphate kinase activity"
"556","VTC4","transferase activity"
"557","PLB2","phospholipase activity"
"558","PLB2","lysophospholipase activity"
"559","PLB2","phospholipase A2 activity"
"560","PLB2","hydrolase activity"
"561","ATG2","phosphatidylinositol-3-phosphate binding"
"562","ATG2","protein-membrane adaptor activity"
"563","ERG27","3-keto sterol reductase activity"
"564","ERG27","oxidoreductase activity"
"565","HIS4","histidinol dehydrogenase activity"
"566","HIS4","phosphoribosyl-AMP cyclohydrolase activity"
"567","HIS4","phosphoribosyl-ATP diphosphatase activity"
"568","HIS4","ATP binding"
"569","HIS4","zinc ion binding"
"570","HIS4","oxidoreductase activity"
"571","HIS4","hydrolase activity"
"572","HIS4","metal ion binding"
"573","HIS4","NAD binding"
"574","TAF8","RNA polymerase II general transcription initiation factor activity"
"575","RTC2","basic amino acid transmembrane transporter activity"
"576","CCW12","structural constituent of cell wall"
"577","DSE4","glucosidase activity"
"578","DSE4","hydrolase activity, acting on glycosyl bonds"
"579","DSE4","glucan endo-1,3-beta-D-glucosidase activity"
"580","DSE4","glucan endo-1,3-beta-glucanase activity, C-3 substituted reducing group"
"581","DSE4","glucan endo-1,4-beta-glucanase activity, C-3 substituted reducing group"
"582","DDR48","GTPase activity"
"583","DDR48","ATP hydrolysis activity"
"584","ARO3","3-deoxy-7-phosphoheptulonate synthase activity"
"585","ARO3","transferase activity"
"586","GPB2","cAMP-dependent protein kinase inhibitor activity"
"587","GPB2","GTPase activating protein binding"
"588","KIN82","protein kinase activity"
"589","KIN82","protein serine/threonine kinase activity"
"590","KIN82","ATP binding"
"591","KIN82","protein serine kinase activity"
"592","ROG1","hydrolase activity"
"593","ROG1","acylglycerol lipase activity"
"594","ABP1","actin binding"
"595","ABP1","actin filament binding"
"596","ERB1","molecular_function"
"597","ERB1","ribonucleoprotein complex binding"
"598","YLR372W","fatty acid elongase activity"
"599","YLR372W","transferase activity"
"600","CHC1","structural molecule activity"
"601","CHC1","clathrin light chain binding"
"602","PKP1","protein kinase activity"
"603","PKP1","pyruvate dehydrogenase (acetyl-transferring) kinase activity"
"604","PKP1","ATP binding"
"605","PKP1","kinase activity"
"606","TCO89","molecular_function"
"607","ACC1","acetyl-CoA carboxylase activity"
"608","ACC1","biotin carboxylase activity"
"609","ACC1","ATP binding"
"610","ACC1","ligase activity"
"611","ACC1","metal ion binding"
"612","SHP1","protein phosphatase regulator activity"
"613","SHP1","K48-linked polyubiquitin modification-dependent protein binding"
"614","SHP1","ubiquitin binding"
"615","NUG1","RNA binding"
"616","NUG1","mRNA binding"
"617","NUG1","GTPase activity"
"618","NUG1","GTP binding"
"619","EFR3","molecular_function"
"620","SSQ1","ATP binding"
"621","SSQ1","hydrolase activity"
"622","SSQ1","ATP hydrolysis activity"
"623","SSQ1","heat shock protein binding"
"624","SSQ1","protein folding chaperone"
"625","SSQ1","unfolded protein binding"
"626","SSQ1","ATP-dependent protein folding chaperone"
"627","ILV2","magnesium ion binding"
"628","ILV2","acetolactate synthase activity"
"629","ILV2","transferase activity"
"630","ILV2","thiamine pyrophosphate binding"
"631","ILV2","metal ion binding"
"632","ILV2","flavin adenine dinucleotide binding"
"633","TOM1","ubiquitin-protein transferase activity"
"634","TOM1","transferase activity"
"635","TOM1","ubiquitin protein ligase activity"
"636","KIN1","protein kinase activity"
"637","KIN1","protein serine/threonine kinase activity"
"638","KIN1","ATP binding"
"639","KIN1","protein serine kinase activity"
"640","PPQ1","phosphoprotein phosphatase activity"
"641","PPQ1","protein serine/threonine phosphatase activity"
"642","PPQ1","myosin phosphatase activity"
"643","PPQ1","metal ion binding"
"644","IST2","chloride channel activity"
"645","IST2","lipid binding"
"646","KTR3","alpha-1,2-mannosyltransferase activity"
"647","KTR3","mannosyltransferase activity"
"648","KTR3","glycosyltransferase activity"
"649","RRP5","nucleic acid binding"
"650","RRP5","RNA binding"
"651","RRP5","mRNA binding"
"652","RRP5","poly(U) RNA binding"
"653","RRP5","snoRNA binding"
"654","RRP5","U3 snoRNA binding"
"655","RRP5","box C/D sno(s)RNA binding"
"656","RRP5","box H/ACA snoRNA binding"
"657","RRP5","rRNA primary transcript binding"
"658","CSM3","molecular_function"
"659","CSM3","DNA binding"
"660","ALD5","glyceraldehyde-3-phosphate dehydrogenase (NAD+) (non-phosphorylating) activity"
"661","MPA43","molecular_function"
"662","MPA43","kinase activity"
"663","MPA43","D-ribulokinase activity"
"664","TGL5","triglyceride lipase activity"
"665","TGL5","hydrolase activity"
"666","TGL5","lysophosphatidic acid acyltransferase activity"
"667","RHO1","GTPase activity"
"668","RHO1","GTP binding"
"669","RHO1","enzyme activator activity"
"670","RHO1","hydrolase activity"
"671","RHO1","protein kinase binding"
"672","RHO1","G-protein beta-subunit binding"
"673","SET2","RNA binding"
"674","SET2","methyltransferase activity"
"675","SET2","zinc ion binding"
"676","SET2","histone H3K36 methyltransferase activity"
"677","SET2","histone H3K36 trimethyltransferase activity"
"678","SMC2","DNA secondary structure binding"
"679","SMC2","minor groove of adenine-thymine-rich DNA binding"
"680","SMC2","chromatin binding"
"681","SMC2","double-stranded DNA binding"
