COMPONENT	Ref_num	List_num	expected	upload_1 (over/under)	upload_1 (fold Enrichment)	pval	FDR
cellular bud neck septin ring (GO:0000144)	14	1	0.49	+	2.06	3.90E-01	1.00E+00
multivesicular body (GO:0005771)	14	1	0.49	+	2.06	3.90E-01	1.00E+00
spliceosomal snRNP complex (GO:0097525)	57	4	1.98	+	2.03	1.34E-01	1.00E+00
endopeptidase complex (GO:1905369)	57	4	1.98	+	2.03	1.34E-01	1.00E+00
proteasome complex (GO:0000502)	43	3	1.49	+	2.01	1.86E-01	1.00E+00
actin cortical patch (GO:0030479)	58	4	2.01	+	1.99	1.41E-01	1.00E+00
small nuclear ribonucleoprotein complex (GO:0030532)	59	4	2.04	+	1.96	1.47E-01	1.00E+00
endocytic patch (GO:0061645)	59	4	2.04	+	1.96	1.47E-01	1.00E+00
cellular bud tip (GO:0005934)	104	7	3.6	+	1.94	9.31E-02	9.87E-01
replication fork (GO:0005657)	60	4	2.08	+	1.92	1.53E-01	1.00E+00
guanyl-nucleotide exchange factor complex (GO:0032045)	15	1	0.52	+	1.92	4.11E-01	1.00E+00
carboxy-terminal domain protein kinase complex (GO:0032806)	15	1	0.52	+	1.92	4.11E-01	1.00E+00
Swr1 complex (GO:0000812)	15	1	0.52	+	1.92	4.11E-01	1.00E+00
U5 snRNP (GO:0005682)	15	1	0.52	+	1.92	4.11E-01	1.00E+00
vacuolar membrane (GO:0005774)	287	19	9.95	+	1.91	6.97E-03	3.43E-01
U2-type spliceosomal complex (GO:0005684)	61	4	2.11	+	1.89	1.60E-01	1.00E+00
plasma membrane (GO:0005886)	555	36	19.23	+	1.87	2.05E-04	3.37E-02
Sm-like protein family complex (GO:0120114)	62	4	2.15	+	1.86	1.67E-01	1.00E+00
endoplasmic reticulum tubular network (GO:0071782)	31	2	1.07	+	1.86	2.92E-01	1.00E+00
transcription factor TFIID complex (GO:0005669)	16	1	0.55	+	1.8	4.32E-01	1.00E+00
clathrin vesicle coat (GO:0030125)	16	1	0.55	+	1.8	4.32E-01	1.00E+00
endoplasmic reticulum lumen (GO:0005788)	16	1	0.55	+	1.8	4.32E-01	1.00E+00
Ino80 complex (GO:0031011)	16	1	0.55	+	1.8	4.32E-01	1.00E+00
cytoplasmic microtubule (GO:0005881)	16	1	0.55	+	1.8	4.32E-01	1.00E+00
ESCRT complex (GO:0036452)	16	1	0.55	+	1.8	4.32E-01	1.00E+00
anaphase-promoting complex (GO:0005680)	16	1	0.55	+	1.8	4.32E-01	1.00E+00
cytoskeleton (GO:0005856)	257	16	8.91	+	1.8	2.15E-02	5.06E-01
spliceosomal complex (GO:0005681)	97	6	3.36	+	1.78	1.51E-01	1.00E+00
condensed nuclear chromosome (GO:0000794)	33	2	1.14	+	1.75	3.18E-01	1.00E+00
nuclear chromosome (GO:0000228)	168	10	5.82	+	1.72	8.36E-02	9.59E-01
H4/H2A histone acetyltransferase complex (GO:0043189)	17	1	0.59	+	1.7	4.51E-01	1.00E+00
clathrin coat (GO:0030118)	17	1	0.59	+	1.7	4.51E-01	1.00E+00
H4 histone acetyltransferase complex (GO:1902562)	17	1	0.59	+	1.7	4.51E-01	1.00E+00
NuA4 histone acetyltransferase complex (GO:0035267)	17	1	0.59	+	1.7	4.51E-01	1.00E+00
cell periphery (GO:0071944)	840	49	29.11	+	1.68	1.50E-04	4.95E-02
fungal-type vacuole (GO:0000324)	447	26	15.49	+	1.68	9.82E-03	4.40E-01
lytic vacuole (GO:0000323)	447	26	15.49	+	1.68	9.82E-03	4.21E-01
storage vacuole (GO:0000322)	447	26	15.49	+	1.68	9.82E-03	4.03E-01
"RNA polymerase II, holoenzyme (GO:0016591)"	53	3	1.84	+	1.63	4.31E-01	1.00E+00
membrane coat (GO:0030117)	36	2	1.25	+	1.6	3.56E-01	1.00E+00
coated membrane (GO:0048475)	36	2	1.25	+	1.6	3.56E-01	1.00E+00
RSC-type complex (GO:0016586)	18	1	0.62	+	1.6	4.70E-01	1.00E+00
site of DNA damage (GO:0090734)	18	1	0.62	+	1.6	4.70E-01	1.00E+00
site of double-strand break (GO:0035861)	18	1	0.62	+	1.6	4.70E-01	1.00E+00
intracellular protein-containing complex (GO:0140535)	437	24	15.14	+	1.58	2.08E-02	5.12E-01
clathrin-coated vesicle (GO:0030136)	37	2	1.28	+	1.56	3.69E-01	1.00E+00
RNA polymerase II transcription regulator complex (GO:0090575)	74	4	2.56	+	1.56	3.26E-01	1.00E+00
nuclear DNA-directed RNA polymerase complex (GO:0055029)	76	4	2.63	+	1.52	3.37E-01	1.00E+00
DNA-directed RNA polymerase complex (GO:0000428)	78	4	2.7	+	1.48	3.48E-01	1.00E+00
RNA polymerase complex (GO:0030880)	78	4	2.7	+	1.48	3.48E-01	1.00E+00
transferase complex (GO:1990234)	412	21	14.28	+	1.47	6.87E-02	8.68E-01
late endosome (GO:0005770)	59	3	2.04	+	1.47	4.59E-01	1.00E+00
Golgi-associated vesicle membrane (GO:0030660)	20	1	0.69	+	1.44	5.07E-01	1.00E+00
nuclear periphery (GO:0034399)	60	3	2.08	+	1.44	4.64E-01	1.00E+00
transport vesicle (GO:0030133)	40	2	1.39	+	1.44	6.49E-01	1.00E+00
core mediator complex (GO:0070847)	20	1	0.69	+	1.44	5.07E-01	1.00E+00
peroxisomal matrix (GO:0005782)	20	1	0.69	+	1.44	5.07E-01	1.00E+00
microbody lumen (GO:0031907)	20	1	0.69	+	1.44	5.07E-01	1.00E+00
U2 snRNP (GO:0005686)	20	1	0.69	+	1.44	5.07E-01	1.00E+00
vacuole (GO:0005773)	521	26	18.05	+	1.44	5.87E-02	9.34E-01
cytosolic small ribosomal subunit (GO:0022627)	61	3	2.11	+	1.42	4.70E-01	1.00E+00
SWI/SNF superfamily-type complex (GO:0070603)	61	3	2.11	+	1.42	4.70E-01	1.00E+00
endosome membrane (GO:0010008)	102	5	3.53	+	1.41	4.04E-01	1.00E+00
supramolecular complex (GO:0099080)	266	13	9.22	+	1.41	2.26E-01	1.00E+00
peroxisomal membrane (GO:0005778)	41	2	1.42	+	1.41	6.53E-01	1.00E+00
microbody membrane (GO:0031903)	41	2	1.42	+	1.41	6.53E-01	1.00E+00
catalytic complex (GO:1902494)	842	41	29.18	+	1.41	1.95E-02	5.05E-01
nuclear envelope (GO:0005635)	165	8	5.72	+	1.4	2.82E-01	1.00E+00
"preribosome, large subunit precursor (GO:0030687)"	62	3	2.15	+	1.4	4.75E-01	1.00E+00
peptidase complex (GO:1905368)	83	4	2.88	+	1.39	5.35E-01	1.00E+00
proteasome accessory complex (GO:0022624)	21	1	0.73	+	1.37	5.24E-01	1.00E+00
proteasome storage granule (GO:0034515)	21	1	0.73	+	1.37	5.24E-01	1.00E+00
endoribonuclease complex (GO:1902555)	21	1	0.73	+	1.37	5.24E-01	1.00E+00
microtubule associated complex (GO:0005875)	21	1	0.73	+	1.37	5.24E-01	1.00E+00
proteasome regulatory particle (GO:0005838)	21	1	0.73	+	1.37	5.24E-01	1.00E+00
lipid droplet (GO:0005811)	63	3	2.18	+	1.37	4.81E-01	1.00E+00
bounding membrane of organelle (GO:0098588)	644	30	22.32	+	1.34	8.68E-02	9.73E-01
chromatin (GO:0000785)	262	12	9.08	+	1.32	2.99E-01	1.00E+00
late endosome membrane (GO:0031902)	22	1	0.76	+	1.31	5.40E-01	1.00E+00
nuclear protein-containing complex (GO:0140513)	683	31	23.67	+	1.31	1.19E-01	1.00E+00
nuclear lumen (GO:0031981)	641	29	22.21	+	1.31	1.36E-01	1.00E+00
protein-DNA complex (GO:0032993)	312	14	10.81	+	1.29	3.37E-01	1.00E+00
nucleoplasm (GO:0005654)	291	13	10.08	+	1.29	3.23E-01	1.00E+00
side of membrane (GO:0098552)	90	4	3.12	+	1.28	5.55E-01	1.00E+00
cytosol (GO:0005829)	1034	45	35.83	+	1.26	9.27E-02	1.00E+00
early endosome (GO:0005769)	23	1	0.8	+	1.25	5.56E-01	1.00E+00
"transferase complex, transferring phosphorus-containing groups (GO:0061695)"	163	7	5.65	+	1.24	5.12E-01	1.00E+00
intracellular organelle lumen (GO:0070013)	1017	43	35.24	+	1.22	1.58E-01	1.00E+00
membrane-enclosed lumen (GO:0031974)	1017	43	35.24	+	1.22	1.58E-01	1.00E+00
organelle lumen (GO:0043233)	1017	43	35.24	+	1.22	1.58E-01	1.00E+00
coated vesicle membrane (GO:0030662)	48	2	1.66	+	1.2	6.83E-01	1.00E+00
nucleus (GO:0005634)	2405	100	83.34	+	1.2	1.79E-02	4.89E-01
mitochondrial matrix (GO:0005759)	242	10	8.39	+	1.19	5.88E-01	1.00E+00
condensed chromosome (GO:0000793)	122	5	4.23	+	1.18	6.15E-01	1.00E+00
extracellular region (GO:0005576)	123	5	4.26	+	1.17	6.18E-01	1.00E+00
chromosome (GO:0005694)	544	22	18.85	+	1.17	4.60E-01	1.00E+00
cytoplasmic stress granule (GO:0010494)	99	4	3.43	+	1.17	7.78E-01	1.00E+00
Golgi cisterna (GO:0031985)	25	1	0.87	+	1.15	5.87E-01	1.00E+00
nucleolus (GO:0005730)	300	12	10.4	+	1.15	6.25E-01	1.00E+00
spindle pole body (GO:0005816)	75	3	2.6	+	1.15	7.45E-01	1.00E+00
intracellular non-membrane-bounded organelle (GO:0043232)	1458	57	50.52	+	1.13	2.86E-01	1.00E+00
non-membrane-bounded organelle (GO:0043228)	1458	57	50.52	+	1.13	2.86E-01	1.00E+00
microtubule organizing center (GO:0005815)	77	3	2.67	+	1.12	7.50E-01	1.00E+00
endomembrane system (GO:0012505)	1114	43	38.6	+	1.11	4.15E-01	1.00E+00
cytoplasm (GO:0005737)	4486	173	155.46	+	1.11	4.91E-03	3.46E-01
endoplasmic reticulum (GO:0005783)	701	27	24.29	+	1.11	5.12E-01	1.00E+00
transcription regulator complex (GO:0005667)	104	4	3.6	+	1.11	7.84E-01	1.00E+00
nuclear pore (GO:0005643)	52	2	1.8	+	1.11	7.01E-01	1.00E+00
ATPase complex (GO:1904949)	78	3	2.7	+	1.11	7.52E-01	1.00E+00
spindle pole (GO:0000922)	26	1	0.9	+	1.11	6.01E-01	1.00E+00
phagophore assembly site membrane (GO:0034045)	26	1	0.9	+	1.11	6.01E-01	1.00E+00
intracellular anatomical structure (GO:0005622)	5296	201	183.52	+	1.1	4.87E-05	2.40E-02
intracellular membrane-bounded organelle (GO:0043231)	4457	169	154.45	+	1.09	2.08E-02	5.25E-01
membrane-bounded organelle (GO:0043227)	4458	169	154.49	+	1.09	2.08E-02	4.99E-01
small-subunit processome (GO:0032040)	53	2	1.84	+	1.09	7.06E-01	1.00E+00
cytoplasmic vesicle membrane (GO:0030659)	159	6	5.51	+	1.09	8.24E-01	1.00E+00
intracellular organelle (GO:0043229)	4749	179	164.57	+	1.09	1.32E-02	4.48E-01
organelle (GO:0043226)	4751	179	164.64	+	1.09	1.32E-02	4.34E-01
Golgi apparatus (GO:0005794)	292	11	10.12	+	1.09	7.42E-01	1.00E+00
vesicle membrane (GO:0012506)	160	6	5.54	+	1.08	8.25E-01	1.00E+00
protein-containing complex (GO:0032991)	2123	79	73.57	+	1.07	4.19E-01	1.00E+00
INO80-type complex (GO:0097346)	27	1	0.94	+	1.07	6.15E-01	1.00E+00
mediator complex (GO:0016592)	27	1	0.94	+	1.07	6.15E-01	1.00E+00
cellular anatomical entity (GO:0110165)	5575	206	193.19	+	1.07	2.30E-04	3.25E-02
ribonucleoprotein granule (GO:0035770)	137	5	4.75	+	1.05	8.13E-01	1.00E+00
cytoplasmic ribonucleoprotein granule (GO:0036464)	137	5	4.75	+	1.05	8.13E-01	1.00E+00
endosome (GO:0005768)	194	7	6.72	+	1.04	8.41E-01	1.00E+00
cytoplasmic vesicle (GO:0031410)	306	11	10.6	+	1.04	8.72E-01	1.00E+00
intracellular vesicle (GO:0097708)	306	11	10.6	+	1.04	8.72E-01	1.00E+00
preribosome (GO:0030684)	167	6	5.79	+	1.04	8.30E-01	1.00E+00
cyclin-dependent protein kinase holoenzyme complex (GO:0000307)	28	1	0.97	+	1.03	1.00E+00	1.00E+00
transport vesicle membrane (GO:0030658)	28	1	0.97	+	1.03	1.00E+00	1.00E+00
serine/threonine protein kinase complex (GO:1902554)	56	2	1.94	+	1.03	7.21E-01	1.00E+00
oxidoreductase complex (GO:1990204)	56	2	1.94	+	1.03	7.21E-01	1.00E+00
mitochondrion (GO:0005739)	1207	43	41.83	+	1.03	8.60E-01	1.00E+00
mitochondrial outer membrane (GO:0005741)	113	4	3.92	+	1.02	7.98E-01	1.00E+00
vesicle (GO:0031982)	313	11	10.85	+	1.01	8.74E-01	1.00E+00
cellular_component (GO:0005575)	6013	210	208.37	+	1.01	4.11E-01	1.00E+00
spliceosomal tri-snRNP complex (GO:0097526)	29	1	1	-	1	1.00E+00	1.00E+00
membrane raft (GO:0045121)	29	1	1	-	1	1.00E+00	1.00E+00
U4/U6 x U5 tri-snRNP complex (GO:0046540)	29	1	1	-	1	1.00E+00	1.00E+00
membrane microdomain (GO:0098857)	29	1	1	-	1	1.00E+00	1.00E+00
endoplasmic reticulum subcompartment (GO:0098827)	408	14	14.14	-	0.99	1.00E+00	1.00E+00
membrane (GO:0016020)	2072	71	71.8	-	0.99	9.41E-01	1.00E+00
organelle envelope (GO:0031967)	627	21	21.73	-	0.97	1.00E+00	1.00E+00
90S preribosome (GO:0030686)	90	3	3.12	-	0.96	1.00E+00	1.00E+00
sno(s)RNA-containing ribonucleoprotein complex (GO:0005732)	30	1	1.04	-	0.96	1.00E+00	1.00E+00
